" Movie Title","Distributor","Gross","Release"
"Pirates of the Caribbean: At World's End","BVI","$91,119,039","5/25"
"Harry Potter and the Order of the Phoenix","WB","$80,564,009","7/20"
"Hero (2007)","Toho","$73,109,846","9/8"
"Spider-Man 3","Sony","$58,320,289","5/1"
"Gekijôban Poketto Monsutâ Daiyamondo to Pâru Diaruga Tai Parukia Tai Dâkurai (Pokémon:
Diamond and Pearl) (2007)","Toho","$42,238,454","7/14"
"Always zoku san-chôme no yûhi","Toho","$42,235,940","11/3"
"I Am Legend","WB","$40,268,674","12/14"
"Saiyûki (Monkey Magic)","Toho","$36,745,063","7/14"
"Koizora (Sky of Love)","Toho","$36,306,409","11/3"
"Transformers","UIP","$34,305,553","8/4"
"Ratatouille","BVI","$33,371,386","7/28"
"Live Free or Die Hard","Fox","$32,592,379","6/29"
"Night at the Museum","Fox","$30,018,767","3/17"
"Doraemon: Nobita no shin makai daibôken (Doraemon the Movie: Nobita's New Great Adventure Into the
Underworld - The Seven Magic Users) (2007)","Toho","$28,671,322","3/10"
"Mari To Koinu No Mongatari","Toho","$28,620,879","12/8"
"Ocean's Thirteen","WB","$27,311,581","8/10"
"Dororo","Toho","$27,082,688","1/27"
"Resident Evil: Extinction","Sony","$24,648,673","11/3"
"National Treasure: Book of Secrets","Disney","$23,942,112","12/21"
"The Pursuit of Happyness","Sony","$22,680,713","1/27"
"Unfair: The Movie","Toho","$21,914,005","3/17"
"Kurôzu zero (Crows: Episode 0)","Toho","$21,867,963","10/27"
"Meitantei Conan: Konpeki no hitsugi (Detective Conan: Jolly Roger in the Deep Azure) (2007)","Toho","$20,094,670","4/21"
"Gegege no Kitarô","Shochiku","$18,836,036","4/28"
"Maiko haaaan!!!","Toho","$16,745,841","6/16"
"Dreamgirls","UIP","$16,199,342","2/17"
"Marie Antoinette","Toho","$15,735,433","1/20"
"Evangerion shin gekijôban: Jo (Evangelion: 1.0 You Are (Not) Alone)","Klockworx","$15,343,699","9/1"
"The Bourne Ultimatum","Toho-Towa","$15,197,984","11/10"
"Babel","GAGA","$14,998,633","4/28"
"Tôkyô tawâ: Okan to boku to,
tokidoki, oton (Tokyo Tower)","Shochiku","$14,901,519","4/14"
"Tengoku de kimi ni aetara (Life: Tears in Heaven)","Toho","$13,456,147","8/25"
"The Departed","WB","$13,139,799","1/20"
"300","WB","$13,036,817","6/9"
"Shrek the Third","Asmik Ace","$12,536,926","6/30"
"Crayon Shin-chan Vol. 15","Toho","$12,465,599","4/21"
"Happy Feet","WB","$12,083,119","3/17"
"Batterî (Battery)","Toho","$12,000,779","3/10"
"Masked Rider Den-o","Toei","$11,276,171","8/4"
"The Holiday","UPI","$11,147,769","3/24"
"Aoki Ôkami: chi hate umi tsukiru made (Genghis Khan: To the Ends of the Earth and Sea)","Shochiku","$10,842,733","3/3"
"Gekijô ban naruto: Shippûden (Naruto Hurricane Chronicles) (2007)","Toho","$9,830,039","8/4"
"Tsubaki Sanjûrô","Toho","$9,712,753","12/1"
"Dai-Nipponjin (Big Man Japan)","Shochiku","$9,694,904","6/2"
"Alien vs. Predator - Requiem","Fox","$9,675,956","12/28"
"Soredemo boku wa yattenai (I Just Didn't Do It)","WB","$9,600,000","1/20"
"Bizan","Toho","$9,259,157","5/12"
"Ai no rukeichi (Love Never to End)","Toho","$8,647,717","1/13"
"Meet the Robinsons","Disney","$8,628,347","12/22"
"Rush Hour 3","Toho-Towa","$8,147,455","8/25"
"Fantastic Four: Rise of the Silver Surfer","Fox","$8,032,056","9/21"
"Blood Diamond","WB","$8,017,156","4/7"
"Hairspray (2007)","GAGA","$8,016,810","10/20"
"Ore wa, kimi no tame ni koso shini ni iku (For
Those We Love)","Toei","$7,769,311","5/12"
"Closed Note","Toho","$7,524,929","9/29"
"Deja Vu","BVI","$7,226,236","3/17"
"Beowulf","WB","$7,148,122","12/1"
"One Piece: Episode of Alabaster - Sabaku no Ojou to Kaizoku Tachi (8) (One Piece Movie: The Desert Princess and the
Pirates Adventures in Alabasta)","Toei","$7,075,924","3/3"
"Yes! Precure 5: Kagami no Kuni no Miracle Daibôken! (Pretty Cure 5) (2007)","Toei","$7,020,933","11/10"
"Gekijô ban Burîchi: Za Daiamondo dasuto riberion - Mô hitotsu no hyôrinmaru","Toho","$6,915,595","12/22"
"Tamagocchi","n/a","$6,784,907","12/15"
"Bubble Fiction: Boom or Bust","Toho","$6,746,800","2/10"
"Rocky Balboa","Fox","$6,587,284","4/20"
"Middonaito Îguru (Midnight Eagle)","Shochiku","$6,502,409","11/23"
"Hannibal Rising","Toho-Towa","$6,413,902","4/21"
"Perfect Stranger","BVI","$6,351,999","9/29"
"Tsukigami (The Haunted Samurai)","Toei","$6,285,714","6/23"
"Sakuran","Asmik Ace","$5,973,534","2/24"
"Perfume - The Story of a Murderer","GAGA","$5,485,849","3/3"
"No Reservations","WB","$5,474,911","9/29"
"The Guardian","BVI","$5,470,408","2/10"
"Zo - No Senaka","Shochiku","$4,720,348","10/27"
"Muk gong (Battle of Wits)","Shochiku","$4,673,338","2/3"
"Taxi 4","Asmik Ace","$4,571,326","8/25"
"Monster House","Sony","$4,544,551","1/13"
"Miss Potter","Herald","$4,431,487","9/15"
"Mirai yosouzu (Signs of Love)","Shochiku","$4,430,712","10/6"
"Ghost Rider","Sony","$4,408,813","3/3"
