" Movie Title","Distributor","Gross","Release"
"Shrek the Third","Lusomundo","$4,855,854","6/21"
"Ratatouille","Lusomundo","$4,168,055","8/15"
"Bee Movie","Lusomundo","$3,266,684","12/13"
"Pirates of the Caribbean: At World's End","Lusomundo","$3,063,423","5/24"
"Mr. Bean's Holiday","Lusomundo","$2,887,271","3/29"
"Harry Potter and the Order of the Phoenix","Columbia","$2,881,941","7/12"
"Spider-Man 3","Columbia","$2,608,126","5/3"
"I Am Legend","Columbia","$2,157,257","12/27"
"The Simpsons Movie","CLMC","$2,077,224","7/26"
"Blood Diamond","Columbia","$1,888,649","1/25"
"National Treasure: Book of Secrets","Lusomundo","$1,861,449","12/20"
"Transformers","Lusomundo","$1,795,481","7/5"
"Ocean's Thirteen","Columbia","$1,789,744","6/7"
"Call Girl","Lusomundo","$1,610,085","12/27"
"The Golden Compass","Lusomundo","$1,601,873","12/6"
"The Heartbreak Kid","Lusomundo","$1,439,943","10/4"
"Night at the Museum","CLMC","$1,419,274","1/4"
"Live Free or Die Hard","CLMC","$1,407,774","6/28"
"American Gangster","Lusomundo","$1,404,196","11/15"
"Corrupção","n/a","$1,364,024","11/1"
"The Bourne Ultimatum","Lusomundo","$1,314,403","9/20"
"300","Columbia","$1,307,159","4/5"
"Norbit","Lusomundo","$1,306,602","3/15"
"Apocalypto","Lusomundo","$1,255,837","1/4"
"Beowulf","Columbia","$1,207,715","11/22"
"Wild Hogs","Lusomundo","$1,090,708","4/19"
"Enchanted","Lusomundo","$1,087,947","11/29"
"Surf's Up","Columbia","$1,072,599","8/2"
"I Now Pronounce You Chuck and Larry","Lusomundo","$1,062,225","8/30"
"Evan Almighty","Lusomundo","$1,006,707","8/9"
"Rush Hour 3","Prisvídeo","$988,543","10/11"
"Meet the Robinsons","Lusomundo","$940,549","3/29"
"Elizabeth: The Golden Age","Lusomundo","$868,526","11/1"
"Knocked Up","Lusomundo","$844,062","10/18"
"Charlotte's Web","Lusomundo","$824,130","2/8"
"Alvin and the Chipmunks","CLMC","$802,543","12/20"
"Fantastic Four: Rise of the Silver Surfer","CLMC","$778,998","6/14"
"Disturbia","Lusomundo","$775,298","8/2"
"Ghost Rider","Columbia","$773,720","3/8"
"Scoop","Lusomundo","$763,919","1/18"
"Music and Lyrics","Columbia","$742,003","3/22"
"Fracture","Lusomundo","$709,160","5/10"
"Stardust","Lusomundo","$700,216","9/27"
"The Good Shepherd","Lusomundo","$669,177","2/22"
"Resident Evil: Extinction","Columbia","$658,905","10/25"
"Hitman","CLMC","$656,765","11/29"
"The Brave One","Columbia","$612,842","10/18"
"Zodiac","Columbia","$609,447","5/17"
"Rocky Balboa","Lusomundo","$605,102","2/8"
"The Kingdom","Lusomundo","$581,107","10/11"
"Mr. Brooks","Prisvídeo","$573,946","8/23"
"I Could Never Be Your Woman","Lusomundo","$533,676","7/19"
"Shooter","Lusomundo","$533,223","4/12"
"The Pursuit of Happyness","Columbia","$524,091","2/1"
"Happily N'Ever After","Lusomundo","$515,118","11/15"
"No Reservations","Columbia","$506,260","9/27"
"Next","Prisvídeo","$505,428","9/6"
"License to Wed","Columbia","$492,410","8/23"
"Lions for Lambs","CLMC","$491,228","12/6"
"The Last Legion","LNK","$490,987","8/15"
"1408","Lusomundo","$478,407","9/27"
"Good Luck Chuck","Columbia","$473,808","12/6"
"Grindhouse: Death Proof","Prisvideo","$469,879","7/19"
"Hannibal Rising","LNK","$469,269","2/15"
"Dreamgirls","Lusomundo","$443,768","3/1"
"Epic Movie","CLMC","$442,603","3/22"
"The Reaping","Columbia","$419,238","4/19"
"Perfect Stranger","Lusomundo","$417,898","4/12"
"The Last King of Scotland","CLMC","$414,049","2/15"
"TMNT","Lusomundo","$399,587","4/19"
"Eastern Promises","Prisvideo","$390,749","11/29"
"Because I Said So","LNK","$382,584","4/26"
"The Invasion","Columbia","$381,717","11/1"
"Shark Bait (a.k.a. The Reef)","Lusomundo","$359,366","9/13"
"Letters from Iwo Jima","Columbia","$333,221","2/15"
"Hairspray (2007)","Lusomundo","$332,811","9/6"
"Little Children","Prisvídeo","$317,152","2/1"
"Smokin' Aces","Lusomundo","$301,219","2/22"
"The Number 23","Prisvídeo","$296,435","4/12"
"A Mighty Heart","Lusomundo","$291,700","9/13"
"Superbad","Columbia","$271,634","9/20"
"Love and Other Disasters","Lusomundo","$269,359","12/13"
"Notes on a Scandal","CLMC","$259,165","3/1"
"The Painted Veil","Prisvídeo","$246,786","3/15"
"Breaking and Entering","Lusomundo","$242,087","1/18"
"Georgia Rule","Lusomundo","$239,362","8/16"
"Trust the Man","Lusomundo","$236,027","5/17"
"Premonition","Lusomundo","$229,695","3/29"
"The Wicker Man","Lusomundo","$229,532","1/25"
"Flags of Our Fathers","Columbia","$214,912","1/11"
"Vacancy","Columbia","$213,948","8/30"
"Hostel Part II","Columbia","$210,888","8/15"
"Fados (2007)","Lusomundo","$200,343","10/4"
"The Grudge 2","LNK","$192,669","1/11"
"El Laberinto del Fauno (Pan's Labyrinth)","Columbia","$177,811","3/1"
"Das Leben der Anderen (The Lives of Others)","Prisvídeo","$174,475","2/8"
"Taxi 4","Lusomundo","$173,221","6/14"
"The Hoax","Prisvideo","$171,262","8/2"
"30 Days of Night","Columbia","$161,336","11/8"
"Shoot 'Em Up","Prisvídeo","$149,796","11/22"
"Blades of Glory","Lusomundo","$148,006","5/10"
"The Messengers","LNK","$142,775","5/17"
"Control (2007)","LNK","$142,111","11/15"
"Death at a Funeral","Lusomundo","$140,719","9/20"
"Alpha Dog","Lusomundo","$133,429","7/19"
"It's a Boy Girl Thing","Lusomundo","$133,392","7/5"
"Bridge to Terabithia","Lusomundo","$133,324","4/26"
"O Mistério da Estrada de Sintra","Lusomundo","$131,992","5/3"
"Pathfinder: Legend of the Ghost Warrior","CLMC","$127,204","5/10"
"Sunshine","CLMC","$124,884","4/12"
"The Return","Lusomundo","$120,447","2/15"
"Everyone's Hero","LNK","$119,728","8/30"
"In the Land of Women","Prisvídeo","$119,156","7/5"
"Are We Done Yet?","Lusomundo","$118,405","10/4"
"Evening","Prisvídeo","$117,439","10/25"
"Goya's Ghosts","Lusomundo","$117,242","9/6"
"WAR","LNK","$115,520","11/8"
"Breach","Lusomundo","$114,762","5/10"
"Chaos (2005)","Lusomundo","$112,658","1/18"
"The Good German","Columbia","$109,462","3/8"
"Turistas","Lusomundo","$106,254","8/23"
"The Invisible","Lusomundo","$105,037","10/11"
"Captivity","Lusomundo","$98,574","9/6"
"Dot.com","Lusomundo","$97,176","4/5"
"2 Days in Paris","LNK","$96,017","9/13"
"Wedding Daze","Castello","$93,460","9/6"
"Bordertown","Prisvídeo","$93,154","7/12"
"Mr. Magorium's Wonder Emporium","LNK","$92,125","11/22"
"The Dead Girl","Lusomundo","$87,711","6/28"
"Grindhouse: Planet Terror","Prisvídeo","$85,911","10/4"
"The Seeker: The Dark Is Rising","CLMC","$82,119","10/25"
"Curse of the Golden Flower (Man cheng jin dai huang jin jia)","Prisvídeo","$81,686","3/8"
"Stranger Than Fiction","LNK","$79,430","1/25"
"Bobby","CLMC","$78,093","2/1"
"Paranoid Park","Atalanta","$74,278","11/29"
"The Namesake","CLMC","$74,218","4/5"
"The Condemned","LNK","$73,852","7/19"
"Man of the Year","Lusomundo","$73,811","3/22"
"Relative Strangers","New Lineo","$71,985","2/8"
"Rescue Dawn","Lusomundo","$71,861","10/25"
"Gwoemul (The Host)","n/a","$71,556","8/9"
"Julgamento","Castello","$70,994","10/11"
"Hollywoodland","Lusomundo","$70,289","2/8"
"A Outra Margem","Atalanta","$69,042","10/25"
"Ne le dis à personne (Tell No One)","Lusomundo","$68,723","4/25"
"Flyboys","LNK","$63,327","2/1"
"Blind Dating","Prisvídeo","$61,569","11/8"
"Il Caimano","Atalanta","$60,681","3/22"
"The Hitcher (2007)","Lusomundo","$59,393","4/5"
"The Abandoned","Lusomundo","$59,032","6/21"
"National Lampoon's Van Wilder: The Rise of Taj","Lusomundo","$58,301","8/2"
"Fred Claus","Columbia","$56,395","12/13"
"The Contract","New Lineo","$55,856","9/6"
"Fur: An Imaginary Portrait of Diane Arbus","Lusomundo","$55,545","3/15"
"The Good Night","Prisvídeo","$55,507","12/13"
"Slow Burn","Castello","$55,478","5/31"
"Atrás das Nuvens","Lusomundo","$53,181","5/31"
"Redacted","LNK","$50,932","12/20"
"Becoming Jane","Lusomundo","$49,225","10/11"
"The Fountain","Lusomundo","$49,068","3/15"
"Pulse","LNK","$48,625","3/8"
"Harsh Times","Lusomundo","$47,373","2/8"
"The Last Mimzy","Lusomundo","$47,273","8/29"
"Hot Fuzz","Lusomundo","$46,522","11/22"
"Scenes of Sexual Nature","Prisvideo","$44,001","4/25"
"Highlander: The Source","Lusomundo","$41,959","9/13"
"Code Name: The Cleaner","Prisvideo","$41,191","3/22"
"BRATZ","Lusomundo","$40,365","10/25"
"La Môme (La Vie en Rose)","Lusomundo","$40,201","4/25"
"The Inner Life of Martin Frost","Medeia","$40,156","10/11"
"Lady Chatterley","Prisvídeo","$39,455","6/14"
"Until Death","Lusomundo","$37,427","11/22"
"Fearless (Huo Jian Jia)","n/a","$36,811","1/11"
"Blood and Chocolate","Lusomundo","$36,670","4/19"
"Slither","LNK","$36,571","3/29"
"Lonely Hearts","New Lineo","$35,791","12/6"
"Sicko","Lusomundo","$32,954","11/1"
"Alatriste","Lusomundo","$32,327","6/7"
"The Lookout","Lusomundo","$31,519","9/27"
"Don't Come Knocking","Lusomundo","$31,480","11/22"
"Silent Hill","New Lineo","$31,009","4/5"
"Zoom","Lusomundo","$30,541","2/15"
"Odette Toulemonde","Lusomundo","$28,328","11/8"
"Zwartboek (Black Book)","Lusomundo","$28,053","2/22"
"Good Bye Bafana","LNK","$26,284","9/20"
"Bug","LNK","$23,909","7/26"
"Miss Potter","Lusomundo","$23,740","3/8"
"Half Nelson","n/a","$22,754","2/22"
"The Astronaut Farmer","Lusomundo","$21,999","6/7"
"Rohtenburg","Prisvídeo","$21,862","4/25"
"All the Boys Love Mandy Lane","Lusomundo","$20,596","5/16"
"La Faute à Fidel! (Blame It on Fidel)","Lusomundo","$18,465","7/12"
"Belle toujours","Lusomundo","$18,393","7/5"
"Domino","New Lineo","$18,176","11/1"
"Tenacious D in: The Pick of Destiny","n/a","$17,303","2/15"
"Teresa, el cuerpo de Cristo (Theresa: The Body
of Christ)","Lusomundo","$17,074","6/14"
"Shortbus","Lusomundo","$16,972","5/3"
"Moscow Zero","Prisvídeo","$16,891","4/19"
"Fast Food Nation","Lusomundo","$15,632","1/11"
"The Last Kiss","Lusomundo","$15,329","4/12"
"¿Quién dice que es fácil?","LNK","$15,305","2/1"
"The Kovak Box","Lusomundo","$15,262","9/6"
"Factory Girl","LNK","$14,674","9/6"
".45","Lusomundo","$14,111","10/4"
"Ye yan (The Banquet)","Prisvídeo","$13,877","6/21"
"Antonio Guerriero di Dio","Castello","$13,644","6/14"
"Tiempo de valientes","n/a","$13,355","11/8"
"Black Christmas (2006)","Lusomundo","$13,264","5/10"
"Peaceful Warrior","Prisvídeo","$12,087","10/4"
"Soap","Prisvídeo","$11,942","4/19"
"Delirious","Prisvídeo","$11,371","11/15"
"Le Scaphandre et le papillon (The Diving Bell and the Butterfly)","LNK","$11,214","10/25"
"La Doublure (The Valet)","Lusomundo","$11,088","7/12"
"10 Items or Less","LNK","$10,341","5/31"
"Across the Universe","Lusomundo","$10,213","11/15"
"Land of the Blind","Lusomundo","$9,936","10/25"
"Indigènes (Days of Glory)","n/a","$9,795","5/24"
"Nuovomondo (The Golden Door)","Prisvídeo","$9,404","8/30"
"The Death of Mr. Lazarescu","Atalanta","$8,995","11/8"
"Le Concile de Pierre","Prisvídeo","$8,965","5/3"
"Snow Cake","Lusomundo","$8,476","5/17"
"Red Road","Prisvídeo","$8,374","3/29"
"Jindabyne","LNK","$8,131","8/2"
"A fost sau n-a fost? (12:08 East of Bucharest)","Atalanta","$7,876","12/6"
"Renaissance","LNK","$7,658","5/10"
"El Cantante","Prisvídeo","$7,068","10/18"
"Highlander: The Search for Vengeance","Lusomundo","$7,017","9/13"
"Inland Empire","Medeia","$6,683","4/5"
"Nomad (The Warrior)","Prisvídeo","$6,494","11/15"
"Dialogue avec mon jardinier","Lusomundo","$5,748","11/29"
"Michou d'Auber","Lusomundo","$5,721","11/22"
"Natureza Morta","Medeia","$5,714","5/3"
"Taxidermia","Lusomundo","$5,427","7/5"
"Eraserhead (1977) (Re)","Atalanta","$5,103","11/23"
"Ils (Them)","Medeia","$5,069","10/18"
