" Movie Title","Distributor","Gross","Release"
"The Twilight Saga: Breaking Dawn Part 1","Nu Metro","$3,898,762","11/18"
"Pirates of the Caribbean: On Stranger Tides (3D)","Ster Kinekor","$3,651,559","5/20"
"The Smurfs","Ster Kinekor","$3,337,427","9/30"
"Tangled","Ster Kinekor","$3,090,371","1/28"
"Transformers 3","UIP","$2,994,532","7/1"
"Rio","Nu Metro","$2,942,794","4/8"
"Kung Fu Panda 2","UIP","$2,920,855","6/10"
"Fast Five","UIP","$2,686,639","5/6"
"The Hangover Part II","Nu Metro","$2,648,601","5/27"
"Harry Potter and the Deathly Hallows (Part Two)","Nu Metro","$2,611,417","7/13"
"Just Go With It","Ster Kinekor","$2,534,937","3/18"
"Puss in Boots","UIP","$2,439,917","12/2"
"Cars 2","Ster Kinekor","$2,425,763","7/8"
"The Tourist","Ster Kinekor","$2,285,093","1/7"
"Thor","UIP","$2,009,016","4/29"
"Johnny English Reborn","UIP","$1,797,758","10/14"
"Mission: Impossible - Ghost Protocol","UIP","$1,613,925","12/16"
"Rango","UIP","$1,408,931","3/18"
"Jock","Ster Kinekor","$1,393,520","7/29"
"The King's Speech","Ster Kinekor","$1,392,993","2/11"
"Big Mommas: Like Father, Like Son","Nu Metro","$1,352,084","2/25"
"The Adventures of Tintin","UIP","$1,263,608","12/23"
"Zookeeper","Ster Kinekor","$1,236,193","8/12"
"Gnomeo and Juliet","Ster Kinekor","$1,229,164","3/25"
"Alvin and the Chipmunks: Chipwrecked","Nu Metro","$1,205,646","12/16"
"Horrible Bosses","Nu Metro","$1,191,108","7/22"
"No Strings Attached","UIP","$1,160,279","4/1"
"New Year's Eve","Nu Metro","$1,156,993","12/9"
"X-Men: First Class","Nu Metro","$1,151,613","6/3"
"Tower Heist","UIP","$1,097,836","11/4"
"Friends with Benefits","Ster Kinekor","$1,092,166","9/16"
"Captain America: The First Avenger","UIP","$1,041,847","8/5"
"Hop","UIP","$1,004,056","4/1"
"Gulliver's Travels","Nu Metro","$1,001,891","1/7"
"Real Steel","Ster Kinekor","$986,095","12/2"
"Unknown","Nu Metro","$974,313","4/8"
"Limitless","Nu Metro","$968,463","4/15"
"Platteland","Indig.","$967,331","11/25"
"Happy Feet Two","Nu Metro","$955,047","11/25"
"Green Lantern","Nu Metro","$947,398","6/24"
"Sherlock Holmes: A Game of Shadows","Nu Metro","$919,954","12/30"
"Crazy, Stupid, Love.","Nu Metro","$874,411","8/26"
"Bridesmaids","UIP","$859,447","6/24"
"Mr. Popper's Penguins","Nu Metro","$850,958","6/17"
"Tyler Perry's Madea's Big Happy Family","Ster Kinekor","$815,531","7/1"
"Black Swan","Nu Metro","$758,581","2/4"
"I Am Number Four","Ster Kinekor","$728,291","3/25"
"Bad Teacher","Ster Kinekor","$709,766","9/2"
"Immortals","Nu Metro","$699,240","11/11"
"The Green Hornet","Ster Kinekor","$698,249","2/4"
"Red Riding Hood","Nu Metro","$674,904","3/18"
"The Mechanic","n/a","$658,268","4/1"
"Something Borrowed","Nu Metro","$653,369","7/8"
"The Next Three Days","Nu Metro","$648,787","1/21"
"The Lion King (in 3D)","Ster Kinekor","$646,649","8/26"
"Spy Kids: All the Time in the World","Ster Kinekor","$620,545","9/16"
"Love and Other Drugs","Nu Metro","$615,954","1/28"
"Final Destination 5","Nu Metro","$612,925","9/9"
"Abduction","Nu Metro","$593,505","9/23"
"Burlesque","Ster Kinekor","$577,110","1/21"
"Cowboys & Aliens","UIP","$553,559","8/19"
"How Do You Know","Ster Kinekor","$546,914","2/18"
"The Change-Up","UIP","$528,663","9/30"
"Rise of the Planet of the Apes","Nu Metro","$519,096","8/12"
"Arthur (2011)","Nu Metro","$517,670","4/29"
"Honey 2","UIP","$497,705","7/22"
"Arthur Christmas","Ster Kinekor","$494,313","12/9"
"Morning Glory","UIP","$472,412","2/11"
"The Lincoln Lawyer","Nu Metro","$458,642","6/3"
"The Three Musketeers (2011)","Nu Metro","$452,619","10/14"
"Water for Elephants","Nu Metro","$426,138","4/15"
"Hall Pass","Nu Metro","$424,450","3/25"
"Monte Carlo","Nu Metro","$394,941","8/19"
