" Movie Title","Distributor","Gross","Release"
"Arn - Tempelriddaren","Svensk","$15,599,053","12/25"
"Pirates of the Caribbean: At World's End","BVI","$11,655,071","5/23"
"Harry Potter and the Order of the Phoenix","Sandrew","$10,357,428","7/13"
"Ratatouille","Disney","$8,372,846","10/19"
"Spider-Man 3","Sony","$5,930,501","5/4"
"Shrek the Third","UIP","$5,829,041","8/31"
"The Simpsons Movie","Fox","$5,541,961","7/27"
"The Golden Compass","Svensk","$4,504,480","12/7"
"Live Free or Die Hard","Fox","$3,674,563","6/27"
"Bee Movie","UIP","$3,555,177","12/25"
"Night at the Museum","Fox","$3,542,041","2/2"
"Transformers","UIP","$3,385,777","7/4"
"The Departed","Sandrew","$3,220,260","1/12"
"Enchanted","Disney","$3,131,449","12/21"
"Se upp för dårarna","Svensk","$3,015,008","2/16"
"Ocean's Thirteen","WB","$2,970,946","6/7"
"Solstorm","Sandrew","$2,714,992","11/2"
"The Queen","Sandrew","$2,440,673","2/2"
"The Bourne Ultimatum","UPI","$2,402,732","9/14"
"Mr. Bean's Holiday","UIP","$2,299,635","3/30"
"Underbar och älskad av alla (och på jobbet går det också bra)","BVI","$2,221,447","8/24"
"Rosa: The Movie","Svensk","$1,940,300","1/19"
"American Gangster","UIP","$1,873,720","11/23"
"Stardust","UIP","$1,612,940","10/5"
"300","Sandrew","$1,588,268","4/4"
"Superbad","Sony","$1,487,330","9/21"
"Rush Hour 3","Svensk","$1,439,343","8/10"
"This Is England","NonStop","$1,375,066","8/17"
"Beck: Den Svaga Lanken","Nordisk","$1,357,257","3/23"
"La Môme (La Vie en Rose)","Sandrew","$1,293,058","3/30"
"1408","Noble","$1,263,915","10/26"
"Blood Diamond","Sandrew","$1,194,275","3/2"
"Knocked Up","UIP","$1,115,091","8/17"
"Hairspray (2007)","Svensk","$1,085,727","10/19"
"Music and Lyrics","Sandrew","$1,068,877","3/16"
"Ett Öga rött","Sonet","$1,040,529","9/7"
"The Heartbreak Kid","UIP","$1,020,366","11/9"
"Wild Hogs","BVI","$997,971","4/13"
"Nina Frisk","Sonet","$962,698","3/9"
"Surf's Up","Sony","$913,230","11/16"
"Saw IV","Scanbox","$873,510","11/16"
"Lilla spöket Laban: Spökdags","Sandrew","$860,176","11/16"
"Zodiac","Sandrew","$854,468","5/18"
"I Now Pronounce You Chuck and Larry","UPI","$849,271","9/28"
"Linas kvällsbok","Svensk","$820,238","2/2"
"Apocalypto","Scanbox","$781,692","2/23"
"Resident Evil: Extinction","Sony","$748,670","10/5"
"Ciao Bella","Sandrew","$725,567","8/3"
"Blades of Glory","UIP","$717,097","5/11"
"The Darjeeling Limited","Fox","$716,107","12/25"
"El Laberinto del Fauno (Pan's Labyrinth)","Triangel","$673,999","2/9"
"Michael Clayton","Svensk","$673,645","11/9"
"Elizabeth: The Golden Age","UIP","$670,901","11/2"
"The Kingdom","UIP","$668,113","10/12"
"Beowulf","Sandrew","$637,086","11/30"
"Meet the Robinsons","Disney","$620,241","8/10"
"Ensemble, c'est tout (Hunting and
Gathering)","Svensk","$618,798","9/28"
"Hannibal Rising","Nordisk","$607,306","2/16"
"TMNT","Nordisk","$596,327","3/30"
"The Last King of Scotland","Fox","$555,547","1/26"
"Arthur et les Minimoys (Arthur and the Invisibles)","Scanbox","$552,230","2/2"
"Ghost Rider","Sony","$544,619","3/16"
"Fantastic Four: Rise of the Silver Surfer","Fox","$544,110","8/17"
"The Pursuit of Happyness","Sony","$541,414","3/2"
"Epic Movie","Fox","$541,325","4/4"
"Eastern Promises","Svensk","$528,575","12/7"
"Rocky Balboa","Svensk","$520,237","1/19"
"The Number 23","Svensk","$519,000","3/23"
"2 Days in Paris","NonStop","$517,304","9/7"
"Sunshine","Fox","$467,210","4/20"
"Grindhouse: Death Proof","Swipe","$448,932","6/1"
"Evan Almighty","UIP","$438,623","8/3"
"Shooter","UIP","$431,425","4/20"
"The Black Pimpernel","Nordisk","$420,161","9/14"
"Fracture","Svensk","$410,400","8/31"
"Good Luck Chuck","Sony","$404,026","12/14"
"Elias og kongeskipet","Svensk","$389,238","9/28"
"Perfume - The Story of a Murderer","Nordisk","$385,625","1/26"
"Järnets änglar","Nordisk","$384,010","10/5"
"Barnyard: The Original Party Animals","UIP","$382,427","1/12"
"Cassandra's Dream","Scanbox","$372,838","12/25"
"Hot Fuzz","UIP","$366,862","4/13"
"Dreamgirls","UIP","$364,100","2/16"
"Auf der anderen Seite (Yasamin kiyisinda) (The Edge of Heaven)","Folkets Bio","$362,380","10/26"
"No Reservations","Sandrew","$358,361","9/14"
"Black Island Sisters","Nordisk","$352,494","10/5"
"Leo (2007)","Sonet","$340,823","11/30"
"Disturbia","UIP","$340,187","7/27"
"Irene Huss: Tatuerad torso","Nordisk","$309,922","8/17"
"Sicko","Svensk","$298,270","10/5"
"Reign Over Me","Sony","$297,109","4/13"
"Charlotte's Web","UIP","$279,506","2/9"
"28 Weeks Later","Fox","$273,143","9/7"
"Allt om min buske","Sandrew","$272,099","1/26"
"Hostel Part II","Sony","$257,621","6/15"
"Gangster (2007)","Scanbox","$246,516","4/27"
"The Good Shepherd","Nordisk","$240,426","3/9"
"Direktøren for det hele (Boss of It All)","Sonet","$230,959","3/16"
"4 luni, 3 saptamâni si 2 zile (4 Months, 3
Weeks, 2 Days)","NonStop","$230,455","11/30"
"Den man älskar","Nordisk","$223,879","9/28"
"Mr. Woodcock","Svensk","$221,754","10/26"
"Lions for Lambs","Fox","$215,310","11/9"
"Death at a Funeral","Scanbox","$205,984","9/21"
"Du levande (You, the Living)","n/a","$205,304","9/21"
"Perfect Stranger","Svensk","$203,457","4/27"
"Norbit","UIP","$203,332","3/9"
"Next","Svensk","$196,525","5/16"
"Becoming Jane","Svensk","$190,578","9/14"
"Darling (2007)","Svensk","$169,627","2/9"
"Mr. Brooks","Svensk","$169,569","6/22"
"Notes on a Scandal","Fox","$168,341","2/23"
"The Jane Austen Book Club","Sony","$167,531","12/25"
"Hata Goteborg","Sonet","$156,051","5/4"
"Alpha Dog","Scanbox","$154,920","3/16"
"Bridge to Terabithia","Scanbox","$153,858","9/21"
"The Reaping","Sandrew","$142,524","6/22"
"Tenacious D in: The Pick of Destiny","Svensk","$139,626","2/16"
"Daddy Day Camp","Sony","$133,826","10/26"
"Smokin' Aces","UIP","$131,168","2/2"
"Jindabyne","NonStop","$121,541","1/5"
"Lady Chatterley","Atlantic","$116,680","11/16"
"Frágiles (Fragile)","Noble","$110,906","7/13"
"The Assassination of Jesse James by the Coward Robert Ford","Sandrew","$108,684","11/30"
"Tonari no Totoro (My Neighbor Totoro)","Triangel","$99,735","3/30"
"Bikur Ha-Tizmoret (The Band's Visit)","Folkets Bio","$96,914","12/25"
"The Brave One","Sandrew","$95,128","12/25"
"Grindhouse: Planet Terror","Svensk","$91,694","8/3"
"Evening","Scanbox","$91,522","11/23"
"Ne le dis à personne (Tell No One)","Noble","$89,582","8/24"
"Majo no takkyûbin (Kiki's Delivery Service)","Sonet","$89,566","11/23"
"Curse of the Golden Flower (Man cheng jin dai huang jin jia)","Nordisk","$89,117","10/19"
"The Magic Flute","NonStop","$87,026","7/6"
"A Mighty Heart","UIP","$86,848","10/26"
"Stomp the Yard","Sony","$84,496","6/1"
"Mon meilleur ami (My Best Friend)","NonStop","$81,585","10/12"
"Pirret","Svensk","$77,608","10/26"
"Kid Svensk","Svensk","$77,410","10/12"
"Premonition","Nordisk","$69,801","8/31"
"The Hoax","Nordisk","$66,689","10/12"
"Because I Said So","Svensk","$66,406","4/4"
"Sleuth (2007)","Sony","$64,811","11/9"
"An American Crime","Noble","$61,261","12/7"
"Inland Empire","Sonet","$57,870","10/18"
"Persepolis","Sandrew","$56,376","11/23"
"The Fountain","n/a","$53,407","3/23"
"La Tourneuse de pages (The Page Turner)","Triangel","$52,311","5/4"
"Izgnanie (The Banishment)","Atlantic","$50,458","11/23"
"Black Sheep (2007)","Noble","$46,977","8/10"
"Venus","Atlantic","$45,850","8/10"
"Freedom Writers","UIP","$44,696","5/18"
"Good Bye Bafana","Sandrew","$42,654","9/7"
"Sanxia haoren (Still Life)","NonStop","$36,690","6/1"
"Nancy Drew","WB","$33,485","11/9"
"The Last Mimzy","Svensk","$28,771","6/1"
"Fyra fruar och en man","Folkets Bio","$24,472","12/7"
"Vikaren (The Substitute)","Folkets Bio","$21,786","12/25"
"The Walker","NonStop","$20,802","12/14"
"Shoot 'Em Up","Svensk","$20,665","11/2"
"Breaking and Entering","BVI","$19,883","1/19"
"The Illusionist","Nordisk","$18,828","4/27"
"Breach","Sandrew","$13,663","5/25"
"Reno 911!: Miami","UIP","$13,593","7/20"
"Black Snake Moan","UIP","$13,154","6/1"
"All the King's Men","n/a","$12,286","1/19"
"Snuttefilm","Folkets Bio","$11,029","11/23"
"Emmas Glück","Folkets Bio","$10,851","7/20"
"Hors de prix (Priceless)","NonStop","$10,578","9/14"
"Dnevnoy dozor (Day Watch)","Fox","$10,417","9/21"
"Det svider i hjärtat","Folkets Bio","$9,861","10/19"
"Waitress","Fox","$9,471","11/30"
"Goya's Ghosts","n/a","$9,165","4/4"
"Death of a President","Noble","$8,348","4/20"
"L'Avocat de la terreur (Terror's Advocate)","NonStop","$8,068","12/7"
"L'Ivresse du pouvoir (Comedy of Power)","NonStop","$6,620","4/13"
"The Secret Life of Words","Folkets Bio","$6,580","8/17"
"A Guide to Recognizing Your Saints","Atlantic","$6,473","4/20"
"The Hitcher (2007)","Nordisk","$5,909","7/6"
"Anche libero va bene","Triangel","$5,767","4/13"
"Mala Noche (1985) (Re)","NonStop","$5,342","12/14"
"The Invasion","Sandrew","$5,219","11/2"
"Le Serpent","Noble","$5,187","7/6"
"Hot Rod","UIP","$4,821","11/23"
"The Cats of Mirikitani","Folkets Bio","$4,468","9/7"
"Firehouse Dog","Fox","$3,955","8/3"
"Interview","Sonet","$3,474","12/14"
"The Lookout","BVI","$3,072","9/7"
"License to Wed","Sandrew","$2,572","10/5"
"Blindsight","Svensk","$2,235","9/21"
"London to Brighton","Noble","$1,821","4/13"
"Cashback","Atlantic","$1,777","6/1"
"Trigger","Folkets Bio","$1,757","10/20"
"Miss Potter","Nordisk","$1,650","10/19"
"Daisy Diamond","Folkets Bio","$1,107","11/23"
"Hao da yi dui yang","Folkets Bio","$1,077","6/1"
"Hei yan quan (I Don't Want to Sleep Alone)","n/a","$760","10/12"
"Ett Hederligt Arbete","Folkets Bio","$625","9/21"
"The Seeker: The Dark Is Rising","n/a","$530","10/26"
