" Movie Title","Distributor","Gross","Release"
"Ironiya sudby. Prodolzhenie (The Irony of Fate 2)","Gemini","$4,093,580","12/21"
"Pirates of the Caribbean: At World's End","VIN","$3,193,670","5/23"
"Shrek the Third","VIN","$2,190,826","5/17"
"Transformers","VIN","$2,076,813","7/5"
"Harry Potter and the Order of the Phoenix","Kinomania","$2,058,044","7/19"
"National Treasure: Book of Secrets","B and H","$1,803,667","12/31"
"300","VIN","$1,634,440","3/22"
"Taxi 4","Cent. Part.","$1,505,365","3/6"
"Spider-Man 3","VIN","$1,439,035","5/3"
"The Heartbreak Kid","VIN","$1,227,819","10/4"
"Ratatouille","VIN","$1,142,583","6/28"
"Resident Evil: Extinction","Paradise","$1,076,761","9/20"
"Live Free or Die Hard","Gemini","$1,058,412","6/27"
"Stardust","VIN","$1,013,277","8/16"
"Bee Movie","VIN","$998,081","11/1"
"Ghost Rider","VIN","$990,847","2/15"
"Boy s tenyu 2 (Shadow Boxing 2)","Cent. Part.","$966,357","10/18"
"The Golden Compass","Kinomania","$944,886","12/6"
"Lubov morkov (Lovey-Dovey)","Gemini","$902,707","3/8"
"Ocean's Thirteen","Kinomania","$872,197","6/7"
"Mr. Bean's Holiday","VIN","$824,463","4/4"
"Ilya Muromets i solovey razboynik","Sinergia","$750,972","12/31"
"Beowulf","Kinomania","$725,716","11/22"
"Knocked Up","VIN","$672,698","8/2"
"Elizabeth: The Golden Age","VIN","$632,288","11/15"
"The Bourne Ultimatum","VIN","$624,071","8/23"
"The Simpsons Movie","Gemini","$607,329","8/16"
"Next","Cent. Part.","$589,521","4/26"
"Enchanted","B and H","$587,984","12/20"
"I Now Pronounce You Chuck and Larry","VIN","$570,923","9/6"
"Good Luck Chuck","JRC","$552,520","11/8"
"Mongol","Sinergia","$549,218","9/20"
"Wild Hogs","VIN","$537,305","3/15"
"Perfect Stranger","VIN","$537,125","4/12"
"Rush Hour 3","Kinomania","$523,980","9/13"
"Glyanets (Gloss)","Cent. Part.","$514,562","8/23"
"Hitman","Gemini","$498,413","11/29"
"Superbad","Kinomania","$496,904","10/18"
"Hannibal Rising","Interwest","$483,990","2/9"
"Pathfinder: Legend of the Ghost Warrior","Gemini","$482,354","1/11"
"Surf's Up","VIN","$464,389","6/7"
"Deja Vu","VIN","$459,214","1/15"
"Evan Almighty","VIN","$449,864","6/21"
"Paragraf 78, Part I","Cent. Part.","$414,887","2/22"
"The Last Legion","Paradise","$378,755","4/19"
"Fantastic Four: Rise of the Silver Surfer","Gemini","$371,985","6/14"
"Kod apokalipsisa (Apocalypse Code)","Kinomania","$366,649","10/4"
"In the Name of the King: A Dungeon Siege Tale","Paradise","$358,495","12/13"
