" Movie Title","Distributor","Gross","Release"
"The Smurfs","Sony","$813,143","8/5"
"Kung Fu Panda 2","Paramount","$798,304","6/10"
"Rio","Fox","$776,450","4/8"
"Cars 2","Disney","$609,355","6/24"
"Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$569,950","5/20"
"Harry Potter and the Deathly Hallows (Part Two)","WB","$558,523","7/15"
"The Hangover Part II","WB","$411,914","5/27"
"The King's Speech","n/a","$411,411","1/21"
"Midnight in Paris","n/a","$360,332","7/15"
"Un cuento chino","Disney","$349,420","6/17"
"Puss in Boots","Paramount","$333,965","12/9"
"Fast Five","UPI","$319,319","5/6"
"Tangled","Disney","$298,901","1/7"
"Black Swan","Fox","$294,384","2/4"
"Zookeeper","Sony","$292,742","7/6"
"Little Fockers","Paramount","$268,182","1/6"
"The Tourist","Sony","$264,595","1/1"
"Just Go With It","Sony","$244,044","4/15"
"Yogi Bear","WB","$227,738","1/28"
"The Twilight Saga: Breaking Dawn Part 1","n/a","$222,670","11/18"
"Transformers 3","Paramount","$207,272","6/29"
"Mr. Popper's Penguins","Fox","$201,077","7/1"
"La Rodata","n/a","$189,467","7/29"
"Hall Pass","WB","$185,947","4/1"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$185,692","1/1"
"Horrible Bosses","WB","$180,313","8/5"
"The Rite","WB","$177,282","2/18"
"Gulliver's Travels","Fox","$176,012","1/21"
"No Strings Attached","Paramount","$171,800","2/25"
"Reus","n/a","$170,271","3/25"
"Paranormal Activity 3","Paramount","$167,633","10/21"
"Unknown","WB","$165,932","3/4"
"Mi primera boda (My First Wedding)","n/a","$139,739","9/16"
"Rise of the Planet of the Apes","Fox","$137,215","9/2"
"Final Destination 5","WB","$135,910","9/9"
"Manyas La Pelicula","n/a","$134,960","10/7"
"Whatever Works","n/a","$128,240","4/15"
"3 Millones","n/a","$126,022","11/4"
"True Grit","Paramount","$119,670","2/11"
"Johnny English Reborn","UPI","$117,068","10/28"
"Green Lantern","WB","$116,370","8/19"
"The Lion King (in 3D)","Disney","$114,909","10/14"
"La casa muda (The Silent House)","n/a","$112,616","3/4"
"Hereafter","WB","$110,893","1/14"
"Justin Bieber: Never Say Never","Paramount","$107,212","3/25"
"Le concert (2009)","n/a","$106,725","4/8"
"Abduction","n/a","$100,830","9/23"
"Rango","Paramount","$93,287","3/4"
"Captain America: The First Avenger","Paramount","$92,170","7/29"
"Friends with Benefits","Sony","$89,261","9/9"
"Thor","Paramount","$82,485","4/28"
"Battle: Los Angeles","Sony","$81,753","3/11"
"Scream 4","n/a","$81,175","6/17"
"Crazy, Stupid, Love.","WB","$80,112","8/26"
"Sammy's Adventures: The Secret Passage","n/a","$76,272","2/18"
"The Next Three Days","n/a","$75,079","5/19"
"X-Men: First Class","Fox","$73,498","6/17"
"Dolphin Tale","WB","$73,249","9/30"
"Love and Other Drugs","Fox","$71,907","2/11"
"Mission: Impossible - Ghost Protocol","Paramount","$71,236","12/30"
"Larry Crowne","n/a","$69,905","8/19"
"Gnomeo and Juliet","n/a","$68,278","9/9"
"Real Steel","Disney","$67,715","10/7"
"Bad Teacher","Sony","$67,226","9/30"
"The Green Hornet","Sony","$65,751","2/4"
"Le hérisson","n/a","$65,632","3/25"
"Hop","UPI","$65,284","4/15"
"New Year's Eve","WB","$64,605","12/16"
"The Spy Next Door","n/a","$56,821","6/24"
"The Skin I Live In","n/a","$56,481","10/21"
"Certified Copy","n/a","$56,324","9/16"
"Big Mommas: Like Father, Like Son","Fox","$55,768","3/18"
"Unstoppable","Fox","$54,955","1/7"
"127 Hours","Fox","$54,232","2/18"
"Arthur Christmas","Sony","$53,825","12/16"
"Dream House","WB","$53,272","10/14"
"Contagion","WB","$50,434","10/28"
"The Lincoln Lawyer","n/a","$49,360","7/22"
"Winter's Bone","n/a","$47,870","2/4"
"Insidious","n/a","$46,905","8/19"
"The Change-Up","UPI","$46,113","12/2"
"Happy Feet Two","WB","$44,620","11/25"
"Killers","n/a","$42,987","5/6"
"Biutiful","n/a","$41,876","3/4"
"Red Riding Hood","WB","$41,734","4/21"
"Source Code","n/a","$41,375","7/29"
"Habemus Papam (We Have a Pope)","n/a","$40,222","11/25"
"Burlesque","Sony","$39,890","1/21"
"Hævnen (In a Better World)","n/a","$39,536","10/7"
"Red","n/a","$36,937","1/21"
"Marziano's","Fox","$36,302","11/4"
"In Time","Fox","$35,348","11/4"
"Pina","n/a","$34,371","11/25"
"Mars Needs Moms","Disney","$32,286","3/11"
"The Fighter","n/a","$32,265","2/18"
"Fair Game (2010)","n/a","$31,382","6/24"
"The Three Musketeers (2011)","n/a","$31,304","10/28"
"Torrente 4","n/a","$30,956","4/28"
"Water for Elephants","Fox","$30,376","4/28"
"Killer Elite","n/a","$30,115","12/9"
"I Am Number Four","Disney","$29,663","4/8"
"Priest","Sony","$29,111","5/12"
"La tête en friche","n/a","$28,088","11/18"
"The Ward (2011)","n/a","$27,865","12/2"
"Something Borrowed","n/a","$27,359","8/12"
"Mademoiselle Chambon","n/a","$26,880","1/28"
"Mine vaganti (Loose Cannons)","n/a","$26,359","11/18"
"Stone","n/a","$26,226","4/21"
"Somewhere","UPI","$26,183","3/25"
"Super 8","Paramount","$25,374","9/16"
"Des hommes et des dieux (Of Gods and Men)","n/a","$25,050","9/9"
"Pranzo di ferragosto (Mid-August Lunch)","n/a","$24,485","6/24"
"Incendies","n/a","$24,204","8/12"
"Drive Angry","WB","$23,673","3/18"
"Potiche","n/a","$22,733","7/6"
"Mother and Child","n/a","$22,686","5/13"
"Another Year","n/a","$22,276","10/7"
"Bridesmaids","UPI","$21,643","9/23"
"Cowboys & Aliens","Paramount","$21,628","8/26"
"I Am Love","n/a","$21,280","10/14"
"Los ojos de Julia (Julia's Eyes)","UPI","$21,021","5/13"
"Sanctum (3D)","n/a","$20,788","3/4"
"Inside Job","Sony","$20,172","4/29"
"The Mechanic","n/a","$19,109","6/10"
"The Resident","n/a","$18,223","12/2"
"Devil","UPI","$17,633","3/18"
"Piranha 3D","n/a","$17,287","2/25"
