" Movie Title","Distributor","Gross","Release"
"Madagascar: Escape 2 Africa","UPI","$40,665,152","10/30"
"Admiral","Fox","$34,527,887","10/8"
"Samiy luchshiy film (The Very Best Film)","Caroprokat","$27,587,535","1/24"
"The Mummy: Tomb of the Dragon Emperor","UPI","$27,488,817","7/31"
"Wanted","UPI","$26,388,590","6/26"
"Hancock","Dis./Sony","$26,059,966","7/10"
"Kung Fu Panda","UPI","$20,579,860","6/5"
"Quantum of Solace","Dis./Sony","$18,054,093","11/6"
"Lubov morkov 2 (Lovey Dovey 2)","Caroprokat","$17,846,562","12/25"
"Indiana Jones and the Kingdom of the Crystal Skull","UPI","$16,876,135","5/22"
"Stilyagi","Cent. Part.","$16,767,349","12/25"
"The Chronicles of Narnia: Prince Caspian","Dis./Sony","$14,770,821","5/15"
"Bolt","Dis./Sony","$12,242,512","11/27"
"Wall-E","Dis./Sony","$11,694,482","7/3"
"The Day the Earth Stood Still (2008)","Fox","$10,202,644","12/11"
"Gitler kaput! (Hitler's Kaput!)","Cent. Part.","$9,690,929","9/18"
"Iron Man","UPI","$9,386,135","5/1"
"Transporter 3","Cent. Part.","$9,345,065","11/27"
"I Am Legend","Karo","$9,223,695","2/7"
"Mamma Mia!","UPI","$9,154,262","9/25"
"What Happens in Vegas","Fox","$9,110,237","5/8"
"Astérix aux jeux olympiques","Cent. Part.","$9,089,153","1/31"
"Journey to the Center of the Earth","Karo","$9,071,140","9/11"
"Sex and the City","Karo","$9,015,691","6/19"
"10,000 B.C.","Karo","$8,809,289","3/13"
"The Dark Knight","Karo","$8,589,052","8/14"
"Hellboy II: The Golden Army","UPI","$8,509,274","7/17"
"My iz buduschego (We Are from the Future)","Caroprokat","$8,228,165","2/21"
"Jumper","Fox","$8,107,211","2/14"
"Vsyo mogut koroli","Caroprokat","$7,452,426","3/6"
"Dr. Seuss' Horton Hears a Who!","Fox","$7,401,001","3/13"
"Alien vs. Predator - Requiem","Fox","$7,338,108","1/10"
"Death Race","UPI","$6,734,425","9/11"
"Max Payne","Fox","$6,479,113","10/23"
"The Incredible Hulk","UPI","$6,375,681","6/12"
"Open Season 2","Dis./Sony","$6,262,134","10/16"
"Stritreysery (Streetracers)","Cent. Part.","$6,006,846","3/6"
"Tropic Thunder","UPI","$5,945,097","8/14"
"Den Radio (Radio Day)","Cent. Part.","$5,723,592","3/20"
"Babylon A.D.","West","$5,720,547","8/28"
"Cloverfield","UPI","$5,695,340","1/24"
"Platon","Paradise","$5,129,279","11/20"
"The X-Files: I Want to Believe","Fox","$4,858,379","7/24"
"21","Dis./Sony","$4,746,496","4/17"
"Burn After Reading","CP","$4,708,616","10/2"
"Indigo","Caroprokat","$4,645,899","3/26"
"Eagle Eye","UPI","$4,558,428","10/2"
"The Spiderwick Chronicles","UPI","$4,115,458","3/20"
"The Happening","Fox","$4,035,465","6/12"
"Fool's Gold","Karo","$4,016,528","4/3"
"Mirrors","Fox","$3,968,383","8/21"
"Priklyucheniya Alyonushki i Eryomy (The Adventures of Alyonushka and Yeryoma)","Paradise","$3,962,053","10/16"
"Tarif Novogodniy","Profit","$3,877,492","12/4"
"The Tale of Despereaux","UPI","$3,836,618","12/25"
"Fly Me to the Moon","Cascade","$3,798,445","8/21"
"Bangkok Dangerous (2008)","Paradise","$3,617,090","9/4"
"Righteous Kill","Top Film","$3,602,665","9/18"
"Twilight","West","$3,577,854","11/20"
"Rambo","Paradise","$3,288,498","1/24"
"Step Up 2 the Streets","West","$3,146,297","2/28"
"You Don't Mess with the Zohan","Dis./Sony","$3,128,490","6/19"
"Ochen russkiy detektiv (Very Russian Detective)","Caroprokat","$3,080,782","11/20"
"Meet Dave","Fox","$3,046,990","7/10"
"How to Lose Friends and Alienate People","Luxor","$2,927,210","10/16"
"Montana","Paradise","$2,904,119","2/7"
"My Best Friend's Girl","Paradise","$2,886,947","9/18"
"The Bank Job","Top Film","$2,857,373","3/27"
"P.S. I Love You","West","$2,829,857","2/14"
"Aleksandr. Nevskaya bitva","Caroprokat","$2,783,062","5/1"
"The Forbidden Kingdom","Top Film","$2,740,124","4/24"
"Skaz pro Fedota-streltsa (About Fedot the Shooter)","Nashe Kino","$2,586,097","12/18"
"Four Christmases","Karo","$2,581,190","12/18"
"Meet the Spartans","Fox","$2,558,304","2/21"
"The Water Horse: Legend of the Deep","Dis./Sony","$2,557,391","2/28"
"27 Dresses","Fox","$2,555,637","3/20"
"L'Instinct de mort","Top Film","$2,509,851","11/13"
"Virgin Territory","Paradise","$2,441,425","3/6"
"El Orfanato (The Orphanage)","Luxor","$2,419,758","2/28"
"Domovoy (Ghost)","Cent. Part.","$2,401,660","11/13"
"Get Smart","Karo","$2,311,339","7/17"
