" Movie Title","Distributor","Gross","Release"
"Mamma Mia!","UIP","$7,394,659","7/3"
"Astérix aux jeux olympiques","Rosebud","$4,613,015","1/31"
"Molis horisa (Just Broke Up)","Odeon","$4,587,030","2/14"
"Loufa kai apallagi - I4","Odeon","$4,580,564","4/27"
"Bank Bang","Village","$4,131,680","12/18"
"Quantum of Solace","Aud. Vis.","$4,033,157","11/6"
"The Dark Knight","Village","$3,807,925","7/17"
"Madagascar: Escape 2 Africa","UIP","$3,332,259","12/18"
"I Am Legend","Village","$3,245,220","1/1"
"Indiana Jones and the Kingdom of the Crystal Skull","UIP","$3,039,531","5/22"
"O Ilias tou 16ou","Odeon","$2,921,764","11/27"
"Sex and the City","Village","$2,736,069","6/5"
"Vicky Cristina Barcelona","Spentzos","$2,677,884","10/9"
"To Gamilio party","Aud. Vis.","$2,297,104","1/17"
"Atonement","UIP","$2,240,113","1/24"
"Kung Fu Panda","UIP","$2,114,577","9/4"
"Wanted","UIP","$2,080,360","8/28"
"National Treasure: Book of Secrets","Aud. Vis.","$2,017,100","1/3"
"Afstiros katallilo","Aud. Vis.","$1,986,772","10/23"
"10,000 B.C.","Village","$1,825,458","3/13"
"Sweeney Todd: The Demon Barber of Fleet Street","Village","$1,811,007","2/7"
"Iron Man","UIP","$1,799,601","5/1"
"Burn After Reading","Odeon","$1,627,872","9/25"
"Righteous Kill","Odeon","$1,605,060","9/11"
"Wall-E","Aud. Vis.","$1,586,542","9/18"
"Changeling","UIP","$1,574,374","12/4"
"No Country for Old Men","UIP","$1,573,989","3/6"
"Hancock","Aud. Vis.","$1,541,283","9/18"
"The Chronicles of Narnia: Prince Caspian","Aud. Vis.","$1,510,214","8/21"
"Journey to the Center of the Earth","Roadshow","$1,504,034","9/25"
"Australia","Odeon","$1,407,115","12/25"
"Step Up 2 the Streets","Odeon","$1,363,571","2/28"
"Body of Lies","Village","$1,295,910","11/20"
"You Don't Mess with the Zohan","Aud. Vis.","$1,267,165","9/4"
"21","Aud. Vis.","$1,254,010","4/10"
"Get Smart","Village","$1,180,400","6/19"
"There Will Be Blood","Aud. Vis.","$1,147,969","2/21"
"Charlie Wilson's War","UIP","$1,082,248","1/10"
"The Day the Earth Stood Still (2008)","Odeon","$1,015,441","12/11"
"Tropic Thunder","UIP","$1,011,389","9/25"
"What Happens in Vegas","Odeon","$969,061","5/15"
"High School Musical 3: Senior Year","Aud. Vis.","$899,400","12/4"
"The Bucket List","Village","$884,268","1/24"
"Before the Devil Knows You're Dead","Village","$876,347","3/20"
"Saw V","Spentzos","$872,039","10/30"
"Jumper","Odeon","$844,093","3/6"
"The Mummy: Tomb of the Dragon Emperor","UIP","$840,407","10/9"
"The Incredible Hulk","UIP","$833,969","6/12"
"Vantage Point","Aud. Vis.","$833,881","3/27"
"Die Welle (The Wave)","Seven","$813,804","11/13"
"Fool's Gold","Village","$787,307","4/17"
"Rambo","Odeon","$764,957","1/24"
"Bedtime Stories","Aud. Vis.","$758,382","12/25"
"Superhero Movie","Odeon","$745,246","4/3"
"The Happening","Odeon","$673,005","6/12"
"Dr. Seuss' Horton Hears a Who!","Odeon","$663,985","4/10"
"Max Payne","Odeon","$579,228","10/16"
"Entre les murs (The Class)","AMA","$575,050","10/23"
"Auf der anderen Seite (Yasamin kiyisinda) (The Edge of Heaven)","Rosebud","$573,165","2/14"
"Meet the Spartans","Odeon","$571,990","3/27"
"The Other Boleyn Girl","Odeon","$569,998","3/13"
"Nights in Rodanthe","Village","$566,280","11/13"
"The Spirit","Spentzos","$564,916","12/25"
"The X-Files: I Want to Believe","Odeon","$558,284","7/24"
"Juno","Odeon","$514,809","1/24"
"In Bruges","Odeon","$509,987","4/3"
"Fly Me to the Moon","Odeon","$507,799","11/13"
"Alien vs. Predator - Requiem","Odeon","$477,348","1/10"
"Pride & Glory","Village","$456,894","10/30"
"The Strangers","Odeon","$428,837","8/21"
"RockNRolla","Village","$408,375","12/4"
"P.S. I Love You","Odeon","$403,540","1/10"
"Four Christmases","Village Roadshow","$399,072","12/11"
"Doomsday","Odeon","$397,893","3/20"
"Happy-Go-Lucky","Odeon","$385,167","10/2"
"Mirrors","Odeon","$356,096","10/2"
"Street Kings","Odeon","$349,620","4/17"
