" Movie Title","Distributor","Gross","Release"
"Mamma Mia!","UPI","$132,342,643","7/11"
"The Dark Knight","WB","$89,066,002","7/25"
"Quantum of Solace","Sony","$80,805,643","10/31"
"Indiana Jones and the Kingdom of the Crystal Skull","PPI","$79,283,312","5/22"
"Sex and the City","Entertain.","$52,276,151","5/28"
"Hancock","Sony","$49,170,891","7/2"
"Wall-E","Disney","$41,215,600","7/18"
"Kung Fu Panda","PPI","$39,405,501","7/4"
"Madagascar: Escape 2 Africa","PPI","$35,471,617","12/5"
"High School Musical 3: Senior Year","Disney","$33,900,140","10/24"
"Iron Man","PPI","$33,822,889","5/2"
"Sweeney Todd: The Demon Barber of Fleet Street","WB","$21,747,800","1/25"
"The Mummy: Tomb of the Dragon Emperor","UPI","$21,667,251","8/8"
"The Chronicles of Narnia: Prince Caspian","Disney","$21,581,030","6/26"
"Step Up 2 the Streets","UPI","$20,955,124","3/21"
"The Spiderwick Chronicles","PPI","$20,902,301","3/21"
"Wanted","UPI","$19,344,027","6/27"
"Juno","Fox","$19,223,726","2/8"
"Cloverfield","PPI","$18,663,002","2/1"
"National Treasure: Book of Secrets","Disney","$17,626,166","2/8"
"Dr. Seuss' Horton Hears a Who!","Fox","$17,255,430","3/21"
"Jumper","Fox","$17,042,267","2/14"
"Twilight","Contender","$16,305,715","12/19"
"The Incredible Hulk","UPI","$16,227,041","6/13"
"Four Christmases","Entertain.","$15,868,934","11/26"
"What Happens in Vegas","Fox","$15,639,149","5/9"
"Tropic Thunder","PPI","$15,478,805","9/19"
"Forgetting Sarah Marshall","UPI","$15,123,663","4/25"
"Yes Man","WB","$15,009,401","12/26"
"Hellboy II: The Golden Army","UPI","$13,962,118","8/22"
"No Country for Old Men","PPI","$13,719,432","1/18"
"27 Dresses","Fox","$13,458,037","3/27"
"Bedtime Stories","Disney","$12,886,242","12/26"
"Burn After Reading","UPI","$12,712,811","10/17"
"Step Brothers","Sony","$12,553,039","8/29"
"The Duchess","Pathé","$11,869,300","9/5"
"Vantage Point","Sony","$11,610,153","3/7"
"Australia","Fox","$11,410,879","12/26"
"10,000 B.C.","WB","$11,349,484","3/14"
"Taken","Fox","$11,275,928","9/26"
"The Day the Earth Stood Still (2008)","Fox","$10,901,777","12/12"
"21","Sony","$10,886,989","4/11"
"Angus, Thongs and Perfect Snogging","PPI","$10,627,381","7/25"
"You Don't Mess with the Zohan","Sony","$10,481,344","8/15"
"Saw V","Lions Gate","$10,436,769","10/24"
"Ghost Town","PPI","$10,292,743","10/24"
"The Other Boleyn Girl","UPI","$9,709,885","3/7"
"In Bruges","UPI","$9,659,983","3/7"
"Wild Child","UPI","$9,524,380","8/15"
"The Water Horse: Legend of the Deep","Sony","$9,451,837","2/8"
"Alien vs. Predator - Requiem","Fox","$9,254,195","1/18"
"There Will Be Blood","Disney","$9,189,480","2/8"
"Charlie Wilson's War","UPI","$9,096,666","1/11"
"Get Smart","WB","$9,015,891","8/22"
"RockNRolla","WB","$8,915,788","9/5"
"The Game Plan","Disney","$8,477,553","3/7"
"Son of Rambow","Optimum","$8,272,930","4/4"
"The Bank Job","Lions Gate","$8,068,923","2/28"
"The Happening","Fox","$7,985,542","6/13"
"The Strangers","UPI","$7,804,867","8/29"
"Nim's Island","UPI","$7,784,514","5/2"
"Be Kind, Rewind","Pathé","$7,650,502","2/22"
"Changeling","UPI","$7,565,982","11/28"
"Journey to the Center of the Earth","Entertain.","$7,400,943","7/11"
"Space Chimps","Entertain.","$7,286,700","8/1"
"The Boy in the Striped Pajamas","Disney","$7,162,900","9/12"
"How to Lose Friends and Alienate People","PPI","$7,055,425","10/3"
"Pineapple Express","Sony","$6,979,618","9/12"
"Over Her Dead Body","Entertain.","$6,807,801","2/1"
"Igor","Momentum","$6,731,993","10/10"
"The Women (2008)","Entertain.","$6,725,801","9/12"
"Adulthood","Pathé","$6,611,001","6/20"
"Penelope","Momentum","$6,496,687","2/1"
"Meet the Spartans","Fox","$6,423,181","3/21"
"Rambo","Sony","$6,227,445","2/22"
"Inkheart","Ent. Films","$5,781,992","12/12"
"Definitely, Maybe","UPI","$5,681,667","2/8"
"Eagle Eye","PPI","$5,531,081","10/17"
"Star Wars: The Clone Wars","WB","$5,510,300","8/15"
"Disaster Movie","Momentum","$5,400,013","9/5"
"Superhero Movie","Momentum","$5,395,572","6/6"
"The House Bunny","Sony","$5,378,284","10/10"
"The Accidental Husband","Momentum","$4,994,133","2/29"
"Fool's Gold","WB","$4,753,969","4/18"
"Mirrors","Fox","$4,716,833","10/10"
"Made of Honor","Sony","$4,699,956","5/2"
"Drillbit Taylor","PPI","$4,452,750","3/28"
"Body of Lies","WB","$4,419,345","11/21"
"The X-Files: I Want to Believe","Fox","$4,391,760","8/1"
"Never Back Down","Momentum","$4,281,726","4/4"
"Semi-Pro","Entertain.","$4,178,812","2/29"
"The Bucket List","WB","$3,990,851","2/15"
"Max Payne","Fox","$3,818,126","11/14"
"Transporter 3","Icon","$3,736,278","12/5"
"The Tale of Despereaux","UPI","$3,727,089","12/19"
"Death Race","UPI","$3,696,666","9/26"
"Zack and Miri Make a Porno","Entertain.","$3,663,335","11/14"
"The Eye","Lions Gate","$3,648,328","4/24"
"Righteous Kill","Lions Gate","$3,629,890","9/26"
"Gone Baby Gone","Disney","$3,625,002","6/6"
"Untraceable","UPI","$3,516,577","2/29"
"El Orfanato (The Orphanage)","Optimum","$3,502,074","3/21"
"Meet Dave","Fox","$3,344,166","7/18"
"Speed Racer","WB","$3,240,114","5/9"
"My Best Friend's Girl","Lions Gate","$3,158,855","11/21"
"Dan in Real Life","Icon","$3,124,287","1/11"
"Awake","Icon","$3,105,437","4/4"
"Happy-Go-Lucky","Momentum","$3,105,262","4/18"
"Underdog","Disney","$3,038,323","2/1"
"The Forbidden Kingdom","Lions Gate","$2,760,798","7/9"
"Street Kings","Fox","$2,738,130","4/18"
"Prom Night (2008)","Sony","$2,622,305","6/6"
"Make It Happen","Optimum","$2,616,579","8/8"
"The Love Guru","PPI","$2,539,175","8/1"
"Singh Is Kinng","Studio 18","$2,490,130","8/8"
"City of Ember","Entertain.","$2,468,399","10/10"
"The Edge of Love","Lions Gate","$2,423,788","6/20"
"One Missed Call","WB","$2,339,087","4/4"
"Fly Me to the Moon","Momentum","$2,239,810","10/3"
"Rab Ne Bana Di Jodi","Yash Raj","$2,178,914","12/12"
"Leatherheads","UPI","$2,177,829","4/11"
"Babylon A.D.","Fox","$2,161,024","8/29"
"Brideshead Revisited","Disney","$2,115,490","10/3"
"Si jie (Lust, Caution)","UPI","$2,072,318","1/4"
"Doomsday","UPI","$2,061,794","5/9"
