" Movie Title","Distributor","Gross","Release"
"Avatar","Fox","$10,491,936","12/17"
"Ice Age: Dawn of the Dinosaurs","Fox","$7,125,445","7/2"
"2012","Sony","$4,107,761","11/12"
"Up","Disney","$3,645,572","6/11"
"Harry Potter and the Half Blood Prince","WB","$3,490,188","7/15"
"The Twilight Saga: New Moon","n/a","$2,478,548","11/26"
"Angels & Demons","Sony","$2,211,285","5/14"
"Transformers: Revenge of the Fallen","UIP","$2,047,357","6/23"
"G-Force","Disney","$1,595,232","7/23"
"Night at the Museum: Battle of the Smithsonian","Fox","$1,381,208","5/21"
"Twilight","Bazuca","$1,290,455","1/1"
"Grado 3","n/a","$1,146,214","7/9"
"The Curious Case of Benjamin Button","WB","$1,109,721","1/22"
"Hannah Montana The Movie","Disney","$1,056,206","4/30"
"Cloudy with a Chance of Meatballs","Sony","$1,044,266","9/16"
"Monsters Vs. Aliens","UIP","$1,036,375","4/2"
"Bedtime Stories","Disney","$1,019,509","2/19"
"X-Men Origins: Wolverine","Fox","$993,660","4/30"
"Terminator Salvation: The Future Begins","Sony","$948,216","6/4"
"Yes Man","WB","$929,148","1/15"
"The Princess and the Frog","Disney","$904,105","12/3"
"Inglourious Basterds","UIP","$900,805","10/8"
"Valkyrie","Fox","$788,657","2/12"
"The Final Destination","WB","$768,364","10/1"
"Slumdog Millionaire","Bazuca","$764,404","2/19"
"A Christmas Carol (2009)","Disney","$728,147","11/5"
"Orphan","WB","$722,045","8/27"
"Knowing","n/a","$715,344","5/21"
"Michael Jackson's This Is It","Sony","$699,407","10/28"
"Race to Witch Mountain","Disney","$674,840","4/9"
"Paranormal Activity","n/a","$654,695","12/24"
"The Hangover","WB","$586,310","8/20"
"Beverly Hills Chihuahua","Disney","$579,028","1/8"
"District 9","Sony","$560,397","10/1"
"Public Enemies","UIP","$497,563","7/30"
"Isla 10","n/a","$433,603","9/10"
"La nana (The Maid)","Andes Films","$429,657","8/13"
"G.I. Joe","UIP","$420,139","8/6"
"El delfín: La historia de un soñador (The Dolphin: Story of a Dreamer)","Fox","$417,949","10/8"
"The Taking of Pelham One, Two, Three","Sony","$401,304","9/10"
"Earth (2007)","Disney","$372,880","4/22"
"The Ugly Truth","Sony","$370,726","9/3"
"Inkheart","WB","$369,600","2/5"
"Drag Me to Hell","UIP","$365,628","10/29"
"Old Dogs","Disney","$360,864","12/24"
"Dragonball Evolution","Fox","$357,254","4/9"
"Gran Torino","WB","$356,118","3/19"
"The Unborn (2009)","UIP","$344,528","4/16"
"Fast and Furious","UIP","$344,211","5/7"
"Coraline","UIP","$332,484","2/5"
"Australia","Fox","$324,519","1/8"
"Underworld: Rise of the Lycans","Sony","$316,294","3/19"
"Super","n/a","$315,828","10/1"
"Aliens in the Attic","Fox","$302,418","8/27"
"The Proposal","Disney","$293,813","8/6"
"He's Just Not That Into You","WB","$279,930","2/12"
"Star Trek","UIP","$273,992","5/7"
"Planet 51","n/a","$271,297","11/26"
"Friday the 13th (2009)","UIP","$270,539","2/12"
"Hotel for Dogs","UIP","$269,095","1/22"
"Changeling","UIP","$260,517","3/12"
"The Boy in the Striped Pajamas","Disney","$259,677","1/15"
"Tinker Bell and the Lost Treasure","Disney","$245,475","9/3"
"Shorts","WB","$230,695","8/6"
"Vicky Cristina Barcelona","n/a","$220,130","4/30"
"Watchmen","UIP","$214,235","3/5"
"Quarantine","Sony","$188,281","1/29"
"The Tale of Despereaux","UIP","$158,946","1/29"
"Last Chance Harvey","n/a","$158,660","8/27"
"Marley and Me","Fox","$157,516","1/15"
"The Uninvited","UIP","$150,478","10/22"
"Coco avant Chanel","WB","$149,636","10/22"
"Whiteout","WB","$147,011","12/3"
"Duplicity","UIP","$144,527","5/28"
