" Movie Title","Distributor","Gross","Release"
"Avatar","Fox","$13,620,596","12/18"
"Ice Age: Dawn of the Dinosaurs","Fox","$8,337,569","7/3"
"Up","Disney","$4,921,448","6/5"
"2012","Sony","$4,154,198","11/13"
"Transformers: Revenge of the Fallen","UIP","$2,939,275","6/26"
"Harry Potter and the Half Blood Prince","WB","$2,826,344","7/17"
"Angels & Demons","Sony","$2,762,566","5/15"
"G-Force","Disney","$2,645,861","7/31"
"The Twilight Saga: New Moon","Cine","$2,229,922","11/27"
"Cloudy with a Chance of Meatballs","Sony","$2,140,077","10/2"
"Night at the Museum: Battle of the Smithsonian","Fox","$2,091,789","5/22"
"Monsters Vs. Aliens","UIP","$2,088,430","4/3"
"Terminator Salvation: The Future Begins","Sony","$1,883,524","6/4"
"The Princess and the Frog","Disney","$1,872,829","12/25"
"A Christmas Carol (2009)","Disney","$1,768,192","11/13"
"Bedtime Stories","Disney","$1,700,466","1/9"
"Slumdog Millionaire","Cine","$1,650,380","2/20"
"X-Men Origins: Wolverine","Fox","$1,648,322","4/30"
"Twilight","n/a","$1,461,655","1/2"
"Race to Witch Mountain","Disney","$1,404,644","3/27"
"The Curious Case of Benjamin Button","WB","$1,367,443","1/22"
"The Final Destination","Cine","$1,151,414","9/11"
"Michael Jackson's This Is It","Sony","$1,065,543","10/28"
"Planet 51","Cine","$967,122","11/20"
"Yes Man","n/a","$961,557","1/16"
"The Hangover","WB","$926,522","8/14"
"G.I. Joe","UIP","$923,425","8/7"
"Fast and Furious","UIP","$885,350","4/3"
"The Proposal","Disney","$839,986","7/10"
"The Ugly Truth","Sony","$820,612","8/28"
"Seven Pounds","n/a","$752,979","1/16"
"The Taking of Pelham One, Two, Three","Sony","$733,285","9/11"
"Saw VI","Disney","$701,742","10/30"
"Hotel for Dogs","UIP","$677,715","1/23"
"Knowing","Cine","$673,618","4/17"
"Surrogates","Disney","$664,812","10/2"
"Orphan","WB","$574,599","8/21"
"Valkyrie","n/a","$554,817","2/13"
"Hannah Montana The Movie","Disney","$542,492","5/1"
"District 9","Sony","$523,275","9/25"
"Public Enemies","UIP","$506,386","8/21"
"The Unborn (2009)","UIP","$476,433","5/8"
"Marley and Me","n/a","$448,296","1/16"
"Inglourious Basterds","UIP","$424,169","10/30"
"Dragonball Evolution","Fox","$417,285","4/10"
"Coraline","UIP","$410,074","2/6"
"Aliens in the Attic","Fox","$393,112","9/11"
"Drag Me to Hell","UIP","$388,081","10/9"
"Vicky Cristina Barcelona","n/a","$375,074","1/9"
"Underworld: Rise of the Lycans","Sony","$358,079","2/27"
"Shorts","WB","$339,309","8/28"
"The Boy in the Striped Pajamas","Disney","$339,040","1/16"
"My Bloody Valentine 3-D","Cine","$334,759","8/14"
"Inkheart","Cine","$327,602","4/3"
"17 Again","Cine","$313,479","6/19"
"Transporter 3","Cineplex","$295,442","6/12"
"Star Trek","UIP","$281,553","5/8"
"Friday the 13th (2009)","UIP","$261,820","2/13"
"Watchmen","UIP","$257,421","3/6"
"The Tale of Despereaux","n/a","$248,631","1/1"
"The Uninvited","UIP","$241,997","9/4"
"Earth (2007)","Disney","$240,111","4/24"
"Land of the Lost","UIP","$233,696","11/6"
"Duplicity","UIP","$232,785","5/29"
"Tim Burton's The Nightmare Before Christmas in 3-D (2009 re-issue)","Disney","$228,910","10/23"
"Bride Wars","Fox","$220,226","2/6"
"Amar a Morir","UIP","$217,910","10/16"
"Whiteout","WB","$217,156","12/4"
"The Bank Job","Cine","$214,865","7/31"
"Death Defying Acts","Cine","$209,487","6/12"
"He's Just Not That Into You","Cine","$195,479","7/24"
"The International","Sony","$194,895","3/20"
"The Accidental Husband","Disney","$194,856","9/11"
"State of Play","UIP","$185,658","7/31"
"The Pink Panther 2","Sony","$184,294","4/17"
"Julie & Julia","Sony","$171,151","10/9"
"Righteous Kill","Cine","$164,390","5/29"
"Gran Torino","WB","$163,750","3/13"
"El delfín: La historia de un soñador (The Dolphin: Story of a Dreamer)","Fox","$159,510","10/9"
"The Reader","Cineplex","$154,956","9/11"
"Jonas Brothers: The 3D Concert Experience","n/a","$154,214","3/6"
"The Last House on the Left (2009)","UIP","$151,276","7/10"
"Paul Blart: Mall Cop","Sony","$146,436","5/8"
"Quarantine","n/a","$139,687","1/23"
"Changeling","n/a","$134,105","2/6"
"Coco avant Chanel","WB","$127,535","10/9"
"My Sister's Keeper","Cine","$123,991","11/6"
"Doubt","n/a","$123,528","2/6"
"Jennifer's Body","Fox","$109,651","10/16"
"Elegy","Cine","$107,930","7/10"
"Milk","UIP","$102,648","4/24"
"Step Father (2009)","Sony","$99,192","12/11"
"Entre les murs (The Class)","Babilla","$92,537","6/12"
"Revolutionary Road","n/a","$92,519","1/30"
"Confessions of a Shopaholic","Disney","$84,498","3/20"
"Defiance","Cineplex","$82,792","11/20"
"The Strangers","Cine","$75,555","5/22"
"The Time Traveler's Wife","Cine","$71,814","12/4"
"Venezzia","UIP","$62,874","9/25"
"The Duchess","n/a","$62,772","1/1"
"Venus","Cine","$59,819","5/22"
"The Wrestler","Cine","$59,817","7/24"
"The Air I Breathe","n/a","$54,905","3/20"
"Auf der anderen Seite (Yasamin kiyisinda) (The Edge of Heaven)","Cine","$54,813","7/31"
"I Love You Man","UIP","$54,714","4/24"
"Etz Limon (Lemon Tree)","Cineplex","$54,660","7/10"
"Bangkok Dangerous (2008)","Cine","$49,552","3/13"
"Paris (2008)","Babilla","$47,512","8/7"
"Before the Devil Knows You're Dead","n/a","$47,436","2/27"
"Faubourg 36 (Paris 36)","Cineplex","$47,267","11/6"
"In Bruges","Cine","$42,205","9/4"
"The Informant","WB","$42,137","10/16"
"Gomorra","Babilla","$41,118","4/3"
"Frozen River","Sony","$40,580","5/22"
"Rudo y Cursi","n/a","$37,312","3/13"
"The Women (2008)","Cine","$34,795","4/24"
"An American Crime","Cine","$34,496","10/16"
"Sex Drive","n/a","$34,361","2/27"
"Deception (2008)","n/a","$33,728","2/6"
"Los Girasoles ciegos","Cineplex","$33,029","3/6"
"Personal Effects","n/a","$31,019","11/6"
"Mad Money","n/a","$30,520","3/6"
"Turistas","Cine","$29,336","5/1"
"Rachel Getting Married","Sony","$29,014","3/6"
"Free Style","n/a","$28,134","3/13"
"My Sassy Girl","Venus","$27,164","10/16"
"Borderland","Venus","$26,848","10/23"
"Obsluhoval jsem anglického krále (I Served the King of England)","Cine","$26,634","4/24"
"Flawless (2007)","n/a","$26,574","3/13"
"Pride & Glory","n/a","$26,367","3/6"
"Un conte de Noël (A Christmas Tale)","Babilla","$26,001","12/25"
"Happy-Go-Lucky","Cineplex","$25,398","5/29"
"Role Models","UIP","$24,717","4/17"
"Black Christmas (2006)","n/a","$23,222","1/30"
"L' Heure d'ete","Cineplex","$22,852","6/19"
"The Brothers Bloom","Cine","$21,266","12/11"
"Dr. Aléman","n/a","$20,337","11/6"
"Blackout (2007)","Cine","$19,630","10/2"
"Gake no ue no Ponyo (Ponyo on a Cliff)","Babilla","$18,355","10/30"
"The Condemned","Cine","$18,140","3/27"
"Donkey Xote","Cine","$17,720","8/14"
"W Delta Z (a.k.a. Waz)","Cine","$17,534","9/18"
"Dan in Real Life","n/a","$17,325","2/13"
"Swing Vote","Cine","$15,261","8/28"
"Funny Games","Cine","$15,021","5/29"
"Push","Cine","$13,827","8/21"
"Frost/Nixon","n/a","$13,739","2/20"
"The Hitcher (2007)","n/a","$12,930","3/13"
"Frontieres","Cineplex","$12,734","10/30"
"Wild Child","n/a","$11,703","2/27"
"Sin Nombre","UIP","$11,236","12/4"
"The Ugly Duckling and Me!","Cineplex","$7,362","8/7"
"The Good Night","Cine","$7,251","9/18"
"I Could Never Be Your Woman","Cine","$7,025","9/4"
"Revolver","Cine","$6,949","5/22"
"Be Kind, Rewind","Cine","$6,069","9/11"
"Lake Tahoe","Babilla","$5,522","7/3"
"Killshot","Cine","$4,404","11/20"
"Factory Girl","Cine","$2,308","9/4"
"Tony Manero","Babilla","$1,455","11/20"
"Ben X","n/a","$1,350","3/20"
"Mio Fratello E Figlio Unico","Cine","$202","5/22"
"Vals Im Bashir (Waltz with Bashir)","Sony","$150","7/3"
