" Movie Title","Distributor","Gross","Release"
"Avatar","Fox","$23,686,268","12/17"
"Harry Potter and the Half Blood Prince","WB","$16,439,512","7/15"
"Ice Age: Dawn of the Dinosaurs","Fox","$13,453,093","7/1"
"Komt een vrouw bij de dokter","Benelux","$12,514,413","11/26"
"Up","Disney","$8,551,982","10/8"
"Angels & Demons","Sony","$7,760,800","5/14"
"Alvin and the Chipmunks: The Squeakquel","WB","$7,077,813","12/21"
"Inglourious Basterds","UPI","$6,874,289","8/27"
"2012","Sony","$6,836,005","11/12"
"De storm","UPI","$6,684,207","9/17"
"Michael Jackson's This Is It","Sony","$5,918,448","10/28"
"The Hangover","Warner Bros.","$5,279,285","6/11"
"Slumdog Millionaire","Cineart","$5,268,767","2/12"
"The Proposal","Disney","$4,433,562","6/18"
"The Curious Case of Benjamin Button","WB","$4,157,439","1/29"
"Terug naar de kust","RCV 2001","$3,928,464","10/29"
"Anubis en de wraak van Arghus","Indep.","$3,779,210","12/17"
"Transformers: Revenge of the Fallen","UPI","$3,730,164","6/24"
"Yes Man","WB","$3,719,800","1/8"
"Valkyrie","WB","$3,661,614","1/22"
"Bolt","Disney","$3,577,161","2/12"
"Fast and Furious","UPI","$3,559,229","4/2"
"It's Complicated","UPI","$3,247,030","12/24"
"The Twilight Saga: New Moon","Indep.","$3,122,069","11/19"
"G-Force","Disney","$3,054,178","7/30"
"Brüno","UPI","$2,940,743","7/9"
"Sinterklaas en de verdwenen pakjesboot","E1","$2,704,079","10/8"
"De hel van '63","E1","$2,651,361","12/17"
"X-Men Origins: Wolverine","WB","$2,616,177","4/30"
"Spangas op survival","Disney","$2,614,591","9/30"
"The Final Destination","WB","$2,464,512","9/3"
"Public Enemies","UPI","$2,459,994","7/30"
"Night at the Museum: Battle of the Smithsonian","WB","$2,317,341","5/20"
"17 Again","RCV 2001","$2,303,876","4/23"
"A Christmas Carol (2009)","Disney","$2,235,529","11/19"
"Het geheim van Mega Mindy","Indep.","$2,214,058","7/9"
"Monsters Vs. Aliens","UPI","$2,201,054","4/2"
"Terminator Salvation: The Future Begins","Sony","$2,116,160","6/4"
"Spion van Oranje","A-Film","$2,113,591","2/5"
"Lover of Loser","RCV 2001","$2,101,031","9/24"
"The Reader","Benelux","$2,000,700","4/2"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","Benelux","$1,950,789","8/6"
"Confessions of a Shopaholic","Disney","$1,866,412","3/12"
"Fame (2009)","RCV 2001","$1,842,969","10/8"
"The Ugly Truth","Sony","$1,835,456","9/30"
"The Taking of Pelham One, Two, Three","Sony","$1,749,121","8/20"
"He's Just Not That Into You","Paradiso","$1,747,003","4/16"
"Marley and Me","WB","$1,739,447","3/5"
"Knowing","Indep.","$1,569,491","4/9"
"Watchmen","UPI","$1,524,786","3/5"
"Bride Wars","WB","$1,512,958","3/26"
"Star Trek","UPI","$1,509,031","5/7"
"My Sister's Keeper","WB","$1,482,010","8/27"
"Kikkerdril","A-Film","$1,337,130","2/12"
"G.I. Joe","UIP","$1,334,290","8/13"
"Old Dogs","Disney","$1,312,085","12/23"
"Hotel for Dogs","UPI","$1,186,296","2/19"
"My Bloody Valentine 3-D","RCV 2001","$1,175,804","3/12"
"Brothers","AFD","$1,135,154","12/10"
"Law Abiding Citizen","E1","$1,119,372","12/10"
"Beverly Hills Chihuahua","Disney","$1,019,753","4/23"
"Plop en de kabouterbaby","Indep.","$1,005,715","12/17"
"The Tale of Despereaux","UPI","$971,010","2/4"
"Ghosts of Girlfriends Past","RCV 2001","$966,774","7/23"
"Coco avant Chanel","RCV 2001","$966,553","5/28"
"Paranormal Activity","E1","$957,268","11/26"
"Surrogates","Disney","$949,422","10/15"
"Couples Retreat","UPI","$839,613","11/19"
"Gran Torino","WB","$827,018","3/12"
"Seven Pounds","Sony","$826,954","1/15"
"Suske en Wiske: De Texas rakkers","RCV 2001","$825,109","7/23"
"Precious: Based on the Novel "Push" by Sapphire","AFD","$806,168","12/3"
"Das Weisse Band - Eine deutsche Kindergeschichte","Cineart","$797,529","11/19"
"De helaasheid der dingen","Wild Bunch","$767,486","10/8"
"District 9","Sony","$741,872","10/8"
"Gomorra","Cinemien","$725,714","1/29"
"Revolutionary Road","UPI","$722,526","1/22"
"Drag Me to Hell","RCV 2001","$716,723","7/2"
"The Rebound","Paradiso","$701,209","9/24"
"New in Town","RCV 2001","$695,798","2/12"
"Limo (2009)","Indep.","$652,168","4/8"
"Sinterklaasjournaal de meezingmoevie","Indep.","$650,731","10/14"
"Recep Ivedik 2","n/a","$624,391","2/12"
"Friday the 13th (2009)","UPI","$595,703","2/12"
"Fighting","UPI","$592,992","5/21"
"Duplicity","UPI","$564,468","5/28"
"Julie & Julia","Sony","$557,864","10/15"
"Milk","A-Film","$554,412","1/22"
"A Perfect Getaway","AFD","$548,387","8/6"
"Los Abrazos rotos (Broken Embraces)","Cineart","$521,052","8/27"
"Defiance","RCV 2001","$520,262","3/19"
"Orphan","WB","$518,022","11/5"
"Role Models","UPI","$509,017","3/12"
"Righteous Kill","Moonlight","$464,482","1/8"
"Saw V","Benelux","$458,431","1/8"
"Hexe Lilli, der Drache und das magische
Buch","RCV 2001","$442,655","8/20"
"Nothing Personal (2009)","n/a","$429,685","12/10"
"The International","Sony","$427,019","4/16"
"Zonder Pardon","Indep.","$425,093","11/12"
"Make It Happen","Benelux","$414,585","2/5"
"Love Happens","AFD","$413,326","11/5"
"Dance Flick","UPI","$408,093","9/24"
