" Movie Title","Distributor","Gross","Release"
"Avatar","Fox","$12,587,471","12/17"
"Transformers: Revenge of the Fallen","PPI","$5,463,402","6/24"
"The Twilight Saga: New Moon","Hoyts","$4,386,377","11/19"
"Harry Potter and the Half Blood Prince","WB","$4,251,833","7/15"
"Ice Age: Dawn of the Dinosaurs","Fox","$4,024,380","7/2"
"Slumdog Millionaire","Hoyts","$3,090,135","2/5"
"Up","Disney","$2,948,653","9/10"
"Alvin and the Chipmunks: The Squeakquel","Fox","$2,767,787","12/24"
"Michael Jackson's This Is It","Sony","$2,698,899","10/28"
"Sherlock Holmes","Roadshow","$2,690,356","12/24"
"The Lovely Bones","PPI","$2,388,913","12/24"
"The Hangover","Warner Bros.","$2,329,884","6/11"
"2012","Sony","$2,057,977","11/12"
"Angels & Demons","Sony","$1,875,547","5/14"
"District 9","Sony","$1,863,601","8/13"
"Star Trek","PPI","$1,817,496","5/7"
"X-Men Origins: Wolverine","Fox","$1,740,515","4/29"
"Monsters Vs. Aliens","PPI","$1,710,569","4/2"
"The Proposal","Disney","$1,709,483","6/18"
"Fast and Furious","PPI","$1,653,441","4/16"
"Terminator Salvation: The Future Begins","Sony","$1,647,437","6/4"
"Brüno","UIP","$1,593,547","7/9"
"The Topp Twins: Untouchable Girls","Rialto","$1,582,913","4/9"
"Night at the Museum: Battle of the Smithsonian","Fox","$1,506,291","5/21"
"Julie & Julia","Sony","$1,370,503","10/22"
"G.I. Joe","PPI","$1,367,884","8/6"
"Hannah Montana The Movie","Disney","$1,306,617","6/25"
"G-Force","Disney","$1,261,251","9/24"
"Inglourious Basterds","UIP","$1,238,584","8/20"
"Yes Man","Roadshow","$1,115,875","1/1"
"Bolt","Disney","$1,110,008","1/1"
"Year One","Sony","$1,084,720","9/24"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","Rialto","$987,505","12/17"
"He's Just Not That Into You","Roadshow","$981,462","2/12"
"Paranormal Activity","Icon","$936,092","12/31"
"My Sister's Keeper","Roadshow","$931,721","11/5"
"Watchmen","PPI","$907,965","3/5"
"Where the Wild Things Are","Roadshow","$892,855","12/3"
"The Ugly Truth","Sony","$892,763","8/27"
"The Reader","Roadshow","$866,562","4/9"
"17 Again","Roadshow","$833,566","4/16"
"Public Enemies","UIP","$821,444","7/30"
"Marley and Me","Fox","$778,424","2/12"
"The Young Victoria","Roadshow","$757,867","9/3"
"Fame (2009)","Hoyts","$755,035","9/24"
"Couples Retreat","UIP","$733,363","10/8"
"Race to Witch Mountain","Disney","$698,823","4/9"
"Easy Virtue","Hopscotch","$674,797","5/28"
"Last Chance Harvey","Hoyts","$640,144","4/30"
"500 Days of Summer","Fox","$626,739","10/1"
"Valkyrie","Fox","$623,910","2/5"
"The Time Traveler's Wife","Roadshow","$618,569","12/3"
"An Education","PPI","$601,527","10/8"
"The Princess and the Frog","Disney","$592,956","12/31"
"Surrogates","Disney","$590,531","10/22"
