" Movie Title","Distributor","Gross","Release"
"2012","Sony","$175,910","11/13"
"The Proposal","n/a","$160,573","6/19"
"Angels & Demons","Sony","$157,911","5/15"
"Terminator Salvation: The Future Begins","Sony","$137,042","6/5"
"Avatar","n/a","$132,847","12/18"
"The Taking of Pelham One, Two, Three","Sony","$112,781","9/25"
"Ghosts of Girlfriends Past","n/a","$95,288","7/31"
"Michael Jackson's This Is It","Sony","$83,929","10/28"
"The Ugly Truth","Sony","$81,528","10/9"
"Harry Potter and the Half Blood Prince","n/a","$80,408","7/17"
"Sherlock Holmes","n/a","$79,464","12/31"
"The Hangover","n/a","$77,103","8/14"
"The International","Sony","$74,381","3/13"
"The Twilight Saga: New Moon","n/a","$65,689","11/27"
"Seven Pounds","n/a","$62,860","2/13"
"Transformers: Revenge of the Fallen","Silverbird","$62,048","7/3"
"G.I. Joe","Silverbird","$60,602","8/21"
"Underworld: Rise of the Lycans","n/a","$59,764","1/23"
"Obsessed","Sony","$59,295","8/14"
"Couples Retreat","n/a","$59,118","12/18"
"The Pink Panther 2","Sony","$57,867","3/6"
"Cloudy with a Chance of Meatballs","Sony","$53,171","9/18"
"G-Force","n/a","$49,791","8/21"
"Ice Age: Dawn of the Dinosaurs","n/a","$47,524","7/3"
"Alvin and the Chipmunks: The Squeakquel","n/a","$47,450","12/23"
"Paul Blart: Mall Cop","Sony","$43,215","4/24"
"17 Again","n/a","$39,598","7/10"
"Year One","Sony","$38,704","7/31"
"Ninja Assassin","n/a","$36,152","12/4"
"X-Men Origins: Wolverine","n/a","$35,043","5/1"
"Up","n/a","$34,845","8/7"
"Surrogates","n/a","$33,879","10/2"
"District 9","Sony","$33,619","9/4"
"Hannah Montana The Movie","n/a","$33,342","6/26"
"State of Play","Silverbird","$28,435","7/24"
"Race to Witch Mountain","n/a","$26,111","4/17"
"Fast and Furious","Silverbird","$22,922","4/17"
"Night at the Museum: Battle of the Smithsonian","n/a","$21,389","5/22"
"Inglourious Basterds","Silverbird","$21,185","10/30"
"Public Enemies","n/a","$20,383","9/18"
"A Christmas Carol (2009)","n/a","$17,980","11/6"
"Slumdog Millionaire","Silverbird","$17,387","4/6"
"The Time Traveler's Wife","n/a","$16,858","11/13"
"Monsters Vs. Aliens","Silverbird","$16,790","4/10"
"Old Dogs","n/a","$16,506","11/27"
"Confessions of a Shopaholic","n/a","$16,141","2/13"
"Julie & Julia","Sony","$16,137","11/6"
"Imagine That","n/a","$15,943","10/9"
"Watchmen","Silverbird","$15,896","3/6"
"My Sister's Keeper","n/a","$15,188","10/16"
"Street Fighter: The Legend of Chun-Li","n/a","$15,168","6/12"
"Notorious (2009)","n/a","$14,178","2/27"
"Bride Wars","n/a","$13,858","1/23"
"12 Rounds","n/a","$12,738","4/3"
"Love Aaj Kal","Silverbird","$12,350","7/31"
"Valkyrie","n/a","$12,259","1/30"
"Dragonball Evolution","n/a","$12,168","4/9"
"Zombieland","Sony","$11,597","12/4"
"Duplicity","Silverbird","$11,386","6/5"
"Transporter 3","n/a","$11,206","1/23"
"Bolt","n/a","$11,159","2/20"
"Marley and Me","n/a","$10,673","3/20"
"Fame (2009)","n/a","$9,592","9/25"
"Inkheart","n/a","$9,489","6/12"
"Bandslam","n/a","$9,383","12/18"
"Knowing","Silverbird","$9,083","7/10"
"Star Trek","Silverbird","$8,914","5/15"
"Doubt","n/a","$8,130","2/27"
"Aliens in the Attic","n/a","$7,867","10/2"
"The Curious Case of Benjamin Button","n/a","$7,374","2/6"
"Make It Happen","n/a","$6,432","1/2"
"Gran Torino","n/a","$5,961","3/13"
"Hotel for Dogs","Silverbird","$5,189","5/1"
"Shortkut - The Con Is On","n/a","$4,980","7/10"
"Adventureland","n/a","$3,699","5/8"
"Role Models","n/a","$3,229","2/6"
"Luck by Chance","n/a","$2,551","1/30"
"The Tale of Despereaux","n/a","$2,372","1/9"
"Revolutionary Road","n/a","$2,339","2/27"
"Brüno","n/a","$2,311","7/17"
"Coraline","Silverbird","$1,632","5/15"
"Looking for Eric","n/a","$856","11/27"
"Fired Up","Sony","$787","9/25"
"Genova","Silverbird","$140","10/16"
"Eye of the Dolphin","n/a","$50","1/16"
