" Movie Title","Distributor","Gross","Release"
"Avatar","Fox","$14,221,366","12/18"
"Ice Age: Dawn of the Dinosaurs","Fox","$12,597,388","7/1"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","Nordisk","$7,947,536","3/13"
"Harry Potter and the Half Blood Prince","Sandrew","$7,933,173","7/17"
"Flickan som lekte med elden","Nordisk","$7,848,798","9/18"
"Luftslottet som sprängdes (The Girl Who Kicked the Hornet's Nest)","Nordisk","$5,253,667","11/27"
"Angels & Demons","Sony","$4,697,237","5/20"
"Up","Disney","$4,587,163","9/25"
"The Twilight Saga: New Moon","Nordisk","$4,400,247","11/20"
"Julenatt i Blåfjell","Sandrew","$4,330,869","11/13"
"Knerten","Scanbox","$4,202,665","10/16"
"Inglourious Basterds","UIP","$4,184,347","8/21"
"2012","Sony","$4,101,063","11/13"
"The Hangover","Sandrew","$4,015,714","6/19"
"Alvin and the Chipmunks: The Squeakquel","Fox","$3,519,023","12/26"
"Sherlock Holmes","WB","$3,196,245","12/26"
"Slumdog Millionaire","Svensk","$2,844,114","1/23"
"Transformers: Revenge of the Fallen","UIP","$2,754,567","6/24"
"Hannah Montana The Movie","Disney","$2,440,645","5/1"
"Fast and Furious","UIP","$2,398,593","4/3"
"Public Enemies","UIP","$2,099,594","7/24"
"Bolt","Disney","$2,088,690","2/6"
"Michael Jackson's This Is It","Sony","$2,055,305","10/28"
"Brüno","Nordisk","$1,905,119","7/10"
"Olsenbanden jr. og det sorte gullet","Nordisk","$1,880,719","1/30"
"It's Complicated","UIP","$1,833,896","12/26"
"Død snø (Dead Snow)","Euphoria","$1,670,092","1/9"
"G-Force","Disney","$1,647,073","8/28"
"Twilight","Nordisk","$1,589,423","1/9"
"Upperdog","Sandrew","$1,551,394","8/28"
"A Christmas Carol (2009)","Disney","$1,470,082","11/6"
"The Proposal","Disney","$1,428,945","8/14"
"Terminator Salvation: The Future Begins","Sony","$1,386,984","6/5"
"Engelen","Sandrew","$1,356,190","10/2"
"Monsters Vs. Aliens","UIP","$1,345,517","4/3"
"X-Men Origins: Wolverine","Fox","$1,242,359","4/29"
"The Curious Case of Benjamin Button","Sandrew","$1,209,374","2/6"
"Fame (2009)","Sandrew","$1,161,386","10/16"
"Skjult","Sandrew","$1,111,246","4/3"
"Julie & Julia","Sony","$1,040,420","10/2"
"Orps the Movie","Svensk","$1,039,774","3/6"
"Star Trek","UIP","$1,036,013","5/8"
"Watchmen","UIP","$936,115","3/6"
"District 9","Svensk","$930,475","9/11"
"Night at the Museum: Battle of the Smithsonian","Fox","$929,216","5/29"
"Gran Torino","Sandrew","$778,225","3/27"
"Valkyrie","Fox","$775,995","1/30"
"The Ugly Truth","Sony","$720,097","9/4"
"Paranormal Activity","Svensk","$716,219","12/4"
"Jernanger","Svensk","$703,774","1/15"
"Pettson & Findus - Glömligheter","Svensk","$696,695","8/7"
"Vegas","Svensk","$657,033","9/25"
"Revolutionary Road","UIP","$631,659","1/16"
"Snarveien","Svensk","$621,509","7/31"
"17 Again","Svensk","$612,712","6/19"
"Knowing","Nordisk","$609,572","4/24"
"G.I. Joe","UIP","$609,322","8/14"
"He's Just Not That Into You","Svensk","$592,152","2/27"
"The Taking of Pelham One, Two, Three","Sony","$586,244","8/7"
"Confessions of a Shopaholic","Disney","$536,777","3/27"
"Drag Me to Hell","Scanbox","$521,428","6/12"
"Bride Wars","Fox","$508,642","2/13"
"Law Abiding Citizen","n/a","$508,255","11/6"
"Surrogates","Disney","$461,591","10/2"
"State of Play","UIP","$452,731","5/1"
"The Wrestler","Arthaus","$449,800","2/13"
"Nord","Sandrew","$427,293","2/6"
"The Reader","Sandrew","$419,342","3/6"
"Bestevenner (2009)","Svensk","$415,006","10/30"
"Hotel for Dogs","UIP","$411,331","2/20"
"Zombieland","Sony","$409,805","10/23"
"The Secret Life of Bees","Fox","$383,549","2/27"
"The Imaginarium of Doctor Parnassus","Sony","$373,871","12/26"
"Marley and Me","Fox","$354,426","4/3"
"A Serious Man","Svensk","$350,701","11/6"
