" Movie Title","Distributor","Gross","Release"
"Avatar","Fox","$1,300,848","12/17"
"Ice Age: Dawn of the Dinosaurs","Fox","$484,944","7/2"
"Sveti Georgije ubiva azdahu","n/a","$325,265","3/11"
"2012","Sony","$275,735","11/12"
"Inglourious Basterds","UIP","$213,690","8/20"
"Harry Potter and the Half Blood Prince","Warner Bros.","$205,767","7/16"
"Angels & Demons","Sony","$164,327","5/13"
"The Hangover","Warner Bros.","$152,549","6/18"
"Drug Crni u Narodnooslobodilackoj borbi (Black Gruja 2)","Mirius","$150,716","1/29"
"Beogradski fantom","n/a","$137,698","4/2"
"Australia","Tuck","$134,334","1/8"
"The Ugly Truth","Sony","$126,236","9/10"
"It's Complicated","UIP","$114,556","12/24"
"The Proposal","Disney","$111,960","7/23"
"Couples Retreat","UIP","$109,958","11/12"
"Cekaj me, ja sigurno necu doci","n/a","$107,289","10/15"
"The Twilight Saga: New Moon","n/a","$107,146","12/3"
"The Curious Case of Benjamin Button","Tuck","$94,307","2/5"
"Terminator Salvation: The Future Begins","Sony","$91,851","6/4"
"Confessions of a Shopaholic","Taramount","$86,678","2/12"
"Transformers: Revenge of the Fallen","UIP","$82,148","6/25"
"Public Enemies","UIP","$81,270","7/2"
"Up","Disney","$74,441","9/17"
"A Christmas Carol (2009)","Disney","$73,436","11/19"
"Yes Man","Tuck","$67,456","1/22"
"Arthur et la vengeance de Maltazard","n/a","$67,334","12/31"
"Valkyrie","Tuck","$66,834","2/12"
"Slumdog Millionaire","n/a","$65,339","4/16"
"Brüno","n/a","$64,691","7/9"
"Bolt","Taramount","$64,007","1/22"
"Night at the Museum: Battle of the Smithsonian","Fox","$61,532","5/21"
"The Final Destination","Warner Bros.","$60,865","9/17"
"Ghosts of Girlfriends Past","Warner Bros.","$59,083","6/11"
"He's Just Not That Into You","Tuck","$57,636","2/26"
"Paranormal Activity","n/a","$56,508","11/26"
"Marley and Me","Tuck","$50,690","3/5"
"Bride Wars","Tuck","$50,416","1/22"
"District 9","n/a","$49,667","10/1"
"My Life in Ruins","n/a","$47,078","11/5"
"Djavolja Varos (Devil's Town)","n/a","$45,916","10/8"
"The Taking of Pelham One, Two, Three","Sony","$44,496","8/27"
"Star Trek","UIP","$43,749","5/7"
"The Pink Panther 2","n/a","$43,677","2/19"
"Bedtime Stories","Taramount","$41,954","1/8"
"Surrogates","Disney","$41,702","10/29"
"Orphan","Disney","$41,167","10/29"
"Coraline","UIP","$39,426","6/4"
"Twilight","n/a","$39,047","1/15"
"Planet 51","n/a","$38,221","12/3"
"Los Abrazos rotos (Broken Embraces)","n/a","$37,972","11/5"
"Monsters Vs. Aliens","UIP","$37,549","3/26"
"Changeling","Taramount","$37,508","3/19"
"Hotel for Dogs","UIP","$34,410","4/23"
"Cloudy with a Chance of Meatballs","Sony","$34,020","10/22"
"Hannah Montana The Movie","Disney","$33,847","6/11"
"Zombieland","Sony","$32,721","11/26"
"G-Force","Disney","$32,676","8/27"
"Revolutionary Road","Taramount","$32,018","2/26"
"17 Again","Warner Bros.","$31,948","4/23"
"Zone of the Dead","n/a","$31,401","2/26"
"State of Play","UIP","$31,083","6/11"
"The International","n/a","$29,725","2/26"
"Knowing","n/a","$28,555","7/30"
"G.I. Joe","UIP","$28,483","9/24"
"The Reader","n/a","$28,436","4/2"
"Underworld: Rise of the Lycans","n/a","$25,568","1/29"
"Julie & Julia","Sony","$25,398","11/20"
"Michael Jackson's This Is It","Sony","$22,802","10/29"
"Love Happens","n/a","$22,134","11/19"
"The Brothers Bloom","n/a","$15,294","9/24"
"Gomorra","n/a","$15,171","4/2"
"The Wrestler","n/a","$14,943","3/26"
"Two Lovers","n/a","$14,621","8/27"
"Garfield's Fun Fest","n/a","$14,361","12/24"
"Superhero Movie","n/a","$13,511","9/3"
"Niko - Lentäjän poika (Niko & The Way to the Stars)","n/a","$13,131","12/10"
"La Véritable histoire du chat botte","n/a","$12,815","9/24"
"Drag Me to Hell","n/a","$11,470","11/19"
"Gamer (2009)","n/a","$10,076","12/3"
"Three Monkeys","n/a","$8,718","2/5"
"Seven Pounds","Tuck","$8,185","3/26"
"Tose - The Hardest Thing","Cinemania","$7,890","2/12"
"The Boat That Rocked","UIP","$7,549","6/18"
"Chi bi (Red Cliff: Part I)","n/a","$6,188","11/19"
"Hunger (2008)","n/a","$5,894","1/22"
"Taken","n/a","$5,004","6/18"
"Un conte de Noël (A Christmas Tale)","n/a","$4,962","3/5"
"Hitna pomoc (The Ambulance)","n/a","$4,829","11/26"
"Gran Torino","n/a","$3,133","4/2"
"Skrapp út (Back Soon)","n/a","$2,643","1/8"
"City of Ember","n/a","$2,353","1/1"
"Er shi si cheng ji (24 City)","n/a","$2,259","2/5"
"North Face","n/a","$2,013","12/17"
"Diamant 13","n/a","$1,451","5/14"
"Fame (2009)","n/a","$832","11/26"
