" Movie Title","Distributor","Gross","Release"
"Harry Potter and the Deathly Hallows (Part One)","WB","$41,350,865","11/18"
"Toy Story 3","Disney","$37,957,715","6/24"
"Inception","WB","$36,515,403","7/22"
"Alice in Wonderland (2010)","Disney","$33,234,316","3/4"
"The King's Speech","PPI","$32,552,584","12/26"
"The Twilight Saga: Eclipse","Hoyts","$28,566,737","7/1"
"Shrek Forever After","PPI","$24,485,148","6/17"
"Iron Man 2","PPI","$22,418,342","4/29"
"Despicable Me","UPI","$21,817,532","9/9"
"Sex and the City 2","Roadshow","$20,995,442","6/2"
"Little Fockers","PPI","$18,830,734","12/26"
"Clash of the Titans (2010)","WB","$17,033,579","4/1"
"How to Train Your Dragon","PPI","$16,883,185","3/26"
"Gulliver's Travels","Fox","$16,243,551","12/26"
"Megamind","PPI","$15,816,607","12/9"
"Robin Hood","UPI","$15,615,874","5/13"
"Tron Legacy","Disney","$14,505,106","12/16"
"Valentine's Day","WB","$14,478,430","2/11"
"It's Complicated","UPI","$14,187,266","1/7"
"Tomorrow, When the War Began","PPI","$13,151,324","9/2"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$12,777,363","12/2"
"The Blind Side","Roadshow","$12,273,902","2/25"
"The Social Network","Sony","$12,259,317","10/28"
"Salt","Sony","$12,070,066","8/19"
"The Karate Kid","Sony","$11,913,479","7/8"
"Eat Pray Love","Sony","$11,499,164","10/7"
"The Tourist","Sony","$11,330,350","12/26"
"Grown Ups","Sony","$10,684,696","6/24"
"Due Date","WB","$10,367,478","11/25"
"The Other Guys","Sony","$10,205,756","9/9"
"Jackass 3-D","PPI","$9,881,627","11/4"
"The Last Airbender","PPI","$9,601,631","9/16"
"Shutter Island","PPI","$9,515,631","2/18"
"Tooth Fairy","Fox","$9,475,680","1/14"
"Step Up 3-D","UPI","$9,368,208","8/5"
"Knight & Day","Fox","$9,075,731","7/15"
"The A-Team","Fox","$8,504,538","6/10"
"Get Him to the Greek","UPI","$8,432,401","6/17"
"The Expendables","Roadshow","$8,356,501","8/12"
"Red","Icon","$8,328,597","10/28"
"Love and Other Drugs","Fox","$7,568,103","12/16"
"Date Night","Fox","$7,543,049","4/8"
