" Movie Title","Distributor","Gross","Release"
"Toy Story 3","Disney","$1,100,757","6/17"
"Alice in Wonderland (2010)","Disney","$676,994","3/4"
"Shrek Forever After","PPI","$644,133","7/8"
"Harry Potter and the Deathly Hallows (Part One)","WB","$616,542","11/18"
"Clash of the Titans (2010)","WB","$525,046","4/15"
"Gulliver's Travels","Fox","$442,038","12/23"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$429,153","12/9"
"Resident Evil: Afterlife","Sony","$400,474","9/10"
"Prince of Persia: The Sands of Time","Disney","$355,888","5/27"
"Iron Man 2","PPI","$311,086","4/29"
"How to Train Your Dragon","PPI","$282,504","3/25"
"Megamind","PPI","$278,640","12/2"
"Cats & Dogs: Revenge of Kitty Galore","WB","$273,148","8/19"
"Despicable Me","UPI","$265,912","7/29"
"Legend of the Guardians: The Owls of Ga'Hoole","WB","$255,935","9/30"
"The Sorcerer's Apprentice","Disney","$252,222","7/16"
"The Karate Kid","Sony","$249,809","6/24"
"The Last Airbender","PPI","$237,461","8/26"
"Paranormal Activity 2","PPI","$210,794","11/4"
"The Twilight Saga: New Moon","Manfer","$203,967","1/1"
"Tron Legacy","Disney","$193,227","12/16"
"El Pocholo y su marida","n/a","$179,924","11/25"
"Tooth Fairy","Fox","$174,809","1/14"
"Inception","WB","$163,443","8/5"
"The Tourist","Sony","$163,402","12/23"
"The Twilight Saga: Eclipse","Manfer","$160,671","9/23"
"Grown Ups","Sony","$151,699","8/12"
"Robin Hood","UPI","$146,020","5/20"
"A Nightmare on Elm Street (2010)","WB","$144,745","5/13"
"The Wolfman","UPI","$142,291","2/11"
"The Princess and the Frog","Disney","$138,395","1/1"
"Old Dogs","Disney","$137,191","1/28"
"Sherlock Holmes","WB","$133,079","1/14"
"Percy Jackson & The Olympians: The Lightning Thief","Fox","$121,320","2/11"
"Piranha 3D","Trade Int.","$111,962","9/16"
"Life as We Know It","WB","$105,274","10/21"
"En busca del Paraiso","n/a","$101,879","1/7"
"Knight & Day","Fox","$94,395","7/22"
"Marmaduke","Fox","$94,267","6/3"
"Devil","UPI","$90,168","11/25"
"The Book of Eli","Sony","$84,676","3/18"
"Salt","Sony","$84,397","8/19"
"Legion (2010)","Sony","$82,430","4/1"
"Predators","Fox","$81,431","8/5"
"Eat Pray Love","Sony","$75,315","10/28"
"Sex and the City 2","WB","$72,913","6/3"
"The Hurt Locker","Trade Int.","$72,208","2/18"
"Vampires Suck","Fox","$71,452","10/7"
"Paranormal Activity","n/a","$71,293","3/25"
"Due Date","WB","$65,265","11/4"
"The Bounty Hunter","Sony","$59,172","5/6"
"Solomon Kane","Manfer","$57,968","10/7"
"Garfield's Pet Force","Trade Int.","$56,251","10/28"
"Wall Street: Money Never Sleeps","Fox","$49,496","9/23"
"The A-Team","Fox","$49,300","6/24"
"The Strangers","Trade Int.","$46,347","7/1"
"Edge of Darkness","WB","$45,517","2/25"
"Valentine's Day","WB","$45,439","2/11"
"Date Night","Fox","$44,887","5/13"
"The Social Network","Sony","$43,052","12/2"
"Furry Vengeance","Manfer","$39,897","10/28"
"Planet 51","Trade Int.","$39,030","1/7"
"The Back-Up Plan","Sony","$38,501","7/1"
"The Blind Side","WB","$35,097","3/18"
"Halloween II (2009)","Trade Int.","$34,719","10/28"
"The Town","WB","$34,262","10/14"
"Unrest","Trade Int.","$33,862","5/6"
"Invictus","WB","$33,539","2/4"
"The Other Guys","Sony","$32,469","10/21"
"Toy Story in 3D","Disney","$32,214","2/11"
"Toy Story 2 (3D)","Disney","$32,064","2/18"
"Poemas De Salvacion","Trade Int.","$31,883","4/15"
"Killers","n/a","$31,673","11/25"
"Regresa","Trade Int.","$30,751","4/22"
"New in Town","n/a","$29,838","4/8"
"Saw VI","Disney","$27,674","2/4"
"Nine","Sony","$27,248","1/21"
"Shutter Island","PPI","$26,827","5/27"
"Aparecidos","n/a","$26,029","6/10"
"Casting","n/a","$25,818","12/30"
"Zombieland","Sony","$25,763","1/7"
"Going the Distance","WB","$25,694","9/16"
"The Expendables","Trade Int.","$24,898","12/2"
"Scar","Trade Int.","$22,878","5/20"
"Dear John","Sony","$21,271","4/8"
"Case 39","PPI","$21,138","6/10"
"Cirque du Freak: The Vampire's Assistant","UPI","$20,824","3/11"
"Igor","Trade Int.","$20,766","9/9"
"Did You Hear About the Morgans?","Sony","$19,375","3/11"
"The Imaginarium of Doctor Parnassus","Sony","$19,019","3/25"
