" Movie Title","Distributor","Gross","Release"
"Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2)","n/a","$62,927,562","10/8"
"Shrek Forever After","PPI","$40,037,374","7/9"
"The Twilight Saga: Eclipse","Paris","$30,499,010","6/30"
"Alice in Wonderland (2010)","Disney","$28,360,362","4/23"
"Toy Story 3","Disney","$24,861,206","6/18"
"Harry Potter and the Deathly Hallows (Part One)","WB","$23,910,192","11/19"
"Alvin and the Chipmunks: The Squeakquel","Fox","$21,977,969","1/8"
"Nosso Lar","Fox","$21,218,935","9/3"
"De Pernas pro Ar","Paris","$18,876,082","12/31"
"Chico Xavier","Sony","$17,229,064","4/2"
"Clash of the Titans (2010)","WB","$15,884,391","5/21"
"Iron Man 2","PPI","$15,835,025","4/30"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$15,192,164","12/10"
"Despicable Me","UPI","$13,743,913","8/6"
"Sherlock Holmes","WB","$12,224,946","1/8"
"How to Train Your Dragon","PPI","$11,483,006","3/26"
"Eat Pray Love","Sony","$10,419,470","10/1"
"Inception","WB","$10,315,556","8/6"
"Megamind","PPI","$10,259,047","12/3"
"The Karate Kid","Sony","$10,165,695","8/27"
"Prince of Persia: The Sands of Time","Disney","$10,124,446","6/4"
"The Last Airbender","PPI","$9,653,005","8/20"
"Resident Evil: Afterlife","Sony","$9,488,168","9/17"
"Percy Jackson & The Olympians: The Lightning Thief","Fox","$9,290,334","2/12"
"Tron Legacy","Disney","$9,048,284","12/17"
"Knight & Day","Fox","$8,663,633","7/16"
"Robin Hood","UPI","$7,953,519","5/14"
"Muita Calma Nessa Hora","Europa","$7,744,506","11/12"
"Grown Ups","Sony","$7,678,291","9/24"
"Salt","Sony","$7,383,735","7/30"
"Legend of the Guardians: The Owls of Ga'Hoole","WB","$7,309,044","10/8"
"The Expendables","n/a","$5,668,452","8/13"
"The Social Network","Sony","$5,263,976","12/3"
"Tooth Fairy","Fox","$5,197,136","1/22"
"The Sorcerer's Apprentice","Disney","$4,974,851","8/13"
"O Bem Amado","Disney","$4,922,642","7/23"
"Shutter Island","PPI","$4,834,195","3/12"
"It's Complicated","UPI","$4,694,495","2/26"
"The Final Destination","PlayArte","$4,547,387","2/5"
"The Book of Eli","Sony","$4,470,607","3/19"
"Up in the Air","PPI","$4,427,613","1/22"
"Valentine's Day","WB","$4,405,954","2/19"
"Saw 3D","n/a","$4,255,802","11/5"
"The Wolfman","UPI","$4,250,237","2/12"
"Paranormal Activity 2","PPI","$4,209,747","10/22"
"Red","Paris","$4,172,545","11/12"
"Date Night","Fox","$3,802,943","4/9"
"Lula, o Filho do Brasil","Europa","$3,785,593","1/1"
"Cats & Dogs: Revenge of Kitty Galore","WB","$3,660,233","9/3"
"The Back-Up Plan","Sony","$3,377,721","6/11"
"The Bounty Hunter","Sony","$3,284,719","4/16"
"Sex and the City 2","WB","$3,185,351","5/28"
"Due Date","WB","$3,173,988","11/5"
"The Blind Side","WB","$3,004,286","3/19"
"The Next Three Days","n/a","$2,535,654","12/24"
"Killers","n/a","$2,513,311","8/27"
"Life as We Know It","WB","$2,464,976","10/15"
"Garfield's Pet Force","PlayArte","$2,451,404","10/29"
"Wall Street: Money Never Sleeps","Fox","$2,416,343","9/24"
"Edge of Darkness","n/a","$2,274,542","1/29"
"Vampires Suck","Fox","$2,270,062","10/1"
"The A-Team","Fox","$2,092,574","6/11"
"The Last Exorcism","PlayArte","$2,032,160","9/24"
"The Switch","n/a","$2,017,831","9/17"
"Predators","Fox","$2,017,215","7/23"
"Remember Me","Paris","$1,980,250","3/12"
"Invictus","WB","$1,923,500","1/29"
"Letters to Juliet","Paris","$1,861,051","6/11"
"The Lovely Bones","PPI","$1,612,729","2/19"
"You Will Meet a Tall Dark Stranger","Paris","$1,611,299","11/26"
"Whatever Works","n/a","$1,591,880","4/30"
"Going the Distance","WB","$1,587,217","9/10"
"A Nightmare on Elm Street (2010)","WB","$1,525,642","5/7"
"Senna","UPI","$1,330,503","11/12"
"From Paris with Love","PlayArte","$1,311,891","4/9"
"Toy Story 2 (3D)","Disney","$1,256,037","3/5"
"A Suprema Felicidade","PPI","$1,229,806","10/29"
"As Melhores Coisas do Mundo","WB","$1,214,499","4/16"
