" Movie Title","Distributor","Gross","Release"
"Mission London","A+ Films","$1,833,408","4/16"
"Prince of Persia: The Sands of Time","Sunny","$934,644","5/21"
"Tangled","Disney","$874,504","12/3"
"Alice in Wonderland (2010)","Forum Films","$804,133","3/5"
"Clash of the Titans (2010)","Alexandra","$760,540","4/9"
"Shrek Forever After","Forum Films","$724,603","7/16"
"Tron Legacy","Forum Films","$635,556","12/17"
"Inception","Alexandra","$599,672","7/23"
"Sherlock Holmes","Alexandra","$582,655","1/1"
"Sex and the City 2","Alexandra","$532,239","5/28"
"Little Fockers","Forum","$482,621","12/23"
"The Last Airbender","Forum Films","$469,659","8/27"
"The Sorcerer's Apprentice","Forum Films","$429,795","7/23"
"Harry Potter and the Deathly Hallows (Part One)","Alexandra","$422,072","11/19"
"Resident Evil: Afterlife","Alexandra","$405,587","9/10"
"The Expendables","Tandem","$376,568","8/27"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Alexandra","$323,986","12/10"
"Salt","Alexandra","$323,527","7/30"
"The Twilight Saga: Eclipse","Tandem","$323,117","7/9"
"Cats & Dogs: Revenge of Kitty Galore","Alexandra","$312,019","8/13"
"Megamind","Forum Films","$297,929","12/17"
"Knight & Day","Alexandra","$275,905","7/2"
"How to Train Your Dragon","Aud. Vis.","$270,247","4/2"
"Step Up 3-D","Tandem","$258,583","9/24"
"Eat Pray Love","Alexandra","$252,059","10/1"
"Despicable Me","Forum Films","$243,028","10/1"
"Saw 3D","Alexandra","$241,588","10/29"
"Alpha and Omega","Forum Films","$235,506","11/5"
"The Next Three Days","Forum Films","$233,799","11/26"
"Wall Street: Money Never Sleeps","Alexandra","$233,359","9/24"
"Red","A+ Films","$229,742","10/22"
"Toy Story 3","Sunny","$223,921","Jun."
"Due Date","Alexandra","$208,186","11/5"
"The Bounty Hunter","Alexandra","$204,752","3/26"
"The Book of Eli","Alexandra","$193,003","1/22"
"Life as We Know It","Alexandra","$175,609","12/17"
"Predators","Alexandra","$170,139","7/16"
"Marmaduke","Alexandra","$170,012","6/4"
"The Spy Next Door","Tandem","$168,543","1/29"
"Valentine's Day","Alexandra","$167,861","2/12"
"Gulliver's Travels","Alexandra","$155,483","12/31"
"Faster","Alexandra","$152,565","12/3"
"The Town","Alexandra","$152,305","10/29"
"The Imaginarium of Doctor Parnassus","Tandem","$147,794","1/15"
"Unstoppable","Alexandra","$143,460","11/12"
"The Social Network","Alexandra","$139,787","10/15"
"Iron Man 2","PPI","$138,746","4/30"
"The A-Team","Alexandra","$133,293","6/18"
"From Paris with Love","A+ Films","$129,669","2/5"
"The Wolfman","Prooptiki","$128,388","2/12"
"Did You Hear About the Morgans?","Alexandra","$121,408","1/8"
"When in Rome","Sunny","$120,337","1/29"
"StreetDance 3D","A+ Films","$106,262","6/25"
"Grown Ups","Alexandra","$103,134","8/20"
"The Other Guys","Alexandra","$102,626","9/17"
"The American","Tandem","$99,888","9/10"
"Machete","Alexandra","$95,410","9/2"
"Arthur et la guerre des deux mondes","Alexandra","$92,717","10/15"
"The Warrior's Way","Tandem","$90,916","12/10"
"You Again","Forum","$80,751","11/18"
"Killers","Tandem","$76,068","6/11"
"HDSP","A+ Films","$74,059","9/17"
"Date Night","Alexandra","$73,920","4/23"
"Stone","Tandem","$73,331","10/15"
"Cop Out","Alexandra","$70,552","5/7"
"Devil","Forum Films","$69,743","9/24"
"The Switch","Forum Films","$67,424","8/20"
"Brooklyn's Finest","A+ Films","$67,322","3/19"
"You Will Meet a Tall Dark Stranger","A+ Films","$67,070","12/3"
