" Movie Title","Distributor","Gross","Release"
"Ženy v pokušení","Falcon","$6,883,097","3/11"
"Kajínek","Hollywood","$4,898,766","8/5"
"Harry Potter and the Deathly Hallows (Part One)","WB","$4,355,720","11/18"
"Shrek Forever After","Bontonfilm","$4,137,036","7/15"
"Román pro muže","Bontonfilm","$2,855,974","9/23"
"Alice in Wonderland (2010)","Falcon","$2,650,680","3/4"
"Obèanský prùkaz","Falcon","$2,454,436","10/21"
"Inception","WB","$2,313,623","7/29"
"Clash of the Titans (2010)","WB","$1,840,275","4/15"
"How to Train Your Dragon","Bontonfilm","$1,731,914","4/1"
"Doktor od Jezera hrochu","Falcon","$1,645,298","2/25"
"Kuky se vrací","Falcon","$1,643,592","5/20"
"The Twilight Saga: Eclipse","Sony","$1,556,072","6/30"
"Sherlock Holmes","WB","$1,212,429","1/7"
"Toy Story 3","Falcon","$1,205,395","6/17"
"Despicable Me","Bontonfilm","$1,101,344","8/19"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Bontonfilm","$1,079,853","12/9"
"Little Fockers","Bontonfilm","$1,028,563","12/23"
"Sex and the City 2","WB","$915,980","6/3"
"Step Up 3-D","SPI Int'l","$844,477","9/2"
"Prince of Persia: The Sands of Time","Falcon","$811,838","5/27"
"Habermann","Sony","$764,068","10/7"
"Tron Legacy","Falcon","$734,689","12/16"
"The Sorcerer's Apprentice","Falcon","$647,748","8/19"
"Eat Pray Love","Falcon","$641,318","10/14"
"It's Complicated","Bontonfilm","$629,432","2/18"
"Cats & Dogs: Revenge of Kitty Galore","WB","$626,495","8/12"
"The Last Airbender","Bontonfilm","$625,220","8/19"
"The Expendables","Hollywood","$615,729","8/19"
"Robin Hood","Bontonfilm","$589,579","5/13"
"Resident Evil: Afterlife","Falcon","$587,156","9/23"
"Saw 3D","Hollywood","$580,755","11/4"
"Legend of the Guardians: The Owls of Ga'Hoole","WB","$569,276","10/14"
"Shutter Island","Bontonfilm","$527,831","2/25"
"Predators","Bontonfilm","$510,726","7/8"
"StreetDance 3D","Bontonfilm","$498,967","5/27"
"Sammy's Adventures: The Secret Passage","Sony","$481,063","9/9"
"Iron Man 2","PPI","$442,253","4/29"
"Faster","n/a","$439,987","12/2"
"Bastardi","Pegas","$437,907","10/28"
"Dešdová víla","Bioscop","$436,965","2/11"
"Megamind","Bontonfilm","$413,488","12/2"
"Wall Street: Money Never Sleeps","Sony","$392,169","9/30"
"Mamas & Papas","Falcon","$373,518","4/15"
"Up in the Air","Bontonfilm","$370,969","1/28"
"Red","Hollywood","$345,875","10/28"
"Percy Jackson & The Olympians: The Lightning Thief","Bontonfilm","$331,354","2/11"
"Grown Ups","Falcon","$329,582","8/26"
"The Social Network","Falcon","$305,518","11/4"
"Garfield's Pet Force","Palace","$296,539","5/13"
"Paranormal Activity 2","Sony","$286,256","12/16"
