" Movie Title","Distributor","Gross","Release"
"Toy Story 3","Disney","$11,502,322","7/15"
"Inception","WB","$7,529,950","7/29"
"Harry Potter and the Deathly Hallows (Part One)","WB","$5,770,077","12/16"
"Alice in Wonderland (2010)","Disney","$5,678,519","3/4"
"Yip Man 2: Chung si chuen kei","Newport","$5,558,704","4/29"
"72 ga cho hak (72 Tenants of Prosperity)","Intercontinental","$4,436,180","2/11"
"Gulliver's Travels","Fox","$4,002,668","12/23"
"Iron Man 2","Intercontinental","$3,760,485","4/30"
"Shrek Forever After","Intercontinental","$3,503,489","7/1"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$3,354,484","12/9"
"Echoes of the Rainbow (Sui yuet san tau)","Newport","$2,979,277","3/11"
"2001: A Space Odyssey (Re-issue)","Newport","$2,978,768","3/11"
"Clash of the Titans (2010)","WB","$2,776,211","4/1"
"Step Up 3-D","Golden Scene","$2,483,773","8/12"
"Resident Evil: Afterlife","EDKO","$2,363,513","9/30"
"The Twilight Saga: Eclipse","Golden Scene","$2,053,120","7/1"
"Percy Jackson & The Olympians: The Lightning Thief","Fox","$2,010,674","2/11"
"All's Well Ends Well 2010","Newport","$2,001,088","2/11"
"Tron Legacy","Disney","$1,955,011","12/23"
"Tangshan dadizhen (Aftershock)","n/a","$1,953,637","7/22"
"Prince of Persia: The Sands of Time","Disney","$1,822,351","5/27"
"Jing mo fung wan: Chen Zhen (Legend of the Fist: The Return of Chen Zhen)","Newport","$1,762,950","9/23"
"The Borrowers (Kari-gurashi no Arietti)","Intercontinental","$1,749,627","12/25"
"The Stool Pigeon","Lark","$1,631,017","8/26"
"Salt","Sony","$1,592,632","7/22"
"Knight & Day","Fox","$1,557,998","6/24"
"Despicable Me","EDKO","$1,488,651","8/5"
"Predators","Fox","$1,479,794","7/8"
"The A-Team","Fox","$1,478,346","6/10"
"Di Renjie (Detective Dee and the Mystery of the Phantom Flame)","Lark","$1,451,919","9/30"
"Kokuhaku (Confessions)","Lark","$1,428,814","10/14"
"Sex and the City 2","WB","$1,380,942","6/10"
"The Expendables","Golden Scene","$1,358,248","8/26"
"How to Train Your Dragon","Intercontinental","$1,339,009","4/1"
"Fun sau suet oi nei (Breakup Club)","Gala","$1,321,893","6/17"
"Su Qi-Er (True Legend)","EDKO","$1,260,551","2/11"
"Piranha 3D","Cable","$1,229,902","9/9"
"The Sorcerer's Apprentice","Disney","$1,201,332","8/5"
"Valentine's Day","WB","$1,180,734","2/11"
"Love and Other Drugs","Fox","$1,169,296","12/30"
"Child's Eye","Gala","$1,115,865","10/14"
"Wall Street: Money Never Sleeps","Fox","$1,084,207","9/23"
"Let Me In","EDKO","$1,074,556","10/21"
"Marriage With A Liar","Newport","$1,068,849","12/23"
"Megamind","Intercontinental","$995,985","12/23"
"Gam yee wai (14 Blades)","Gala","$984,711","2/10"
"Saw 3D","Deltamac","$953,428","10/29"
"Skyline","Intercontinental","$953,049","11/18"
"Ren Jian Xi Ju (Human Comedy)","Golden Scene","$938,945","7/8"
"Shutter Island","Intercontinental","$918,669","3/11"
"Cheung wong chi wong (Triple Tap)","Lark","$915,598","6/30"
"The Legend Is Born: Ip Man","Newport","$893,361","6/24"
"Chi ming yu chun giu (Love in a Puff)","Gala","$822,902","3/25"
"Po po chiu kai yan (Perfect Wedding)","Intercontinental","$806,348","10/21"
