" Movie Title","Distributor","Gross","Release"
"Shrek Forever After","UIP","$3,255,213","7/8"
"Inception","InterCom","$2,418,217","7/22"
"Harry Potter and the Deathly Hallows (Part One)","InterCom","$2,174,361","11/25"
"Tangled","Forum Films","$1,662,758","12/2"
"Alice in Wonderland (2010)","Forum Films","$1,567,143","3/4"
"Üvegtigris 3 (GlassTiger 3)","Szuez","$1,566,800","12/16"
"The Twilight Saga: Eclipse","Forum","$1,348,790","6/30"
"Sherlock Holmes","InterCom","$1,283,931","1/7"
"Sex and the City 2","InterCom","$1,189,569","5/27"
"Prince of Persia: The Sands of Time","Forum","$1,125,141","5/20"
"Little Fockers","UPI","$994,401","12/23"
"Toy Story 3","Forum","$977,268","6/17"
"How to Train Your Dragon","UIP","$972,038","3/25"
"Due Date","InterCom","$971,977","11/4"
"Grown Ups","InterCom","$950,455","7/29"
"Valentine's Day","InterCom","$940,276","2/11"
"Tron Legacy","Forum Films","$912,625","12/16"
"Clash of the Titans (2010)","InterCom","$909,855","4/15"
"Despicable Me","UIP","$900,085","11/4"
"The Last Airbender","UIP","$861,772","7/29"
"Resident Evil: Afterlife","InterCom","$828,587","9/10"
"The Sorcerer's Apprentice","Forum","$766,872","8/5"
"Step Up 3-D","Forum","$729,068","8/26"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","InterCom","$720,542","12/9"
"Shutter Island","UIP","$714,732","3/4"
"Eat Pray Love","InterCom","$707,658","10/14"
"Iron Man 2","PPI","$704,870","4/29"
"The Bounty Hunter","InterCom","$682,468","4/1"
"The Tourist","InterCom","$642,241","12/29"
"Sammy's Adventures: The Secret Passage","Forum","$632,687","9/30"
"Going the Distance","InterCom","$538,613","9/9"
"The Expendables","Palace","$522,133","10/14"
"Predators","InterCom","$506,188","8/19"
"Did You Hear About the Morgans?","InterCom","$502,513","1/14"
"Robin Hood","UIP","$467,713","5/13"
"Percy Jackson & The Olympians: The Lightning Thief","InterCom","$443,369","2/18"
"Cats & Dogs: Revenge of Kitty Galore","InterCom","$434,404","8/5"
"Saw 3D","Budapest","$398,799","10/28"
"The Other Guys","InterCom","$386,069","9/30"
"Knight & Day","InterCom","$385,910","7/15"
"Up in the Air","UIP","$359,390","2/18"
"The Karate Kid","InterCom","$340,318","9/2"
"Date Night","Budapest","$322,045","4/8"
"Legend of the Guardians: The Owls of Ga'Hoole","InterCom","$318,202","10/7"
"Life as We Know It","InterCom","$312,830","12/2"
"Wall Street: Money Never Sleeps","InterCom","$301,780","9/30"
"The Wolfman","UIP","$290,305","2/11"
"Salt","InterCom","$289,658","8/12"
"She's Out of My League","UIP","$288,228","5/20"
"The Back-Up Plan","InterCom","$272,850","6/10"
"Megamind","UIP","$271,880","12/16"
"Marmaduke","InterCom","$246,172","6/10"
"The Book of Eli","InterCom","$211,273","2/25"
"Alpha and Omega","Forum","$197,880","10/21"
"The Town","InterCom","$191,160","10/21"
"Furry Vengeance","Palace","$182,367","6/24"
"The Men Who Stare at Goats","Forum","$177,689","3/26"
"The Social Network","InterCom","$175,734","11/11"
"Killers","Palace","$171,210","11/18"
"Nanny McPhee and The Big Bang","UIP","$163,702","5/27"
"Letters to Juliet","Palace","$157,884","8/5"
"Remember Me","Palace","$154,686","5/6"
"Zimmer Feri 2. (Haunted Holiday)","Hungaricom","$152,999","12/2"
"Red","Palace","$147,471","12/9"
"The Imaginarium of Doctor Parnassus","Budapest","$147,425","1/14"
"Green Zone","UIP","$139,085","6/3"
"The Ghost Writer","Forum","$138,481","7/15"
"The Hurt Locker","Budapest","$132,025","3/11"
"Edge of Darkness","Palace","$130,200","3/18"
"Tinker Bell and the Great Fairy Rescue","Forum","$117,638","7/29"
"Easy A","InterCom","$116,150","10/28"
"A Nightmare on Elm Street (2010)","InterCom","$115,922","6/10"
"Armored","InterCom","$115,062","1/28"
"Brooklyn's Finest","Palace","$111,615","4/22"
"When in Rome","Forum Films","$111,615","4/22"
"Unstoppable","InterCom","$104,134","11/18"
"Igazából apa","InterCom","$101,748","3/18"
"Old Dogs","Forum Films","$100,488","1/21"
"StreetDance 3D","Budapest","$100,113","5/27"
"The A-Team","InterCom","$99,222","8/5"
"Szinglik éjszakája","n/a","$97,582","2/25"
"Toy Story 2 in 3D","Forum Films","$94,395","2/11"
"Bathory","n/a","$92,984","1/21"
"The Switch","InterCom","$91,351","10/21"
"Dear John","Palace","$90,233","4/8"
"The American","Palace","$87,651","10/28"
"Toy Story in 3D","Forum Films","$83,347","1/28"
"Nine","Budapest","$82,748","2/4"
"Leap Year","Forum Films","$78,743","1/28"
"Everybody's Fine","Forum Films","$73,730","2/25"
"Machete","Budapest","$73,596","11/25"
"You Again","Forum","$73,485","11/11"
"The Spy Next Door","Palace","$69,158","4/1"
"Arthur et la guerre des deux mondes","n/a","$68,234","12/23"
"Legion (2010)","InterCom","$66,664","3/18"
"Centurion","MOKEP","$66,441","8/26"
"The Rebound","Budapest","$60,750","7/22"
"L'immortel (22 Bullets)","Forum","$50,193","10/7"
"Kick Ass","InterCom","$50,188","6/17"
"Chasseurs de dragons (Dragon Hunters)","InterCom","$46,019","3/11"
"Jackass 3-D","UIP","$42,452","11/18"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","Budapest","$38,796","7/8"
"An Education","Budapest","$37,561","4/8"
"Planet 51","Intersonic","$35,724","1/14"
"Bad Lieutenant: Port of Call New Orleans","Budapest","$33,046","3/11"
"Paranormal Activity 2","UIP","$32,147","10/21"
"A Perfect Getaway","Palace","$29,767","1/21"
"The Box","Budapest","$28,842","1/21"
"Bibliothèque Pascal","n/a","$21,851","3/18"
"Splice","Budapest","$21,262","9/23"
"Devil","UIP","$20,813","11/18"
"Agora (Mists of Time)","Budapest","$19,962","2/18"
"Les aventures extraordinaires d'Adèle Blanc-Sec (The Extraordinary Adventures of Adèle
Blanc-Sec)","Forum","$19,821","9/9"
"Garfield's Pet Force","Palace","$18,329","8/19"
