" Movie Title","Distributor","Gross","Release"
"Inception","WB","$504,666","7/23"
"Toy Story 3","Disney","$453,707","6/18"
"Harry Potter and the Deathly Hallows (Part One)","WB","$366,858","11/19"
"Algjor Sveppi 2","n/a","$347,060","9/10"
"Shrek Forever After","UIP","$312,764","7/14"
"The Expendables","n/a","$263,958","8/18"
"Sex and the City 2","WB","$245,935","6/4"
"Despicable Me","UIP","$227,013","9/3"
"Alice in Wonderland (2010)","Disney","$215,744","3/5"
"Due Date","WB","$204,349","11/5"
"Iron Man 2","UIP","$198,156","4/30"
"Sherlock Holmes","WB","$190,960","1/15"
"Mamma Gógó","n/a","$190,422","1/1"
"Luftslottet som sprängdes (The Girl Who Kicked the Hornet's Nest)","n/a","$186,189","2/19"
"Salt","Sony","$175,413","8/11"
"How to Train Your Dragon","UIP","$168,995","4/2"
"Megamind","UIP","$165,292","12/17"
"Jackass 3-D","UIP","$163,015","11/12"
"Robin Hood","UIP","$157,766","5/14"
"The Twilight Saga: Eclipse","n/a","$155,784","7/2"
"The Social Network","Sony","$149,883","10/15"
"Little Fockers","UIP","$148,651","12/26"
"Prince of Persia: The Sands of Time","Disney","$146,755","5/19"
"Tron Legacy","Disney","$142,526","12/26"
"The Karate Kid","Sony","$138,074","7/28"
"Clash of the Titans (2010)","WB","$136,087","4/9"
"Kick Ass","n/a","$135,879","4/16"
"Grown Ups","Sony","$135,743","6/24"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$133,025","12/10"
"The Other Guys","Sony","$130,645","9/3"
"The Town","WB","$126,288","10/8"
"Step Up 3-D","n/a","$125,848","8/25"
"Shutter Island","UIP","$120,750","2/26"
"Eat Pray Love","Sony","$118,599","10/1"
"Órói (Jitters)","n/a","$114,203","10/15"
"Knight & Day","Fox","$112,888","7/7"
"Hot Tub Time Machine","n/a","$109,455","3/31"
"Brim (Undercurrent)","n/a","$101,961","10/4"
"The A-Team","Fox","$98,224","6/16"
"Valentine's Day","WB","$97,951","2/12"
"Gauragangur","n/a","$96,756","12/26"
"Dinner for Schmucks","UIP","$96,201","10/1"
