" Movie Title","Distributor","Gross","Release"
"Avatar: Special Edition","Fox","$8,440,255","8/26"
"Iron Man 2","UIP","$4,642,633","4/29"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$4,266,217","12/9"
"The Karate Kid","Sony","$4,226,942","6/10"
"Clash of the Titans (2010)","WB","$3,909,530","4/1"
"Prince of Persia: The Sands of Time","Disney","$3,848,629","5/27"
"Alice in Wonderland (2010)","Disney","$3,580,438","3/4"
"Gulliver's Travels","Fox","$3,569,846","12/23"
"Resident Evil: Afterlife","Sony","$3,563,274","9/10"
"Harry Potter and the Deathly Hallows (Part One)","WB","$3,561,688","11/18"
"Yip Man 2: Chung si chuen kei","Golden Sceen","$3,488,158","4/29"
"Tron Legacy","Disney","$3,128,368","12/16"
"Endhiran","FiveStar","$3,048,246","9/30"
"Tangled","Disney","$3,000,230","11/25"
"Toy Story 3","Disney","$2,812,540","6/17"
"Salt","Sony","$2,634,070","7/29"
"The Sorcerer's Apprentice","Disney","$2,571,524","7/22"
"The Last Airbender","UIP","$2,542,932","8/5"
"Shrek Forever After","UIP","$2,405,025","5/20"
"The Twilight Saga: Eclipse","n/a","$2,186,400","7/8"
"The Expendables","n/a","$2,125,236","8/12"
"Piranha 3D","n/a","$2,120,514","9/2"
"Adnan semp-it","n/a","$2,108,040","1/14"
"Inception","WB","$2,093,461","7/15"
"Jing mo fung wan: Chen Zhen (Legend of the Fist: The Return of Chen Zhen)","Golden Sceen","$2,049,033","9/23"
"Percy Jackson & The Olympians: The Lightning Thief","Fox","$2,023,441","2/11"
"72 ga cho hak (72 Tenants of Prosperity)","n/a","$1,885,887","2/11"
"Predators","Fox","$1,885,217","7/8"
"Evolusi: KL Drift 2","n/a","$1,770,338","3/25"
"Unstoppable","Fox","$1,757,568","11/11"
"The Tourist","Sony","$1,681,003","12/30"
"How to Train Your Dragon","UIP","$1,664,138","3/25"
"The A-Team","Fox","$1,602,565","6/10"
"Megamind","UIP","$1,586,482","11/4"
"Little Big Soldier","Golden Sceen","$1,512,361","2/11"
"Step Up 3-D","n/a","$1,503,391","8/26"
"Child's Eye","n/a","$1,487,116","10/14"
"Singam","FiveStar","$1,471,508","5/27"
"Skyline","n/a","$1,460,702","11/11"
"Robin Hood","UIP","$1,363,204","5/13"
"Knight & Day","Fox","$1,316,116","6/24"
"The Wolfman","UIP","$1,313,991","2/11"
"The Spy Next Door","Sony","$1,296,526","1/15"
"Despicable Me","UIP","$1,230,633","7/8"
"Legion (2010)","Sony","$1,181,038","1/21"
"Tiger Woohoo","n/a","$1,178,693","1/14"
"All's Well Ends Well 2010","FiveStar","$1,172,656","2/11"
"Ice Kacang Puppy Love","n/a","$1,118,188","4/15"
"V3: Samseng Jalanan","n/a","$1,089,691","3/11"
"Magika","n/a","$1,041,237","9/23"
"Gam yee wai (14 Blades)","n/a","$1,007,827","2/11"
"Takers","Sony","$957,802","10/28"
"Les aventures extraordinaires d'Adèle Blanc-Sec (The Extraordinary Adventures of Adèle
Blanc-Sec)","n/a","$920,652","10/28"
"Yuet gwong bo hup","Golden Sceen","$910,000","3/18"
"Raavanan (Raavan dupe)","FiveStar","$906,396","6/17"
"Red","Golden Sceen","$903,153","10/21"
"Sura","FiveStar","$897,497","4/29"
"A Nightmare on Elm Street (2010)","WB","$894,674","5/13"
"Di Renjie (Detective Dee and the Mystery of the Phantom Flame)","n/a","$887,808","9/30"
"The Other Guys","Sony","$880,971","10/14"
"The Legend Is Born: Ip Man","Golden Sceen","$873,806","6/24"
"Tooth Fairy","Fox","$859,552","1/21"
"Su Qi-Er (True Legend)","Sony","$843,226","2/11"
"Legend of the Guardians: The Owls of Ga'Hoole","WB","$807,586","9/23"
"Ong Bak 3","n/a","$772,340","7/15"
"Grown Ups","Sony","$770,022","8/26"
"Sammy's Adventures: The Secret Passage","Golden Sceen","$742,057","10/7"
"Cats & Dogs: Revenge of Kitty Galore","WB","$721,521","9/2"
"The Book of Eli","Sony","$692,387","2/25"
"Manmadhan Ambu","n/a","$653,942","12/23"
"Lu Pikirlah Sendiri","n/a","$640,980","2/11"
"Solomon Kane","n/a","$618,081","3/4"
"Little Fockers","UIP","$604,211","12/23"
"Being Human (2010)","n/a","$568,059","4/8"
"Old Dogs","Disney","$564,936","1/7"
"Devil","UIP","$555,731","9/16"
"Valentine's Day","WB","$525,404","2/11"
