" Movie Title","Distributor","Gross","Release"
"Toy Story 3","Disney","$59,382,044","6/18"
"Alice in Wonderland (2010)","Disney","$31,347,734","3/5"
"Shrek Forever After","PPI","$28,384,310","7/16"
"Harry Potter and the Deathly Hallows (Part One)","WB","$22,839,997","11/18"
"The Twilight Saga: Eclipse","n/a","$20,600,163","7/1"
"Clash of the Titans (2010)","WB","$20,547,663","4/16"
"Despicable Me","UPI","$19,789,795","7/30"
"Iron Man 2","PPI","$18,396,680","4/30"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$16,749,459","12/10"
"How to Train Your Dragon","PPI","$14,362,388","3/26"
"Tron Legacy","Disney","$14,298,825","12/25"
"Megamind","PPI","$14,231,674","12/16"
"Tangled","Disney","$14,131,811","11/26"
"The Last Airbender","PPI","$14,069,069","8/27"
"Prince of Persia: The Sands of Time","Disney","$13,898,372","5/28"
"The Karate Kid","Sony","$12,539,258","7/9"
"Gulliver's Travels","Fox","$11,595,299","12/23"
"Sherlock Holmes","WB","$11,402,799","1/1"
"Resident Evil: Afterlife","Sony","$11,148,133","9/16"
"The Wolfman","UPI","$11,144,027","2/12"
"No eres tú, soy yo","WB","$9,918,017","8/27"
"The Sorcerer's Apprentice","Disney","$9,474,792","7/30"
"Inception","WB","$8,919,495","7/23"
"Robin Hood","UPI","$8,845,552","5/14"
"Paranormal Activity 2","PPI","$8,185,616","10/22"
"Tooth Fairy","Fox","$7,890,387","1/15"
"Grown Ups","Sony","$7,722,720","7/23"
"Little Fockers","PPI","$7,274,874","12/30"
"El infierno","n/a","$6,703,873","9/3"
"Legend of the Guardians: The Owls of Ga'Hoole","WB","$6,685,593","10/8"
"Percy Jackson & The Olympians: The Lightning Thief","Fox","$6,024,219","2/12"
"The Expendables","n/a","$5,345,282","8/13"
"Sammy's Adventures: The Secret Passage","n/a","$4,909,783","10/29"
"Knight & Day","Fox","$4,859,637","7/16"
"A Nightmare on Elm Street (2010)","WB","$4,790,260","5/14"
"Due Date","WB","$4,592,401","11/5"
"Salt","Sony","$4,451,734","8/6"
"Shutter Island","PPI","$4,265,931","3/12"
"The Blind Side","WB","$4,105,623","3/19"
"Edge of Darkness","WB","$4,070,888","2/26"
"Life as We Know It","WB","$4,067,433","10/15"
"The Book of Eli","Sony","$4,043,777","1/29"
"Cats & Dogs: Revenge of Kitty Galore","WB","$3,802,030","8/13"
"It's Complicated","UPI","$3,497,634","1/29"
"Valentine's Day","WB","$3,278,718","2/12"
"The Social Network","Sony","$3,239,209","12/10"
"Hidalgo - La historia jamás contada.","Fox","$3,077,143","9/16"
"The Back-Up Plan","Sony","$3,076,295","4/23"
"The Last Exorcism","Gussi","$3,031,584","10/15"
"The Bounty Hunter","Sony","$2,942,253","3/26"
"Date Night","Fox","$2,925,693","4/9"
"The Lovely Bones","PPI","$2,898,173","2/19"
"Eat Pray Love","Sony","$2,856,933","9/24"
"The Perfect Game","n/a","$2,841,922","4/1"
"Biutiful","Videocine","$2,789,488","10/22"
"Vampires Suck","Fox","$2,730,361","9/3"
"Hachiko: A Dog's Story","Gussi","$2,651,633","4/9"
"Sex and the City 2","WB","$2,645,334","6/4"
"Predators","Fox","$2,609,912","8/20"
"The Fourth Kind","Gussi","$2,577,037","1/22"
"Marmaduke","Fox","$2,545,881","5/28"
"Abel","Videocine","$2,534,825","5/28"
"Wall Street: Money Never Sleeps","Fox","$2,473,179","10/1"
"Legion (2010)","Sony","$2,403,289","3/19"
"Nanny McPhee and The Big Bang","UPI","$2,300,140","4/1"
"Invictus","WB","$2,238,624","1/22"
"Te presento a Laura","Videocine","$2,206,942","10/29"
"Devil","UPI","$2,193,500","11/26"
"Up in the Air","PPI","$2,176,272","1/22"
"The A-Team","Fox","$2,165,774","6/11"
"Law Abiding Citizen","n/a","$2,163,319","1/8"
"Going the Distance","WB","$2,152,190","9/16"
"Red","n/a","$2,050,154","11/5"
"The Next Three Days","Gussi","$1,951,942","12/30"
"The Switch","Gussi","$1,935,601","9/3"
"Skyline","Gussi","$1,909,935","11/26"
"Tinker Bell and the Great Fairy Rescue","Disney","$1,877,053","9/3"
"The Town","WB","$1,867,154","10/29"
"Killers","Gussi","$1,745,062","6/18"
"Did You Hear About the Morgans?","Sony","$1,739,167","1/15"
"The Joneses","n/a","$1,602,629","8/20"
"From Paris with Love","Videocine","$1,542,491","5/21"
"The Spy Next Door","Gussi","$1,434,014","3/19"
"Charlie St. Cloud","UPI","$1,398,859","10/1"
"Regresa","n/a","$1,396,505","1/22"
"Saw 3D","Disney","$1,342,094","10/29"
"Buried","n/a","$1,309,909","11/12"
"Zombieland","Sony","$1,249,921","1/8"
"She's Out of My League","PPI","$1,241,951","5/7"
"Furry Vengeance","n/a","$1,189,058","6/4"
"Cop Out","WB","$1,188,008","4/23"
"Open Season 3","Sony","$1,160,078","10/29"
"The Grudge 3","Videocine","$1,155,992","6/25"
"Dorian Gray","Gussi","$1,151,188","8/6"
"Messengers 2: The Scarecrow","Videocine","$1,128,303","2/26"
"Letters to Juliet","n/a","$1,127,530","5/21"
"The Hurt Locker","Gussi","$1,114,807","2/12"
"The Crazies","Gussi","$1,104,264","4/30"
"Remember Me","n/a","$1,082,812","3/26"
"Daybreakers","Gussi","$1,041,994","2/19"
"El atentado (The Attempt Dossier)","Videocine","$1,025,827","8/27"
"Solomon Kane","n/a","$1,001,674","8/13"
"All About Steve","Fox","$998,786","1/1"
"Brijes 3D","Videocine","$975,523","9/16"
"Machete","Sony","$945,321","11/12"
"Green Zone","UPI","$902,874","4/23"
"The Last Song","Disney","$893,873","4/16"
"Precious: Based on the Novel "Push" by Sapphire","Gussi","$859,206","3/5"
"Dear John","Sony","$842,754","4/1"
"The Other Guys","Sony","$840,985","10/22"
"Dinner for Schmucks","PPI","$800,973","10/15"
