" Movie Title","Distributor","Gross","Release"
"The Twilight Saga: Eclipse","Pioneer","$6,317,882","6/30"
"Iron Man 2","UIP","$6,252,102","4/30"
"Clash of the Titans (2010)","WB","$4,736,074","4/3"
"Harry Potter and the Deathly Hallows (Part One)","WB","$4,688,620","11/18"
"Toy Story 3","Disney","$3,435,588","6/17"
"The Karate Kid","Sony","$3,369,473","6/11"
"Prince of Persia: The Sands of Time","Disney","$3,357,913","5/27"
"Shrek Forever After","UIP","$3,310,904","5/20"
"My Amnesia Girl","Star Cin.","$3,288,330","11/24"
"Miss You Like Crazy","Star Cin.","$3,183,529","2/24"
"Alice in Wonderland (2010)","Disney","$3,099,108","3/4"
"Salt","Sony","$2,890,845","7/28"
"The Last Airbender","UIP","$2,648,559","7/21"
"Petrang Kabayo","n/a","$2,647,739","10/13"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$2,603,691","12/9"
"Here Comes the Bride","Star Cin.","$2,537,029","5/12"
"Despicable Me","UIP","$2,246,878","9/1"
"Inception","WB","$2,236,411","7/15"
"Babe, I Love You","Star Cin.","$2,143,016","4/3"
"You to Me Are Everything","n/a","$2,119,757","5/5"
"Percy Jackson & The Olympians: The Lightning Thief","Fox","$2,056,265","2/12"
"Resident Evil: Afterlife","Pioneer","$2,039,599","9/10"
"The Sorcerer's Apprentice","Disney","$1,910,180","7/15"
"Paano na kaya","Star Cin.","$1,821,533","1/27"
"Hating kapatid","n/a","$1,820,332","7/21"
"Tron Legacy","Disney","$1,680,235","12/17"
"The Expendables","Viva Int.","$1,669,534","8/13"
"Legend of the Guardians: The Owls of Ga'Hoole","WB","$1,483,518","9/24"
"In Your Eyes","n/a","$1,436,836","8/18"
"How to Train Your Dragon","UIP","$1,390,310","3/19"
"Till My Heartaches End","Star Cin.","$1,386,444","10/27"
"Cinco","Star Cin.","$1,343,554","7/14"
"Robin Hood","UIP","$1,286,021","5/14"
"Megamind","UIP","$1,270,543","11/5"
"Knight & Day","Fox","$1,238,100","6/24"
"Sa 'yo lamang","Star Cin.","$1,151,277","9/1"
"Legion (2010)","Sony","$1,136,978","1/22"
"Sherlock Holmes","WB","$1,136,300","1/8"
"Alvin and the Chipmunks: The Squeakquel","Fox","$1,112,086","1/8"
"I Do (2010)","Star Cin.","$985,402","9/29"
"I'll Be There","Star Cin.","$928,937","6/16"
"The Spy Next Door","Viva Int.","$842,162","1/15"
"Unstoppable","Fox","$767,114","11/12"
"Sex and the City 2","WB","$757,982","6/2"
"Valentine's Day","WB","$752,679","2/12"
"Working Girls (2010)","n/a","$722,741","4/21"
"The A-Team","Fox","$685,489","6/10"
"The Wolfman","UIP","$596,321","2/12"
"Step Up 3-D","Pioneer","$595,627","8/11"
"Piranha 3D","Viva Int.","$562,703","10/6"
"Eat Pray Love","Sony","$558,434","10/6"
"Predators","Fox","$556,907","7/8"
"The Book of Eli","Sony","$528,460","3/17"
"White House","n/a","$527,913","10/20"
"Paranormal Activity 2","UIP","$501,889","10/27"
"Cats & Dogs: Revenge of Kitty Galore","WB","$497,213","8/18"
"Mamarazzi","n/a","$493,470","8/25"
"Skyline","Viva Int.","$487,414","11/24"
"Date Night","Fox","$483,275","4/9"
"Tooth Fairy","Fox","$472,939","1/22"
"Life as We Know It","WB","$469,497","10/20"
"Going the Distance","WB","$468,653","9/3"
"Dear John","Pioneer","$455,383","2/5"
"Wall Street: Money Never Sleeps","Fox","$439,806","9/29"
"A Nightmare on Elm Street (2010)","WB","$414,149","5/12"
"The Town","WB","$411,962","10/6"
"The Social Network","Sony","$387,794","10/27"
"Green Zone","UIP","$381,255","3/12"
"The Last Song","Disney","$344,475","5/12"
"The Last Exorcism","Pioneer","$335,242","9/1"
"Vampires Suck","Fox","$329,962","8/25"
"Grown Ups","Sony","$323,983","8/11"
"Due Date","WB","$310,714","11/5"
"Red","Pioneer","$310,537","10/15"
"Devil","UIP","$290,408","9/22"
"The Princess and the Frog","Disney","$284,188","2/3"
"The Back-Up Plan","Sony","$276,714","4/23"
"Killers","Pioneer","$276,274","6/4"
"The Other Guys","Sony","$267,277","10/13"
"The Losers","WB","$265,015","4/23"
"StreetDance 3D","Viva Int.","$259,294","7/7"
"Cop Out","WB","$258,672","3/3"
"Shutter Island","UIP","$256,820","4/14"
"Cirque du Freak: The Vampire's Assistant","UIP","$254,860","1/27"
"Diary of a Wimpy Kid","Fox","$224,340","4/3"
"Kick Ass","Viva Int.","$224,029","4/16"
"Noy the Movie","Star Cin.","$214,391","6/2"
"Saw 3D","Pioneer","$210,526","11/24"
"Remember Me","Pioneer","$210,317","3/12"
"Easy A","Sony","$205,247","11/10"
"Daybreakers","Pioneer","$197,552","1/15"
"From Paris with Love","Viva Int.","$196,856","2/24"
"Zombieland","Sony","$194,625","1/8"
"The Bounty Hunter","Sony","$190,245","5/5"
"Tekken","Pioneer","$189,281","8/4"
"Charlie St. Cloud","UIP","$180,765","9/29"
"When in Rome","Disney","$172,561","3/17"
"Letters to Juliet","Pioneer","$170,633","6/16"
"Takers","Sony","$165,512","11/24"
"The Hole (2010)","Pioneer","$141,880","10/15"
"You Again","Disney","$141,433","11/3"
"Did You Hear About the Morgans?","Sony","$141,307","2/3"
"Little Big Soldier","Viva Int.","$140,505","5/19"
"Messengers 2: The Scarecrow","Viva Int.","$131,497","2/3"
"Solomon Kane","Pioneer","$130,452","1/27"
"The Blind Side","WB","$126,112","1/27"
"My Soul to Take","Pioneer","$125,009","10/27"
"Edge of Darkness","Pioneer","$123,170","2/17"
"Buried","Viva Int.","$122,814","10/27"
"Old Dogs","Disney","$117,343","1/20"
"Les aventures extraordinaires d'Adèle Blanc-Sec (The Extraordinary Adventures of Adèle
Blanc-Sec)","Pioneer","$114,502","11/3"
"Extraordinary Measures","Sony","$109,091","3/10"
"Avatar: Special Edition","WB","$106,952","8/27"
"Armored","Sony","$106,158","2/24"
"The Fourth Kind","Viva Int.","$103,329","3/3"
"The Crazies","Pioneer","$102,922","4/21"
"Perkins' 14","Pioneer","$101,838","3/24"
"Universal Soldier: Regeneration","Pioneer","$96,404","1/8"
"Marmaduke","Fox","$95,094","6/4"
"Furry Vengeance","Pioneer","$94,092","5/5"
