" Movie Title","Distributor","Gross","Release"
"Harry Potter and the Deathly Hallows (Part One)","WB","$4,546,240","11/17"
"Iron Man 2","UIP","$4,194,650","4/30"
"Inception","WB","$4,089,506","7/15"
"Clash of the Titans (2010)","WB","$3,945,289","4/1"
"The Karate Kid","Sony","$3,345,747","6/10"
"Alice in Wonderland (2010)","Disney","$3,319,768","3/4"
"Yip Man 2: Chung si chuen kei","Cathay","$3,291,610","4/29"
"Toy Story 3","Disney","$3,155,072","6/17"
"Tangled","Disney","$3,031,106","11/25"
"Shrek Forever After","UIP","$3,019,917","5/20"
"How to Train Your Dragon","UIP","$2,968,823","3/25"
"Despicable Me","UIP","$2,917,270","7/8"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$2,806,014","12/9"
"Megamind","UIP","$2,511,869","11/4"
"Gulliver's Travels","Fox","$2,412,547","12/23"
"Salt","Sony","$2,283,476","8/5"
"Prince of Persia: The Sands of Time","Disney","$2,144,409","5/27"
"Percy Jackson & The Olympians: The Lightning Thief","Fox","$2,101,203","2/11"
"The Twilight Saga: Eclipse","Shaw","$2,073,433","7/1"
"Tron Legacy","Disney","$2,019,304","12/16"
"The Last Airbender","UIP","$2,015,668","8/5"
"Step Up 3-D","Shaw","$1,781,111","8/19"
"The Sorcerer's Apprentice","Disney","$1,731,899","7/22"
"Jing mo fung wan: Chen Zhen (Legend of the Fist: The Return of Chen Zhen)","Shaw","$1,555,261","9/23"
"The Tourist","Sony","$1,537,733","12/30"
"The Expendables","Cathay","$1,371,833","8/19"
"Knight & Day","Fox","$1,287,255","6/24"
"Little Fockers","UIP","$1,247,516","12/23"
"Little Big Soldier","Cathay","$1,228,469","2/14"
"Sex and the City 2","Golden Village","$1,219,541","5/27"
"Robin Hood","UIP","$1,178,210","5/13"
"The A-Team","Fox","$1,135,166","6/10"
"Gam yee wai (14 Blades)","Golden Village","$1,126,692","2/4"
"Valentine's Day","WB","$1,085,569","2/11"
"Resident Evil: Afterlife","Sony","$1,057,399","9/10"
"Unstoppable","Fox","$1,038,383","11/11"
"Grown Ups","Sony","$997,939","8/26"
"Di Renjie (Detective Dee and the Mystery of the Phantom Flame)","Golden Village","$938,991","9/30"
"Wall Street: Money Never Sleeps","Fox","$916,324","9/23"
"Predators","Fox","$869,930","7/8"
"Due Date","WB","$865,407","11/4"
"The Spy Next Door","Golden Village","$863,170","1/15"
"Date Night","Fox","$852,179","4/8"
"The Social Network","Sony","$851,214","10/28"
"The Legend Is Born: Ip Man","Cathay","$796,714","6/24"
"Child's Eye","Cathay","$795,751","10/14"
"Shutter Island","UIP","$760,168","4/15"
"Eat Pray Love","Sony","$748,986","10/7"
"Tooth Fairy","Fox","$720,341","1/21"
