" Movie Title","Distributor","Gross","Release"
"Five Minarets in New York","Pinema","$20,133,706","11/5"
"Recep Ivedik 3","Ozen Film","$16,165,099","2/12"
"Eyyvah eyvah","UIP","$15,028,272","2/26"
"Yahsi Bati","UIP","$13,565,059","1/1"
"Av mevsimi","WB","$11,026,825","12/3"
"Inception","WB","$6,992,235","7/30"
"Cok guzel hareketler bunlar","Medyavizyon","$6,322,637","3/26"
"The Twilight Saga: Eclipse","Tiglon","$6,066,959","6/30"
"Veda","Tiglon","$5,435,324","2/26"
"Harry Potter and the Deathly Hallows (Part One)","WB","$4,789,551","11/17"
"Kutsal Damacana 2: Itmen","Ozen Film","$4,556,469","1/22"
"Ejder Kapani","UIP","$4,297,600","1/22"
"Shrek Forever After","UIP","$4,273,465","5/28"
"Romantik komedi","Pinema","$4,062,440","2/5"
"Saw 3D","WB","$3,852,405","11/12"
"Dersimiz: Atatürk","Cinefilm","$3,509,670","3/19"
"Prince of Persia: The Sands of Time","UIP","$3,286,955","5/21"
"Clash of the Titans (2010)","WB","$3,258,829","4/2"
"The Last Airbender","UIP","$3,168,703","7/23"
"Robin Hood","UIP","$3,067,392","5/14"
"The Tourist","Pinema","$2,823,832","12/10"
"Toy Story 3","UIP","$2,462,385","7/2"
"Alice in Wonderland (2010)","UIP","$2,399,846","3/5"
"Resident Evil: Afterlife","Pinema","$2,388,597","9/10"
"Esrefpasalilar","Medyavizyon","$2,130,227","3/5"
"Sherlock Holmes","WB","$1,873,888","1/15"
"Iron Man 2","PPI","$1,838,197","5/7"
"The Sorcerer's Apprentice","UIP","$1,798,915","7/16"
"Eat Pray Love","WB","$1,796,133","10/8"
"Tangled","UIP","$1,754,015","12/24"
"Salt","WB","$1,696,068","8/6"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Tiglon","$1,623,018","12/10"
"Winx Club 3D: Magic Adventure","Tiglon","$1,557,336","10/29"
"The Expendables","UIP","$1,525,348","8/13"
"Knight & Day","Tiglon","$1,486,953","7/9"
"How to Train Your Dragon","UIP","$1,449,169","4/23"
"Vay Arkadas","Ozen Film","$1,440,631","11/5"
"Red","Tiglon","$1,438,674","10/15"
"Shutter Island","UIP","$1,432,580","3/12"
"Despicable Me","UIP","$1,400,906","9/3"
"Sammy's Adventures: The Secret Passage","UIP","$1,276,817","10/15"
"The Princess and the Frog","UIP","$1,233,749","1/22"
"Garfield's Pet Force","Medyavizyon","$1,232,946","1/29"
"Paranormal Activity 2","UIP","$1,177,263","10/22"
"Çakallarla dans","Tiglon","$1,131,331","12/17"
"Paranormal Activity","Medyavizyon","$1,112,107","1/15"
"Ay Lav Yu","Medyavizyon","$1,030,984","3/12"
"Askin Ikinci Yarisi","Tiglon","$989,343","10/8"
"A Nightmare on Elm Street (2010)","WB","$978,670","5/21"
"Gulliver's Travels","Tiglon","$919,009","12/31"
"The Book of Eli","WB","$821,559","2/5"
"Piranha 3D","Cinefilm","$806,638","8/27"
