" Movie Title","Distributor","Gross","Release"
"Harry Potter and the Deathly Hallows (Part Two)","FS Film","$5,308,968","7/13"
"Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$5,149,281","5/18"
"Cars 2","Disney","$3,230,314","8/12"
"Johnny English Reborn","Finnkino","$3,160,535","10/14"
"The King's Speech","FS Film","$2,380,158","1/21"
"The Twilight Saga: Breaking Dawn Part 1","Nordisk","$2,293,172","11/18"
"Tangled","Disney","$2,193,981","2/11"
"Rio","FS Film","$1,946,344","4/15"
"The Hangover Part II","FS Film","$1,912,945","5/27"
"The Adventures of Tintin","Dis./Sony","$1,813,966","11/4"
"The Smurfs","Disney","$1,745,238","9/1"
"Sherlock Holmes: A Game of Shadows","FS Film","$1,730,778","12/23"
"Kung Fu Panda 2","Finnkino","$1,674,201","6/10"
"Transformers 3","Finnkino","$1,377,688","6/29"
"Le Havre","Futurefilm","$1,293,989","9/9"
"Fast Five","Finnkino","$1,184,638","5/4"
"Vares - Sukkanauhakäärme","Nordisk","$1,065,663","8/5"
"Vares - Pahan suudelma","Nordisk","$997,270","1/6"
"Yogi Bear","SMD","$990,932","1/28"
"Bad Teacher","Dis./Sony","$974,961","6/26"
"Pussikaljaelokuva","Nordisk","$957,694","9/2"
"Vares - Huhtikuun tytöt","Nordisk","$957,077","4/20"
"Hella W","SMD","$942,533","1/28"
"The Storage","Nordisk","$822,763","12/30"
"Alvin and the Chipmunks: Chipwrecked","FS Film","$810,691","12/16"
"Rise of the Planet of the Apes","FS Film","$798,730","8/12"
"New Year's Eve","FS Film","$796,033","12/9"
"The Tourist","Dis./Sony","$759,934","1/21"
"Midnight in Paris","Scanbox","$698,764","8/26"
"Bridesmaids","Finnkino","$653,628","7/22"
"Winnie the Pooh","Disney","$627,487","9/23"
"True Grit","Finnkino","$611,388","2/18"
"Svinalängorna (Beyond)","Nordisk","$609,770","3/11"
"Red Riding Hood","FS Film","$600,099","4/8"
"The Girl with the Dragon Tattoo (2011)","Dis./Sony","$594,475","12/21"
"Gulliver's Travels","FS Film","$564,646","2/18"
"Rango","Finnkino","$546,820","3/18"
"No Strings Attached","Finnkino","$534,103","2/11"
"Missä kuljimme kerran (Where Once We Walked)","Scanbox","$529,773","10/28"
"Just Go With It","Disney","$511,147","2/25"
"Horrible Bosses","FS Film","$500,657","8/19"
"Limitless","Nordisk","$497,332","4/8"
"August (2011)","Nordisk","$491,833","4/1"
"Friends with Benefits","Dis./Sony","$481,650","9/30"
"Scream 4","Scanbox","$471,529","4/15"
"Mr. Popper's Penguins","FS Film","$460,324","7/29"
"In Time","FS Film","$458,588","11/25"
"Life for Sale","Nordisk","$447,839","10/21"
"Tower Heist","Finnkino","$438,603","11/25"
"X-Men: First Class","FS Film","$434,955","6/3"
"Water for Elephants","FS Film","$434,146","4/22"
"127 Hours","FS Film","$424,449","2/4"
"Thor","Finnkino","$418,130","5/6"
"Paranormal Activity 3","Finnkino","$417,166","11/4"
"Another Year","FS Film","$415,696","2/25"
