" Movie Title","Distributor","Gross","Release"
"Harry Potter and the Deathly Hallows (Part Two)","WB","$124,331,909","7/15"
"Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$108,856,481","5/20"
"Kokuriko-zaka kara","Toho","$56,029,615","7/16"
"Transformers 3","PPI","$54,167,274","7/29"
"Sutekina kanashibari (Once in a Blue Moon)","Toho","$53,982,636","10/29"
"Gekijouban Pokketo monsutâ Besuto wisshu: Pikutini to kuroku eiyuu Zekuromu (Pokemon: Best
Wishes)","Toho","$53,387,786","7/16"
"Mission: Impossible - Ghost Protocol","PPI","$50,718,732","12/16"
"SP: The motion picture kakumei hen","Toho","$40,242,318","3/12"
"Gantz","Toho","$40,127,423","1/29"
"Cars 2","Disney","$38,124,194","7/30"
"Meitantei Conan: Chinmoku no kuôtâ (Detective Conan: Quarter of Silence)","Toho","$38,010,276","4/16"
"Eiga Kaibutsukun","Toho","$37,793,951","11/26"
"Gantz: Perfect Answer","Toho","$33,378,866","4/23"
"Tangled","Disney","$31,081,461","3/12"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$30,428,302","2/25"
"Rise of the Planet of the Apes","Fox","$30,246,723","10/7"
"Unfair 2: The Answer","Toho","$29,166,054","9/17"
"Eiga Doraemon Shin Nobita to tetsujin heidan: Habatake tenshitachi","Toho","$27,926,061","3/5"
"Moteki","Toho","$27,628,150","9/23"
"Black Swan","Fox","$27,403,464","5/11"
"The Three Musketeers (2011)","GAGA","$24,394,935","10/28"
"Kamisama no karute (In His Chart)","Toho","$23,384,864","8/27"
"Andarushia: Megami no Houfuku","Toho","$22,929,221","6/25"
"The Tourist","Sony","$22,367,684","3/5"
"Gekijouban Kamen raidâ Ôzu Wonderful: Shougun to 21 no koa medaru","Toei","$22,313,925","8/6"
"The King's Speech","GAGA","$21,400,881","2/26"
"Super 8","PPI","$20,643,034","6/24"
"Kaiji 2: Jinsei dakkai gêmu","Toho","$19,903,084","11/5"
"Princess Toyotomi","Toho","$19,122,151","5/28"
"Gulliver's Travels","Fox","$18,927,634","4/15"
"Eiga Keion!","Shochiku","$18,704,027","12/3"
"Gaku","Toho","$18,536,792","5/8"
"Kamen raidâ x Kamen raidâ Fôze & Ôzu Movie taisen Mega Max","Toei","$17,826,493","12/10"
"Taiheiyou no kiseki: Fokkusu to yobareta otoko (Oba: The Last Samurai)","Toho","$17,737,092","2/11"
"Fast Five","Toho-Towa","$17,707,642","10/1"
"The Social Network","Sony","$16,985,483","1/15"
"Paradaisu kisu (Paradise Kiss)","WB","$16,788,726","6/4"
"Real Steel","Disney","$16,617,012","12/9"
"OOO, Den-O, All Riders: Let's Go Kamen
Riders","Toei","$16,048,109","4/1"
"Friends: Mononokeshima no Naki","Toho","$15,606,583","12/17"
"Tantei wa bar ni iru","Toei","$15,404,986","9/10"
"One Life","n/a","$15,387,362","9/1"
"Kureyon Shinchan: Arashi o yobu ougon no supai daisakusen","Toho","$14,295,582","4/16"
"Boku to tsuma no 1778 no monogatari (1,778
Stories of Me and My Wife)","Toho","$14,274,150","1/15"
"Red","Disney","$14,239,761","1/29"
"Yôkame no semi (Rebirth)","Shochiku","$14,066,908","4/29"
"The Adventures of Tintin","Toho-Towa","$13,513,900","12/1"
"Kung Fu Panda 2","PPI","$13,314,024","8/19"
"Unstoppable","Fox","$12,807,068","1/7"
"Rengô kantai shirei chôkan: Yamamoto Isoroku","Toei","$12,433,251","12/23"
"Genji monogatari: Sennen no nazo","Toho","$12,335,866","12/10"
"Gekijouban Inazuma irebun Go: Kyuukyoku no kizuna Gurifon","Toho","$12,149,111","12/23"
"Ashita no Joe","Toho","$12,124,367","2/11"
"Hankyu densha","Toho","$11,879,956","4/23"
"Moneyball","Sony","$11,308,571","11/11"
"Eiga Suîto Purikyua: Torimodose! Kokoro ga tsunagu kiseki no merodi","Toei","$10,871,826","10/29"
"Precure All Stars DX3","Toei","$10,866,071","3/19"
"Nintama Rantarô (Ninja Kids!!!)","WB","$10,776,262","7/23"
"Gôkaijâ Goseijâ Sûpâ sentai 199 hîrô daikessen","Toei","$10,758,185","6/11"
"Moshi kôkô yakyû no joshi manager ga Drucker no management wo yondara","Toho","$10,569,430","6/4"
