" Movie Title","Distributor","Gross","Release"
"Listy do M.","ITI","$12,290,351","11/10"
"Och, Karol 2","n/a","$10,455,379","1/21"
"Pirates of the Caribbean: On Stranger Tides (3D)","Forum Films","$10,110,633","5/20"
"Harry Potter and the Deathly Hallows (Part Two)","WB","$8,895,199","7/15"
"Bitwa warszawska 1920 (Battle of Warsaw 1920)","Forum Films","$8,121,669","9/30"
"The Hangover Part II","WB","$7,179,432","6/3"
"The King's Speech","Kino S'Wiat","$6,164,454","1/28"
"The Smurfs","Sony","$5,950,565","8/19"
"Cars 2","Forum Films","$5,698,308","6/29"
"Baby sa jakies inne","Kino S'Wiat","$4,883,118","10/14"
"Sala samobójców (Suicide Room)","ITI","$4,878,284","3/4"
"Wyjazd integracyjny","Kino S'Wiat","$4,856,345","11/4"
"Transformers 3","UIP","$4,832,020","7/1"
"Kung Fu Panda 2","UIP","$4,801,114","5/27"
"Weekend (2011)","ITI","$4,608,898","1/6"
"Gnomeo and Juliet","ITI","$4,209,077","5/6"
"Midnight in Paris","Kino S'Wiat","$4,158,970","8/26"
"The Twilight Saga: Breaking Dawn Part 1","Monolith","$4,049,960","11/18"
"Czarny czwartek","Kino S'Wiat","$3,204,531","2/25"
"Rio","Cinepix","$2,738,912","4/8"
"Yogi Bear","WB","$2,700,615","2/18"
"Megamind","UIP","$2,698,582","1/6"
"Final Destination 5","WB","$2,690,914","8/12"
"Black Swan","Cinepix","$2,575,906","1/21"
"Sanctum (3D)","Monolith","$2,534,498","2/4"
"Jak sie pozbyc cellulitu","WB","$2,402,798","2/4"
"Gulliver's Travels","n/a","$2,327,649","1/28"
"Limitless","Monolith","$2,199,193","4/1"
"Arthur Christmas","Sony","$2,067,585","11/25"
"Wojna zensko-meska","Monolith","$1,988,982","2/25"
"The Tourist","Sony","$1,870,765","1/14"
"Konferenz der Tiere (Animals United)","Monolith","$1,816,648","1/14"
"Jan Pawel II: Szukalem Was","n/a","$1,720,882","3/11"
"Immortals","Monolith","$1,701,753","11/10"
"The Way Back","Monolith","$1,666,468","4/8"
"Thor","UIP","$1,612,281","4/29"
"Happy Feet Two","WB","$1,553,705","12/2"
"The Adventures of Tintin","Sony","$1,541,223","11/4"
"Tinker, Tailor, Soldier, Spy","ITI","$1,384,723","11/25"
"You Will Meet a Tall Dark Stranger","Kino S'Wiat","$1,382,077","3/11"
"Rango","UIP","$1,381,901","3/4"
"Mr. Popper's Penguins","Cinepix","$1,380,035","7/22"
"Season of the Witch","Monolith","$1,329,427","1/14"
"Larry Crowne","Monolith","$1,295,586","7/1"
"Winnie the Pooh","Forum Films","$1,288,611","7/29"
"Los numeros","ITI","$1,283,764","3/25"
"Horrible Bosses","WB","$1,248,417","8/19"
"SeaFood","Kino S'Wiat","$1,237,232","10/7"
"Fast Five","UIP","$1,237,102","5/6"
"The Rite","WB","$1,225,530","4/1"
"Source Code","Monolith","$1,175,982","5/6"
"The Skin I Live In","Gutek","$1,130,755","9/16"
"Real Steel","Forum Films","$1,037,515","10/14"
"The Three Musketeers (2011)","Monolith","$1,017,404","10/14"
"Mission: Impossible - Ghost Protocol","UIP","$1,011,664","12/26"
"Just Go With It","Sony","$1,005,962","4/1"
"Pokaz kotku, co masz w srodku","Kino S'Wiat","$998,036","12/25"
"Conan the Barbarian (2011)","Monolith","$991,386","8/19"
"Johnny English Reborn","UIP","$958,051","9/16"
"Super 8","UIP","$899,269","6/17"
"Spy Kids: All the Time in the World","Forum Films","$866,290","11/18"
"Bridesmaids","UIP","$863,017","7/29"
"Dream House","Kino S'Wiat","$851,748","10/21"
"Battle: Los Angeles","Sony","$837,215","3/18"
"The Lion King (in 3D)","Forum Films","$836,092","8/26"
"Drive (2011)","ITI","$835,142","9/16"
"I Am Number Four","Forum Films","$831,840","2/18"
"New Year's Eve","WB","$829,218","12/9"
"Bad Teacher","Sony","$821,247","8/12"
"Uwiklanie","ITI","$798,896","6/3"
"Friends with Benefits","Sony","$793,837","9/23"
"Paranormal Activity 3","UIP","$790,942","10/21"
"True Grit","UIP","$748,348","2/11"
"In Time","Cinepix","$720,770","12/2"
"Insidious","Vision","$716,833","7/22"
"Killer Elite","Monolith","$715,650","10/7"
"Drive Angry","WB","$685,583","2/26"
"Jez Jerzy","Monolith","$684,957","3/11"
"80 milionów","Kino S'Wiat","$680,834","11/25"
"Crazy, Stupid, Love.","WB","$678,785","9/2"
"Rise of the Planet of the Apes","Cinepix","$660,567","8/5"
"Unknown","WB","$647,470","5/6"
"Kret","Kino S'Wiat","$597,199","8/5"
"Love and Other Drugs","Cinepix","$573,245","2/11"
"El delfín: La historia de un soñador (The Dolphin: Story of a Dreamer)","Kino S'Wiat","$569,044","5/20"
"Priest","Sony","$563,431","5/13"
"Mars Needs Moms","Forum Films","$562,796","3/11"
"Hop","UIP","$559,369","4/1"
"Zookeeper","Sony","$536,176","9/9"
"Shark Night 3D","Monolith","$527,366","9/9"
"No Strings Attached","UIP","$520,323","3/18"
"Melancholia","Gutek","$500,865","5/27"
"Scream 4","Forum Films","$496,042","4/15"
"The Rum Diary","Kino S'Wiat","$479,797","12/30"
"Des hommes et des dieux (Of Gods and Men)","Gutek","$476,372","1/28"
"Contagion","WB","$456,191","10/28"
"Captain America: The First Avenger","UIP","$453,329","8/5"
"Colombiana","Monolith","$451,864","9/2"
"X-Men: First Class","Cinepix","$444,444","6/3"
"Abduction","Monolith","$440,435","9/23"
"Don't Be Afraid of the Dark","Forum Films","$439,588","8/26"
"Los ojos de Julia (Julia's Eyes)","Kino S'Wiat","$431,473","3/25"
"Cowboys & Aliens","UIP","$431,131","8/26"
"Something Borrowed","WB","$425,521","5/27"
"Burlesque","Sony","$421,003","2/11"
"Tower Heist","UIP","$395,570","11/11"
"The Tree of Life","Monolith","$393,998","6/10"
"The Adjustment Bureau","UIP","$373,969","3/4"
"A Dangerous Method","Monolith","$364,123","11/4"
"Green Lantern","WB","$359,747","7/29"
"Hall Pass","WB","$353,058","4/8"
"Rabbit Hole","Kino S'Wiat","$334,259","4/29"
"Sucker Punch","WB","$330,188","3/25"
"Beginners","Gutek","$319,229","7/15"
"The Thing (2011)","Kino S'Wiat","$315,614","12/16"
"Rien à déclarer (Nothing to Declare)","n/a","$313,867","6/10"
"The Green Hornet","Sony","$313,226","1/28"
"Margin Call","Monolith","$311,215","12/26"
"The Change-Up","UIP","$290,098","11/25"
"Shelter (2010)","Kino S'Wiat","$281,824","9/23"
"Hanna","Sony","$279,180","6/10"
"127 Hours","Cinepix","$279,052","2/18"
"Tamara Drewe","Gutek","$277,601","1/5"
"Water for Elephants","Cinepix","$272,012","5/6"
"Fright Night (2011)","Forum Films","$262,682","9/2"
"You Got Served: Beat the World","Monolith","$258,816","6/10"
"Pina","n/a","$253,014","10/21"
"The Help","Forum Films","$246,625","11/4"
"Wymyk (Courage)","Best","$244,573","11/18"
"I Don't Know How She Does It","Kino S'Wiat","$237,365","12/2"
"Skyline","Vision","$235,029","2/4"
"The Mill and the Cross","ITI","$226,766","3/18"
"Lincz","Kino S'Wiat","$223,165","5/13"
"Hidden 3D","Kino S'Wiat","$218,033","10/28"
"Trespass (2011)","Monolith","$214,175","12/2"
"Potiche","Gutek","$201,479","4/1"
"Erratum","Best","$198,276","4/8"
"The Fighter","Monolith","$190,217","3/4"
"My Soul to Take","Monolith","$187,807","2/18"
"Justin Bieber: Never Say Never","UIP","$180,203","3/25"
"Le dernier vol","Kino S'Wiat","$179,750","7/8"
"Orla Frøsnapper","Kino S'Wiat","$176,489","12/23"
"Morning Glory","UIP","$176,105","3/25"
"Wygrany","Forum Films","$171,143","3/18"
"How Do You Know","Sony","$167,270","3/11"
"One Day","Gutek","$166,740","11/11"
"Jane Eyre (2011)","ITI","$159,043","10/14"
"The Kids Are All Right","Gutek","$150,199","2/25"
"Soul Kitchen","Kino S'Wiat","$150,112","1/5"
"The Debt","UIP","$145,569","10/21"
"London Boulevard","Forum Films","$143,703","2/4"
"Milion dolarów","n/a","$141,399","5/13"
"Moneyball","Sony","$140,505","12/9"
"What's Your Number?","Cinepix","$135,001","11/4"
"Anonymous","Sony","$133,513","11/11"
"Monsters","Best","$110,966","7/8"
"Habemus Papam (We Have a Pope)","Gutek","$109,770","10/28"
"Winx Club 3D: Magic Adventure","Kino S'Wiat","$104,620","12/2"
"Big Mommas: Like Father, Like Son","Cinepix","$96,796","4/29"
"Les émotifs anonymes","Best","$88,101","10/21"
"Largo Winch 2: The Burma Conspiracy","Kino S'Wiat","$73,765","6/17"
"Hævnen (In a Better World)","n/a","$66,927","7/8"
"Jodaeiye Nader az Simin (A Seperation)","Gutek","$66,315","10/7"
"Somewhere","n/a","$62,573","4/1"
"Machine Gun Preacher","Forum Films","$60,941","12/9"
"Les femmes du 6ème étage","Best","$54,292","12/2"
"Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2)","ITI","$54,113","10/28"
"Restless (2011)","Sony","$34,536","11/25"
"Chico and Rita","Gutek","$34,416","7/1"
"Kvinden der drømte om en mand (The Woman That Dreamed About a Man)","Gutek","$28,842","6/17"
"Incendies","n/a","$26,401","1/28"
"Mr. Nice","n/a","$23,059","5/20"
"Mala matura 1947","Monolith","$21,726","4/15"
"Mammuth","Kino S'Wiat","$20,158","1/14"
"Cudowne lato","ITI","$19,746","2/11"
"Sound of Noise","Kino S'Wiat","$17,924","4/15"
"En ganske snill mann (A Somewhat Gentle Man)","n/a","$15,833","1/28"
"Agnosia","ITI","$15,002","8/26"
"Inside Job","Sony","$14,647","3/11"
"Trolljegeren (The Troll Hunter)","n/a","$13,379","12/23"
"Another Earth","Cinepix","$10,387","11/18"
"Sólo quiero caminar","n/a","$8,919","1/14"
"Die Friseuse","n/a","$8,412","8/5"
"Rompecabezas (The Puzzle)","Gutek","$8,404","5/6"
"Looking for Eric","n/a","$8,393","1/14"
"Flamenco, Flamenco","n/a","$7,487","8/12"
"Angèle et Tony","n/a","$6,633","6/17"
"Swinki (Piggies)","n/a","$6,596","5/20"
"Hadewijch","n/a","$6,456","1/7"
"Maraton tanca","Kino S'Wiat","$6,225","6/17"
"Mamas & Papas","n/a","$5,512","5/20"
"En familie (A Family)","n/a","$5,311","2/4"
"Monte Carlo","Cinepix","$3,835","9/9"
"Restrepo","n/a","$2,635","2/18"
