" Movie Title","Distributor","Gross","Release"
"The Smurfs","Sony","$1,372,209","8/18"
"Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$783,632","5/19"
"Harry Potter and the Deathly Hallows (Part Two)","WB","$616,381","7/14"
"The Hangover Part II","WB","$594,225","5/26"
"Kung Fu Panda 2","UIP","$583,684","6/9"
"Johnny English Reborn","UIP","$579,329","9/15"
"Cars 2","Disney","$520,850","6/23"
"Fast Five","UIP","$516,582","4/28"
"Rio","Fox","$475,900","4/14"
"Tangled","Disney","$450,847","1/27"
"The Twilight Saga: Breaking Dawn Part 1","n/a","$334,922","11/17"
"Just Go With It","Sony","$321,288","2/10"
"Alvin and the Chipmunks: Chipwrecked","Fox","$304,804","12/22"
"The King's Speech","n/a","$288,335","2/3"
"Listy do M.","n/a","$238,468","12/15"
"Tower Heist","UIP","$229,124","11/3"
"Winx Club 3D: Magic Adventure","n/a","$225,838","10/20"
"Mission: Impossible - Ghost Protocol","UIP","$218,905","12/15"
"The Tourist","Sony","$215,661","1/6"
"Transformers 3","UIP","$210,099","6/30"
"Horrible Bosses","WB","$209,017","7/28"
"Rango","UIP","$208,974","3/3"
"No Strings Attached","UIP","$200,067","3/31"
"New Year's Eve","WB","$191,457","12/8"
"Arthur Christmas","Sony","$187,892","12/8"
"Sammy's Adventures: The Secret Passage","n/a","$186,310","1/6"
"Hop","UIP","$179,689","4/7"
"Sherlock Holmes: A Game of Shadows","WB","$178,225","12/22"
"The Change-Up","UIP","$173,565","8/11"
"Black Swan","Fox","$164,404","1/27"
"Bridesmaids","UIP","$150,267","5/12"
"Friends with Benefits","Sony","$150,052","9/22"
"Immortals","UIP","$149,569","11/10"
"Hall Pass","WB","$143,870","4/7"
"Mr. Popper's Penguins","Fox","$143,442","7/7"
"The Three Musketeers (2011)","n/a","$139,771","10/20"
"Limitless","n/a","$133,701","3/24"
"Big Mommas: Like Father, Like Son","Fox","$132,519","2/17"
"Final Destination 5","WB","$128,459","9/1"
"Thor","UIP","$122,992","4/28"
"Bad Teacher","Sony","$122,282","8/25"
"Gulliver's Travels","Fox","$120,261","2/3"
"Honey 2","UIP","$119,020","7/7"
"Crazy, Stupid, Love.","WB","$118,768","9/8"
"In Time","Fox","$102,428","11/3"
"The Dilemma","UIP","$101,109","1/27"
"Unknown","WB","$97,828","2/24"
"Paranormal Activity 3","UIP","$91,156","10/20"
"Rise of the Planet of the Apes","Fox","$89,706","8/4"
"The Rite","WB","$86,856","3/17"
"Winnie the Pooh","Disney","$79,576","9/22"
"Footloose (2011)","UIP","$74,106","10/27"
"What's Your Number?","Fox","$72,974","10/6"
"Happy Feet Two","WB","$72,957","11/24"
"Killer Elite","n/a","$72,193","10/13"
"Paul","UIP","$68,933","3/17"
"Captain America: The First Avenger","UIP","$68,827","7/28"
"X-Men: First Class","Fox","$68,272","6/2"
"True Grit","UIP","$67,411","2/17"
"Contagion","WB","$67,115","10/20"
"The Green Hornet","Sony","$66,771","1/20"
"Your Highness","UIP","$65,434","4/21"
"Drive Angry","WB","$65,346","3/3"
"Super 8","UIP","$61,836","8/4"
"Midnight in Paris","n/a","$60,163","11/24"
"I Don't Know How She Does It","n/a","$56,598","11/24"
"Zookeeper","Sony","$56,318","9/8"
"Justin Bieber: Never Say Never","UIP","$54,616","3/17"
"Cowboys & Aliens","UIP","$54,184","8/18"
"The Girl with the Dragon Tattoo (2011)","Sony","$53,674","12/29"
"Priest","Sony","$53,558","5/6"
"Burlesque","Sony","$50,672","2/3"
"Real Steel","Disney","$49,069","10/27"
"The Adjustment Bureau","UIP","$48,930","3/10"
"Shark Night 3D","n/a","$48,166","9/29"
"Morning Glory","UIP","$47,728","2/24"
"Season of the Witch","n/a","$47,019","1/13"
"Something Borrowed","n/a","$44,544","6/30"
"Hanna","Sony","$40,354","6/23"
"Biutiful","n/a","$39,191","2/10"
"Red Riding Hood","WB","$39,148","5/5"
"Battle: Los Angeles","Sony","$38,358","4/21"
"How Do You Know","Sony","$36,409","3/17"
"Green Lantern","WB","$34,855","8/11"
"Parada (Parade)","n/a","$34,618","12/29"
"The Roommate","Sony","$31,275","4/14"
"Jane Eyre (2011)","n/a","$30,041","8/25"
"I Am Number Four","Disney","$29,162","4/7"
"One Day","n/a","$29,061","9/22"
"Moneyball","Sony","$28,086","12/1"
"The Skin I Live In","n/a","$25,864","11/17"
"The Help","Disney","$22,300","12/8"
"Dream House","n/a","$18,173","10/13"
"The Adventures of Tintin","Sony","$17,887","11/3"
"The Guard","n/a","$17,331","11/17"
"The Thing (2011)","UIP","$17,144","10/27"
"Sucker Punch","WB","$14,986","3/24"
"Faster","Sony","$14,842","3/31"
"Tomorrow, When the War Began","n/a","$14,072","2/10"
"The Lincoln Lawyer","n/a","$13,851","5/12"
