" Movie Title"," Distributor"," Gross"," Release"
"Un Novio para mi mujer","Disney","$5,655,910","8/14"
"The Dark Knight","WB","$5,480,477","7/17"
"Madagascar: Escape 2 Africa","PPI","$5,066,136","12/4"
"Kung Fu Panda","UIP","$5,038,274","7/3"
"Wall-E","Disney","$4,664,019","7/10"
"The Chronicles of Narnia: Prince Caspian","Disney","$3,702,166","6/12"
"Indiana Jones and the Kingdom of the Crystal Skull","UIP","$3,005,908","5/22"
"The Mummy: Tomb of the Dragon Emperor","UIP","$2,893,362","7/31"
"Enchanted","Disney","$2,862,455","1/3"
"Hancock","Sony","$2,324,172","7/3"
"10,000 B.C.","WB","$2,262,479","3/6"
"Get Smart","WB","$2,252,024","6/26"
"Death at a Funeral","CGI","$2,153,078","3/6"
"Speed Racer","WB","$2,044,203","5/8"
"The Bucket List","WB","$1,982,902","2/7"
"High School Musical: El Desafio","Disney","$1,766,913","7/17"
"National Treasure: Book of Secrets","Disney","$1,701,941","1/17"
"Sex and the City","Distribution","$1,694,714","6/12"
"Mamma Mia!","UIP","$1,628,880","8/21"
"Beverly Hills Chihuahua","Disney","$1,559,499","10/9"
"Iron Man","UIP","$1,538,696","4/30"
"The Game Plan","Disney","$1,519,256","2/14"
"Tropic Thunder","UIP","$1,349,571","9/4"
"The Happening","Fox","$1,341,159","6/19"
"High School Musical 3: Senior Year","Disney","$1,314,788","11/27"
"Journey to the Center of the Earth","Distribution","$1,311,200","7/17"
"Quantum of Solace","Sony","$1,280,370","11/6"
"Dr. Seuss' Horton Hears a Who!","Fox","$1,218,623","3/13"
"Saw V","Disney","$1,076,755","10/30"
"El Nido vacío","Distribution","$1,008,755","4/24"
"No Country for Old Men","Disney","$959,421","3/6"
"The Incredible Hulk","UIP","$935,727","6/19"
"Body of Lies","WB","$930,022","11/27"
"Burn After Reading","UIP","$882,934","10/23"
"Nights in Rodanthe","WB","$879,399","10/2"
"100% lucha, la película","Primer","$874,285","7/10"
"Charlie Wilson's War","UIP","$872,501","1/24"
"Los Superagentes, nueva generación","Sono","$864,512","7/17"
"Alvin and the Chipmunks","Fox","$813,109","1/3"
"American Gangster","UIP","$793,526","1/3"
"Tinker Bell","Disney","$788,678","9/11"
"What Happens in Vegas","Fox","$772,918","5/15"
"Brigada explosiva: Misión pirata","Sono","$763,987","2/1"
"El Orfanato (The Orphanage)","CDI","$752,899","3/13"
"21","Sony","$737,889","4/17"
"You Don't Mess with the Zohan","Sony","$723,308","9/18"
"Alien vs. Predator - Requiem","Fox","$708,036","1/10"
"The X-Files: I Want to Believe","Fox","$706,287","8/14"
"The Argentine (Che: Part One)","Alfa","$669,305","11/13"
"Mirrors","Fox","$658,672","10/2"
"The Spiderwick Chronicles","UIP","$652,330","3/20"
"Sweeney Todd: The Demon Barber of Fleet Street","WB","$651,305","2/14"
"Jumper","Fox","$641,845","4/3"
"The Bank Job","Alfa","$625,583","10/16"
"Love in the Time of Cholera","Fox","$603,059","1/17"
"Before the Devil Knows You're Dead","Distribution","$595,095","7/10"
"The Water Horse: Legend of the Deep","Sony","$590,991","2/7"
"The Oxford Murders","Pachamama","$589,788","5/8"
"Cloverfield","UIP","$587,224","2/7"
"Cassandra's Dream","Alfa","$583,973","6/5"
"Wanted","UIP","$583,615","8/28"
"Righteous Kill","CDI","$580,788","11/20"
"Taken","Fox","$572,787","9/18"
"Motivos para no enamorarse","Distribution","$542,931","9/4"
"An American Haunting","Distribution","$529,788","1/31"
"There Will Be Blood","Disney","$520,135","2/21"
"Atonement","UIP","$513,881","2/7"
"Shutter","Fox","$489,944","4/17"
"Leonera (Lion's Den)","Disney","$486,380","5/29"
"Juno","Alfa","$474,042","2/14"
"P.S. I Love You","Alfa","$463,222","2/28"
"Eastern Promises","Distribution","$432,196","2/14"
"The Mist","Distribution","$428,010","6/5"
"Four Christmases","Distribution","$421,009","12/18"
"Die Fälscher (The Counterfeiters)","Alfa","$398,205","5/15"
"88 Minutes","Distribution","$396,117","5/29"
"Vantage Point","Sony","$387,184","2/28"
"Quarantine","Sony","$376,330","12/4"
"2 Days in Paris","Impacto","$373,612","3/27"
"The Strangers","Distribution","$368,904","9/11"
"Made of Honor","Sony","$350,258","6/5"
"Valentina la pelicula","Pachamama","$340,782","7/10"
"The Other Boleyn Girl","Distribution","$339,213","8/7"
"Appaloosa","Distribution","$339,178","10/9"
"In the Valley of Elah","Alfa","$337,252","4/3"
"Superhero Movie","Pachamama","$334,873","9/11"
"Rambo","CDI","$324,433","2/21"
"The Hunting Party","Distribution","$317,644","3/20"
"I Could Never Be Your Woman","CDI","$302,572","1/3"
"Hellboy II: The Golden Army","UIP","$299,372","10/9"
"George A. Romero's Diary of the Dead","Pachamama","$296,292","3/20"
"La Fille coupée en deux (A Girl Cut in Two)","Alfa","$286,698","7/24"
"27 Dresses","Fox","$284,243","2/7"
"Meet Dave","Fox","$281,026","8/7"
"3:10 to Yuma (2007)","Distribution","$276,073","2/28"
"Awake","Distribution","$274,878","5/15"
"In Bruges","Distribution","$273,533","10/2"
"The Duchess","UIP","$263,387","12/11"
"Flawless (2007)","Distribution","$256,910","11/6"
"1408","UIP","$236,737","1/24"
"Star Wars: The Clone Wars","WB","$236,497","8/14"
"Sukkar banat (Caramel)","Alfa","$232,704","3/27"
"The Eye","UIP","$229,755","2/28"
"My Blueberry Nights","Distribution","$226,167","6/26"
"[Rec]","CDI","$225,119","9/11"
"Mio fratello è figlio unico (My Brother Is an Only Child)","Alfa","$222,886","9/18"
"Dialogue avec mon jardinier","Alfa","$221,688","4/24"
"Street Kings","Fox","$221,403","4/24"
"Dan in Real Life","Distribution","$213,204","9/25"
"Tim Burton's The Nightmare Before Christmas in 3-D (2008 re-issue)","Disney","$212,002","10/30"
"Un secret (A Secret)","Alfa","$207,016","6/19"
"La Leyenda","UIP","$206,591","11/20"
"Babylon A.D.","Fox","$204,165","9/4"
"Untraceable","Sony","$203,169","4/24"
"Evening","Impacto","$193,691","4/10"
"Blindness","Fox","$190,174","10/30"
"Eagle Eye","UIP","$189,322","9/25"
"Hitman","Fox","$188,585","1/24"
"Death Sentence","Distribution","$186,418","12/4"
"Away from Her","Distribution","$183,918","2/21"
"La Sconosciuta (The Unknown Woman)","Impacto","$182,369","5/22"
"Francesca","IFA","$181,839","7/17"
"Elegy","Distribution","$175,398","11/20"
"The Tracker","IFA","$168,175","12/25"
"Sleuth (2007)","Sony","$166,205","1/10"
"Nim's Island","UIP","$166,142","8/7"
"Lluvia","Disney","$164,286","3/20"
"Vier Minuten (Four Minutes)","Alfa","$159,960","8/28"
"Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour","Disney","$157,244","9/4"
"Max Payne","Fox","$156,663","11/20"
"Black Sheep (2007)","Pachamama","$148,517","8/21"
"My Mom's New Boyfriend (a.k.a. Homeland Security)","SP Filmes","$147,254","11/13"
"Cordero de Dios (a.k.a. Agnus Dei)","Alfa","$144,627","5/8"
"U2 3D","IMAX","$140,453","3/27"
"Rancho aparte","DC Film","$138,524","3/27"
"Bikur Ha-Tizmoret (The Band's Visit)","Alfa","$136,627","7/10"
"Manuale d'amore","Notro","$136,530","9/25"
"Aniceto","Primer","$134,481","6/12"
"Le Prix à payer","Impacto","$131,936","7/31"
"Fool's Gold","WB","$131,484","2/28"
"The Women (2008)","CDI","$130,599","10/30"
"La Mujer sin cabeza","Distribution","$129,638","8/21"
