" Movie Title"," Gross"
"Toy Story 3","$16,026,307"
"Shrek Forever After","$13,808,538"
"Avatar","$13,468,534"
"Alice in Wonderland (2010)","$8,193,223"
"Inception","$7,439,087"
"Harry Potter and the Deathly Hallows (Part One)","$5,864,306"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$4,486,616"
"The Twilight Saga: Eclipse","$4,373,158"
"Clash of the Titans (2010)","$3,978,951"
"Igualita a mi","$3,539,668"
"The Sorcerer's Apprentice","$3,129,367"
"Prince of Persia: The Sands of Time","$3,101,060"
"Robin Hood","$2,992,530"
"Despicable Me","$2,878,027"
"Megamind","$2,864,778"
"The Last Airbender","$2,760,838"
"Sherlock Holmes","$2,701,752"
"Iron Man 2","$2,566,778"
"Carancho","$2,525,489"
"Paranormal Activity 2","$2,481,483"
"How to Train Your Dragon","$2,127,376"
"Gaturro, la pelicula","$2,097,910"
"Tron Legacy","$1,948,774"
"The Princess and the Frog","$1,922,032"
"Dos hermanos","$1,810,863"
"Shutter Island","$1,578,795"
"Old Dogs","$1,506,322"
"Brothers","$1,493,496"
"Saw 3D","$1,467,534"
"Cats & Dogs: Revenge of Kitty Galore","$1,415,974"
"Resident Evil: Afterlife","$1,392,142"
"Eat Pray Love","$1,367,390"
"It's Complicated","$1,311,574"
"The Expendables","$1,290,333"
"Sex and the City 2","$1,188,295"
"A Nightmare on Elm Street (2010)","$1,163,151"
"Edge of Darkness","$1,141,602"
"The Last Exorcism","$1,140,230"
"The Wolfman","$1,121,565"
"Alvin and the Chipmunks: The Squeakquel","$1,090,189"
"Legend of the Guardians: The Owls of Ga'Hoole","$1,034,469"
"Knight & Day","$1,000,206"
"Invictus","$981,517"
"Due Date","$938,241"
"The Karate Kid","$917,211"
"Valentine's Day","$885,179"
"Garfield's Pet Force","$877,854"
"The Hurt Locker","$791,443"
"The Ghost Writer","$789,829"
"Devil","$730,523"
"Percy Jackson & The Olympians: The Lightning Thief","$724,087"
"Up in the Air","$722,249"
"Red","$688,749"
"The Town","$677,594"
"Tinker Bell and the Great Fairy Rescue","$654,232"
"Life as We Know It","$648,157"
"Buried","$621,758"
"The Social Network","$621,292"
"Toy Story in 3D","$620,584"
"The Book of Eli","$591,241"
"The Switch","$570,139"
"Skyline","$565,237"
"Grown Ups","$564,994"
"Salt","$562,778"
"Predators","$553,936"
"Sin Retorno","$537,254"
"Wall Street: Money Never Sleeps","$533,972"
"El hombre de al lado (The Man Next Door)","$517,540"
"Tooth Fairy","$482,136"
"Pájaros volando","$450,678"
"Avatar: Special Edition","$423,323"
"Toy Story 2 (3D)","$418,777"
"Letters to Juliet","$398,187"
"Daybreakers","$388,845"
"The Kids Are All Right","$388,831"
"Date Night","$369,744"
"I Love You, Phillip Morris","$345,688"
"The Bounty Hunter","$344,433"
"Vincere","$343,189"
"The Road","$327,895"
"The A-Team","$325,161"
"Going the Distance","$315,755"
"Hachiko: A Dog's Story","$312,385"
"The Blind Side","$308,898"
"Remember Me","$305,441"
"Legion (2010)","$303,264"
"Precious: Based on the Novel "Push" by Sapphire","$303,251"
"The American","$298,734"
"The Back-Up Plan","$291,820"
"Did You Hear About the Morgans?","$283,813"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","$278,936"
"Case 39","$273,176"
"Nine","$268,101"
"El baile de la Victoria (The Dancer and the Thief)","$261,734"
"Killers","$257,923"
"The Imaginarium of Doctor Parnassus","$242,463"
"Charlie St. Cloud","$234,966"
"Solitary Man","$227,969"
"Possession (2009)","$224,047"
"The Lovely Bones","$211,753"
"Agora (Mists of Time)","$202,379"
"Marmaduke","$201,229"
"Plumíferos - Aventuras voladoras","$200,874"
"The Men Who Stare at Goats","$195,188"
"Everybody's Fine","$190,231"
"Machete","$187,597"
"An Education","$186,751"
"The Collector","$184,530"
"Jackass 3-D","$184,454"
"Carriers","$184,432"
"Paco","$183,358"
"The White Ribbon","$180,975"
"Law Abiding Citizen","$179,980"
"Unthinkable","$179,084"
