" Movie Title"," Distributor"," Gross"," Release"
"Harry Potter and the Order of the Phoenix","WB","$29,409,933","7/11"
"Pirates of the Caribbean: At World's End","BVI","$29,085,288","5/24"
"Shrek the Third","PPI","$28,594,698","6/7"
"The Simpsons Movie","Fox","$26,654,369","7/26"
"Transformers","PPI","$23,929,895","6/28"
"Spider-Man 3","Sony","$19,667,403","5/3"
"The Bourne Ultimatum","UPI","$18,438,741","8/30"
"Death at a Funeral","Icon","$14,683,516","10/11"
"Hairspray (2007)","Roadshow","$14,407,375","9/13"
"Wild Hogs","BVI","$14,062,601","3/8"
"Mr. Bean's Holiday","PPI","$13,956,575","3/29"
"The Golden Compass","Roadshow","$13,836,055","12/26"
"Bee Movie","PPI","$13,285,761","12/6"
"Ratatouille","BVI","$13,240,587","9/6"
"Knocked Up","UPI","$12,512,375","7/5"
"300","WB","$12,304,031","4/5"
"National Treasure: Book of Secrets","Disney","$11,790,412","12/20"
"Enchanted","Disney","$11,769,945","12/26"
"The Pursuit of Happyness","Sony","$10,808,433","1/11"
"Ocean's Thirteen","Roadshow","$10,415,093","6/14"
"Live Free or Die Hard","Fox","$9,516,885","8/9"
"Atonement","UPI","$9,447,621","12/26"
"Rush Hour 3","Roadshow","$9,104,791","9/27"
"Fantastic Four: Rise of the Silver
Surfer","Fox","$8,215,692","6/21"
"Music and Lyrics","WB","$8,138,181","2/14"
"Deja Vu","BVI","$7,033,302","1/18"
"Meet the Robinsons","BVI","$6,967,594","3/29"
"Blood Diamond","WB","$6,841,811","1/4"
"Beowulf","WB","$6,836,212","11/29"
"Evan Almighty","UPI","$6,769,191","9/20"
"Blades of Glory","PPI","$6,725,817","6/21"
"Miss Potter","Icon","$6,163,834","1/25"
"Superbad","Sony","$5,995,834","9/20"
"I Now Pronounce You Chuck and Larry","UPI","$5,989,271","8/16"
"The Heartbreak Kid","PPI","$5,981,458","11/22"
"TMNT","Roadshow","$5,645,321","3/22"
"P.S. I Love You","Hoyts","$5,628,475","12/26"
"No Country for Old Men","PPI","$5,626,687","12/26"
"Ghost Rider","Sony","$5,553,808","2/15"
"Mr. Magorium's Wonder Emporium","Roadshow","$5,252,504","12/13"
"Bridge to Terabithia","BVI","$5,198,787","6/7"
"Epic Movie","Fox","$5,132,970","1/25"
"Alien vs. Predator - Requiem","Fox","$5,097,612","12/26"
"Surf's Up","Sony","$5,007,798","9/13"
"Notes on a Scandal","Fox","$4,930,803","2/15"
"No Reservations","Roadshow","$4,903,952","8/23"
"Hot Fuzz","PPI","$4,855,773","3/15"
"Shooter","PPI","$4,494,310","4/19"
"Elizabeth: The Golden Age","UPI","$4,413,435","11/15"
"Saw IV","Hoyts","$4,188,778","10/25"
"Norbit","PPI","$4,116,653","2/22"
"Stardust","PPI","$4,093,134","9/20"
"The Game Plan","Disney","$4,057,788","11/1"
"Disturbia","PPI","$3,953,867","4/12"
"Rocky Balboa","Fox","$3,866,046","2/22"
"Dreamgirls","PPI","$3,796,966","1/18"
"Zodiac","WB","$3,745,009","5/17"
"Hitman","Fox","$3,741,684","12/6"
"Amazing Grace","Rialto","$3,739,443","7/26"
"Fred Claus","WB","$3,594,743","11/15"
"The Kingdom","UPI","$3,488,768","10/4"
"Underdog","BVI","$3,339,643","9/20"
"Stomp the Yard","Sony","$3,263,915","4/12"
"Michael Clayton","Roadshow","$3,260,754","10/18"
"Because I Said So","Magna Pac","$3,204,284","5/3"
"Becoming Jane","Dendy","$2,919,312","3/29"
"1408","Roadshow","$2,747,361","12/6"
"The Good Shepherd","PPI","$2,746,919","2/15"
"Perfect Stranger","Sony","$2,728,780","4/19"
"License to Wed","Roadshow","$2,720,584","8/2"
"Resident Evil: Extinction","Sony","$2,692,941","10/11"
"Good Luck Chuck","Sony","$2,676,860","10/25"
"Apocalypto","Icon","$2,665,560","1/11"
"Georgia Rule","Hoyts","$2,645,461","5/10"
"Fracture","Roadshow","$2,549,415","8/2"
"La Môme (La Vie en Rose)","Icon","$2,451,502","7/12"
"Das Leben der Anderen (The Lives of Others)","Hopscotch","$2,402,435","3/29"
"Lions for Lambs","Fox","$2,238,686","11/8"
"The Illusionist","Roadshow","$2,230,452","3/1"
"Nancy Drew","WB","$2,160,930","6/21"
"Dinosaurs: Giants of Pantagonia","IMAX","$2,085,442","6/7"
"Romulus, My Father","Dendy","$2,084,698","5/31"
"28 Weeks Later","Fox","$2,068,055","5/10"
