" Movie Title"," Gross"
"The Dark Knight","$39,880,001"
"Mamma Mia!","$29,287,446"
"Indiana Jones and the Kingdom of the Crystal Skull","$27,981,873"
"Australia","$26,521,500"
"Sex and the City","$25,778,763"
"Kung Fu Panda","$24,764,811"
"I Am Legend","$21,160,195"
"Quantum of Solace","$20,645,336"
"Hancock","$19,636,856"
"Iron Man","$18,880,106"
"Alvin and the Chipmunks","$15,653,196"
"Twilight","$15,484,821"
"Madagascar: Escape 2 Africa","$15,093,421"
"Slumdog Millionaire","$14,539,355"
"Wall-E","$14,165,390"
"Get Smart","$14,112,300"
"27 Dresses","$13,768,704"
"The Chronicles of Narnia: Prince Caspian","$13,181,570"
"The Curious Case of Benjamin Button","$11,450,474"
"Dr. Seuss' Horton Hears a Who!","$10,917,574"
"You Don't Mess with the Zohan","$10,794,890"
"Bedtime Stories","$10,627,387"
"Juno","$10,491,679"
"American Gangster","$10,430,023"
"What Happens in Vegas","$9,625,030"
"Tropic Thunder","$8,558,332"
"Step Up 2 the Streets","$8,332,312"
"Jumper","$8,211,479"
"Step Brothers","$7,810,934"
"The Mummy: Tomb of the Dragon Emperor","$7,727,685"
"High School Musical 3: Senior Year","$7,711,751"
"The Bucket List","$7,385,515"
"The Spiderwick Chronicles","$7,351,266"
"Wanted","$7,125,610"
"Journey to the Center of the Earth","$6,592,731"
"Burn After Reading","$6,578,910"
"Forgetting Sarah Marshall","$6,365,774"
"Taken","$6,284,822"
"10,000 B.C.","$6,276,216"
"Nim's Island","$5,747,000"
"The Day the Earth Stood Still (2008)","$5,634,071"
"Cloverfield","$5,216,494"
"Eagle Eye","$5,204,481"
"Sweeney Todd: The Demon Barber of Fleet Street","$5,132,480"
"Made of Honor","$5,081,947"
"The Water Horse: Legend of the Deep","$5,016,717"
"Fool's Gold","$4,945,729"
"Four Christmases","$4,938,100"
"Body of Lies","$4,924,310"
"21","$4,663,780"
"Beverly Hills Chihuahua","$4,608,097"
"The Incredible Hulk","$4,502,535"
"The Bank Job","$4,282,460"
"Vantage Point","$4,281,938"
"Definitely, Maybe","$4,168,132"
"Hellboy II: The Golden Army","$3,885,924"
"Drillbit Taylor","$3,845,285"
"The Other Boleyn Girl","$3,807,473"
"Street Kings","$3,773,200"
"Semi-Pro","$3,771,005"
"Pineapple Express","$3,679,640"
"The Duchess","$3,631,592"
"The Painted Veil","$3,453,372"
"Wild Child","$3,268,424"
"Superhero Movie","$3,220,326"
"Run Fat Boy Run","$3,196,789"
"Nights in Rodanthe","$3,185,781"
"Never Back Down","$3,055,171"
"The Happening","$3,035,256"
"Charlie Wilson's War","$3,034,967"
"Meet the Spartans","$2,742,327"
"The Kite Runner","$2,713,087"
"Rambo","$2,654,259"
"Star Wars: The Clone Wars","$2,637,100"
"Prom Night (2008)","$2,566,794"
"In Bruges","$2,518,493"
"St. Trinian's","$2,508,880"
"Meet Dave","$2,491,107"
"The Forbidden Kingdom","$2,463,799"
"There Will Be Blood","$2,400,045"
"3:10 to Yuma (2007)","$2,371,873"
"RockNRolla","$2,358,271"
"Saw V","$2,340,224"
"Speed Racer","$2,201,300"
"Baby Mama","$2,181,380"
"Max Payne","$2,118,438"
"The Love Guru","$2,118,102"
"The Black Balloon","$2,105,473"
"Vicky Cristina Barcelona","$2,086,931"
"Mongol","$2,051,044"
"The Women (2008)","$2,045,063"
"The House Bunny","$2,037,684"
"Death Race","$2,000,220"
"How to Lose Friends and Alienate People","$1,963,356"
"The X-Files: I Want to Believe","$1,939,066"
"The Strangers","$1,813,357"
"Dan in Real Life","$1,703,565"
"Il y a longtemps que je t'aime (I've Loved You So Long)","$1,558,192"
"Before the Devil Knows You're Dead","$1,539,246"
"Make It Happen","$1,526,207"
"The Jane Austen Book Club","$1,441,914"
"Then She Found Me","$1,438,126"
"Sex Drive","$1,428,008"
"Deception (2008)","$1,416,406"
"The Eye","$1,400,056"
"Lars and the Real Girl","$1,398,865"
"Space Chimps","$1,371,433"
"Angus, Thongs and Perfect Snogging","$1,362,201"
"Frost/Nixon","$1,337,135"
"We Own the Night","$1,311,820"
"Gone Baby Gone","$1,310,611"
"Harold and Kumar Escape from Guantanamo Bay","$1,302,270"
"Die Fälscher (The Counterfeiters)","$1,296,678"
"Shutter","$1,263,627"
"My Best Friend's Girl","$1,230,088"
"Wild Ocean 3D","$1,224,555"
"Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour","$1,204,893"
"Babylon A.D.","$1,176,067"
"The Children of Huang Shi","$1,112,592"
"Miss Pettigrew Lives for a Day","$1,089,700"
