" Movie Title"," Distributor"," Gross"," Release"
"Avatar","Fox","$105,779,507","12/17"
"The Twilight Saga: New Moon","Hoyts","$35,164,930","11/19"
"Harry Potter and the Half Blood Prince","Warner Bros.","$34,954,004","7/15"
"Transformers: Revenge of the Fallen","PPI","$33,554,033","6/24"
"Up","BVI","$25,296,200","9/3"
"Ice Age: Dawn of the Dinosaurs","Fox","$24,725,499","7/2"
"Sherlock Holmes","Roadshow","$22,777,578","12/24"
"Alvin and the Chipmunks: The
Squeakquel","Fox","$19,791,144","12/24"
"2012","Sony","$18,123,801","11/12"
"The Hangover","Warner Bros.","$17,934,378","6/11"
"Monsters Vs. Aliens","PPI","$16,257,222","4/2"
"X-Men Origins: Wolverine","Fox","$14,924,362","4/29"
"Angels & Demons","Sony","$14,065,391","5/14"
"Night at the Museum: Battle of the
Smithsonian","Fox","$14,037,398","5/21"
"Mao's Last Dancer","Roadshow","$14,008,032","10/1"
"The Proposal","Disney","$13,971,668","6/18"
"Fast and Furious","UPI","$13,665,948","4/9"
"Star Trek","Paramount","$12,650,526","5/7"
"Inglourious Basterds","UPI","$12,328,181","8/20"
"Terminator Salvation: The Future Begins","Sony","$11,960,230","6/4"
"Brüno","UPI","$11,651,106","7/9"
"Gran Torino","Roadshow","$11,524,910","1/22"
"The Ugly Truth","Sony","$10,529,622","8/6"
"He's Just Not That Into You","Roadshow","$10,401,965","2/12"
"Couples Retreat","UPI","$10,165,633","10/8"
"17 Again","Roadshow","$10,079,700","4/9"
"G-Force","Disney","$9,781,360","9/17"
"Yes Man","Roadshow","$8,792,793","1/1"
"Michael Jackson's This Is It","Sony","$8,734,295","10/29"
"Prince of Persia: The Sands of Time","BVI","$8,734,153","7/16"
"Hannah Montana The Movie","Disney","$8,715,937","6/25"
"Old Dogs","Disney","$8,383,867","12/24"
"My Sister's Keeper","Roadshow","$8,034,157","7/30"
"Paranormal Activity","Icon","$7,818,643","12/4"
"Bride Wars","Fox","$7,733,500","1/15"
"Bolt","Disney","$7,611,037","1/1"
"Cloudy with a Chance of Meatballs","Sony","$7,487,784","11/26"
"Public Enemies","UPI","$7,484,127","7/30"
"District 9","Sony","$7,469,104","8/13"
"Marley and Me","Fox","$6,861,752","1/1"
"G.I. Joe","PPI","$6,818,543","8/6"
"Julie & Julia","Sony","$6,631,946","10/8"
"Confessions of a Shopaholic","Disney","$6,577,386","3/12"
"Watchmen","PPI","$6,152,116","3/5"
