" Movie Title","Distributor","Gross","Release"
"Harry Potter and the Deathly Hallows (Part Two)","WB","$51,328,689","7/13"
"Transformers 3","PPI","$38,820,321","6/29"
"The Hangover Part II","WB","$35,371,018","5/26"
"The Twilight Saga: Breaking Dawn Part 1","Hoyts","$29,109,682","11/16"
"Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$29,006,640","5/19"
"Bridesmaids","UPI","$28,688,657","6/16"
"Fast Five","UPI","$26,794,607","4/20"
"Tangled","Disney","$22,555,927","1/6"
"Cars 2","Disney","$20,811,602","6/23"
"Red Dog","Roadshow","$20,678,095","8/4"
"The Smurfs","Sony","$20,564,629","9/15"
"Kung Fu Panda 2","PPI","$20,219,645","6/23"
"Thor","PPI","$20,135,378","4/21"
"Rio","Fox","$17,230,382","4/7"
"Mission: Impossible - Ghost Protocol","PPI","$17,008,827","12/15"
"X-Men: First Class","Fox","$15,532,793","6/2"
"Puss in Boots","PPI","$15,114,621","12/8"
"Rise of the Planet of the Apes","Fox","$15,001,863","8/4"
"Black Swan","Fox","$14,838,638","1/20"
"Yogi Bear","WB","$14,733,481","1/20"
"The Adventures of Tintin","PPI","$13,508,072","12/26"
"Johnny English Reborn","UPI","$13,449,835","9/15"
"Mr. Popper's Penguins","Fox","$13,061,490","6/30"
"Hop","UPI","$12,361,496","4/7"
"Horrible Bosses","WB","$12,045,751","8/25"
"Crazy, Stupid, Love.","Warner Bros.","$11,930,139","9/29"
"Water for Elephants","Fox","$11,597,594","5/12"
"Real Steel","Disney","$11,299,835","10/6"
"Captain America: The First Avenger","PPI","$11,108,979","7/28"
"New Year's Eve","Roadshow","$10,915,837","12/8"
"Rango","PPI","$10,532,753","3/10"
"The Green Hornet","Sony","$9,251,745","1/20"
"Happy Feet Two","Roadshow","$9,231,291","12/26"
"The Inbetweeners Movie","Roadshow","$9,141,299","11/24"
"In Time","Fox","$9,090,780","10/27"
"Tower Heist","UPI","$9,081,412","12/26"
"Just Go With It","Sony","$9,025,086","3/31"
"Super 8","PPI","$8,991,977","6/9"
"Bad Teacher","Sony","$8,746,982","7/21"
"War Horse","Disney","$8,713,213","12/26"
"True Grit","PPI","$8,501,649","1/26"
"Limitless","Roadshow","$8,134,446","3/17"
"No Strings Attached","PPI","$7,926,017","2/10"
"The Help","Disney","$7,898,696","9/1"
"Paranormal Activity 3","PPI","$7,685,432","10/20"
"Burlesque","Sony","$7,668,641","1/13"
"Hall Pass","WB","$7,584,094","3/3"
"I Am Number Four","Disney","$7,501,851","2/24"
"Zookeeper","Sony","$7,423,297","9/8"
"Midnight in Paris","E1","$7,328,764","10/20"
"Gnomeo and Juliet","Disney","$7,287,184","2/17"
"The Adjustment Bureau","UPI","$7,228,501","3/3"
"Friends with Benefits","Sony","$7,135,327","8/18"
"Paul","UPI","$7,029,774","4/14"
"Green Lantern","WB","$7,006,138","8/11"
"We Bought a Zoo","Fox","$6,921,679","12/26"
"The Iron Lady","Icon","$6,880,358","12/26"
"Diary of a Wimpy Kid: Rodrick Rules","Fox","$6,219,246","4/14"
"The Fighter","Roadshow","$6,120,836","1/20"
"Unstoppable","Fox","$5,977,260","1/6"
"Source Code","Hopscotch","$5,951,576","5/5"
"Battle: Los Angeles","Sony","$5,891,584","3/17"
"Morning Glory","PPI","$5,815,537","1/6"
"Unknown","WB","$5,802,140","2/17"
"Jack and Jill","Sony","$5,704,261","12/1"
"Arthur Christmas","Sony","$5,672,841","11/24"
"Cowboys & Aliens","PPI","$5,536,688","8/18"
"Arthur (2011)","WB","$5,292,540","4/21"
"Contagion","Warner Bros.","$5,272,109","10/20"
"Moneyball","Sony","$5,235,970","11/10"
"The Lincoln Lawyer","Roadshow","$5,173,938","3/31"
"Red Riding Hood","WB","$4,800,119","3/24"
"The Lion King (in 3D)","Disney","$4,671,620","9/22"
"Sucker Punch","WB","$4,590,740","4/7"
"The Ides of March","Roadshow","$4,588,966","11/24"
"Justin Bieber: Never Say Never","PPI","$4,577,280","4/7"
"Immortals","UPI","$4,566,553","11/24"
"Scream 4","Roadshow","$4,435,657","4/14"
"Abduction","Roadshow","$4,312,770","9/22"
"Spy Kids: All the Time in the World","Roadshow","$4,304,377","9/24"
"Something Borrowed","Hoyts","$3,949,245","5/5"
"Oranges and Sunshine","Icon","$3,860,926","6/9"
"Sanctum (3D)","UPI","$3,846,797","2/3"
"The Dilemma","UPI","$3,700,904","1/13"
"127 Hours","Fox","$3,590,355","2/10"
"The Change-Up","UPI","$3,349,929","9/8"
"Jane Eyre (2011)","UPI","$3,303,178","8/11"
"Footloose (2011)","PPI","$2,933,101","10/6"
"Monte Carlo","Fox","$2,900,185","9/22"
"The Three Musketeers (2011)","Hoyts","$2,852,428","10/20"
"I Don't Know How She Does It","Roadshow","$2,820,112","11/3"
"How Do You Know","Sony","$2,739,253","1/26"
"The Cup","Roadshow","$2,648,134","10/13"
"Final Destination 5","WB","$2,513,457","9/1"
"Hereafter","WB","$2,473,268","2/10"
"Luftslottet som sprängdes (The Girl Who Kicked the Hornet's Nest)","Rialto","$2,376,199","3/3"
"Big Mommas: Like Father, Like Son","Fox","$2,355,403","2/17"
"Drive (2011)","n/a","$2,286,388","10/27"
"Warrior","Roadshow","$2,196,472","10/27"
"Larry Crowne","n/a","$2,124,486","7/21"
"What's Your Number?","Fox","$2,114,765","10/13"
"The Guard","PPI","$2,102,580","8/25"
"Glee The 3D Concert Movie","Fox","$2,099,780","8/11"
"Conviction","Fox","$2,050,830","2/24"
"Hoodwinked 2","Roadshow","$2,004,233","5/5"
"Hanna","UPI","$1,936,363","7/28"
"The Next Three Days","Roadshow","$1,924,999","2/3"
"The Eye of the Storm","PPI","$1,847,312","9/15"
"The Mechanic","Roadshow","$1,708,754","3/24"
"One Day","UPI","$1,599,675","9/1"
"The Tree of Life","Icon","$1,589,461","6/30"
"Conan the Barbarian (2011)","Roadshow","$1,484,160","8/18"
"Les femmes du 6ème étage","Palace","$1,452,725","12/8"
"Barney's Version","Hopscotch","$1,414,307","3/24"
"Faster","Sony","$1,412,028","2/3"
"Senna","UPI","$1,334,411","8/11"
"Fright Night (2011)","Disney","$1,256,444","9/15"
"Dolphin Tale","Roadshow","$1,239,518","12/15"
"The Debt","UPI","$1,238,474","11/10"
"Mrs. Carey's Concert","n/a","$1,164,391","4/28"
"Incendies","Hopscotch","$1,149,571","4/21"
"Snowtown","Madman","$1,133,435","5/19"
"The Trip (2011)","Madman","$987,667","6/30"
"The Thing (2011)","UPI","$964,401","10/13"
"The Rite","WB","$955,358","3/10"
"The Hunter (2011)","Madman","$947,874","9/30"
"Anonymous","Sony","$886,278","11/3"
"Insidious","Icon","$867,157","5/12"
"Potiche","PPI","$832,364","4/21"
"Never Let Me Go","Fox","$821,696","3/31"
"Shark Night 3D","Icon","$797,625","11/10"
"Another Year","Icon","$793,440","1/27"
"The Way Back","Roadshow","$785,527","2/24"
"Phantom of the Opera (25th Anniversary)","UPI","$749,736","10/13"
"We Need to Talk About Kevin","E1","$702,332","11/16"
"Nannerl, la soeur de Mozart","Rialto","$699,889","7/7"
"La tête en friche","Icon","$671,403","4/7"
"Born to Be Wild (IMAX)","IMAX","$669,098","4/7"
"Your Highness","UPI","$645,113","5/12"
"Beginners","Hopscotch","$616,716","8/25"
"Priest","Sony","$615,837","8/25"
"Rabbit Hole","Roadshow","$579,666","2/17"
"TT3D: Closer to the Edge","Icon","$564,848","10/20"
"Les petits mouchoirs (Little White Lies)","Hopscotch","$557,171","6/16"
"Brighton Rock","Madman","$552,284","4/14"
"RA One","Eros","$499,643","10/26"
"Get Low","Rialto","$491,790","5/26"
"Melancholia","Madman","$454,824","12/15"
"De vrais mensonges (Full Treatment)","PPI","$441,460","7/22"
"Babies","Madman","$434,689","5/5"
