" Movie Title"," Distributor"," Gross"," Release"
"Pirates of the Caribbean: At World's End","BVI","$7,727,830","5/24"
"Ratatouille","Disney","$7,166,055","10/3"
"Harry Potter and the Order of the Phoenix","WB","$6,528,208","7/11"
"The Simpsons Movie","Centfox","$6,181,968","7/27"
"Lissi und der wilde Kaiser","Constantin","$4,813,821","10/25"
"Shrek the Third","UPI","$4,305,584","6/22"
"Mr. Bean's Holiday","UPI","$3,837,159","3/30"
"Spider-Man 3","Sony","$3,733,582","5/1"
"Keinohrhasen","WB","$3,570,719","12/21"
"Live Free or Die Hard","Centfox","$3,362,865","6/27"
"Ocean's Thirteen","WB","$2,683,733","6/7"
"300","WB","$2,458,709","4/6"
"Wild Hogs","BVI","$2,444,840","4/19"
"I Now Pronounce You Chuck and Larry","UPI","$2,441,748","9/28"
"The Bourne Ultimatum","UPI","$2,361,818","9/7"
"Transformers","UPI","$2,302,614","8/3"
"The Heartbreak Kid","UPI","$2,295,739","11/1"
"The Golden Compass","WB","$2,217,417","12/7"
"Knocked Up","UPI","$2,133,727","8/24"
"Music and Lyrics","WB","$2,072,379","3/8"
"Bee Movie","UPI","$1,941,810","12/14"
"Warum Männer nicht zuhören und Frauen schlecht einparken","Constantin","$1,853,148","12/14"
"Die Fälscher (The Counterfeiters)","Filmladen","$1,839,503","3/23"
"Enchanted","Disney","$1,829,495","12/20"
"American Gangster","UPI","$1,655,299","11/16"
"Die Wilden Kerle 4","BVI","$1,603,586","2/1"
"Rush Hour 3","WB","$1,595,844","8/15"
"Alvin and the Chipmunks","Centfox","$1,590,502","12/21"
"Saw III","Luna","$1,438,043","2/1"
"Blood Diamond","WB","$1,329,895","1/25"
"Because I Said So","WB","$1,311,757","8/2"
"Evan Almighty","UPI","$1,294,439","8/10"
"Rocky Balboa","Centfox","$1,216,514","2/9"
"Beowulf","WB","$1,156,233","11/16"
"Hannibal Rising","Constantin","$1,026,658","2/16"
"The Pursuit of Happyness","Sony","$1,020,738","1/19"
"Ghost Rider","Sony","$1,011,640","2/23"
"John Tucker Must Die","Centfox","$985,908","1/19"
"Hitman","Centfox","$970,626","12/14"
"Ensemble, c'est tout (Hunting and Gathering)","Polyfilm","$950,410","8/17"
"The Queen","Filmladen","$939,560","1/12"
"Alien vs. Predator - Requiem","Centfox","$914,445","12/26"
"No Reservations","WB","$890,312","9/14"
"Surf's Up","Sony","$884,149","9/14"
"Die Herbstzeitlosen","Filmladen","$826,525","8/24"
"Charlotte's Web","UPI","$780,275","1/19"
"Norbit","UPI","$762,745","3/9"
"Fracture","WB","$760,059","5/18"
"Resident Evil: Extinction","Constantin","$756,108","9/28"
"Elizabeth: The Golden Age","UPI","$753,485","12/21"
"Stardust","UPI","$749,708","10/19"
"Dreamgirls","UPI","$720,413","2/2"
"Fantastic Four: Rise of the Silver Surfer","Constantin","$697,698","8/14"
"Grindhouse: Death Proof","Senator","$626,679","7/19"
"Arthur et les Minimoys (Arthur and the Invisibles)","Constantin","$610,396","1/26"
"Eastern Promises","Constantin","$601,772","12/27"
"Hostel Part II","Sony","$598,736","6/15"
"The Number 23","WB","$572,352","3/22"
"The Prestige","WB","$558,347","1/4"
"Halloween (2007)","Disney","$550,059","10/25"
"The Good Shepherd","UPI","$537,125","2/16"
"Die Wilden Hühner und die Liebe","Constantin","$530,611","4/5"
"The Hills Have Eyes 2","Centfox","$530,178","3/30"
"Perfect Stranger","Sony","$520,137","4/13"
"Atonement","UPI","$514,955","11/9"
"1408","Senator","$503,269","9/14"
"License to Wed","WB","$503,091","8/30"
"The Brave One","WB","$464,815","9/28"
"Hairspray (2007)","WB","$443,611","9/6"
"Zodiac","WB","$442,222","6/1"
"Heartbreak Hotel","Filmladen","$427,786","7/27"
"The Three Investigators and the Secret of Skeleton Island","Disney","$419,718","11/8"
"Shooter","UPI","$396,672","4/20"
"2 Days in Paris","3L Film","$395,907","5/18"
"Smokin' Aces","UPI","$392,868","3/2"
"Mein Führer - Die wirklich wahrste Wahrheit über Adolf Hitler","Filmladen","$391,123","1/19"
"La Môme (La Vie en Rose)","Constantin","$385,727","2/23"
"The Kingdom","UPI","$380,504","10/12"
"Vollidiot","Senator","$378,544","4/13"
"Superbad","Sony","$368,628","10/5"
"Disturbia","UPI","$367,668","9/21"
"28 Weeks Later","Centfox","$364,905","8/31"
"Premonition","Luna","$358,125","10/12"
"El Laberinto del Fauno (Pan's Labyrinth)","Senator","$346,718","2/23"
"Neues vom Wixxer","Constantin","$344,494","3/23"
"Quand j'étais chanteur (The Singer)","Polyfilm","$334,298","2/9"
"Epic Movie","Luna","$321,613","4/6"
"Persepolis","Polyfilm","$297,335","11/30"
"Meet the Robinsons","BVI","$290,648","3/29"
"Lions for Lambs","Centfox","$284,902","11/9"
"Das Doppelte Lottchen","WB","$272,872","5/11"
"Am Limit","Filmladen","$270,493","3/16"
"Fred Claus","WB","$266,325","11/30"
"Sunshine","Centfox","$264,001","4/20"
"Paris, je t'aime","Senator","$261,178","4/6"
"Irina Palm","Einhorn","$254,338","6/22"
"Notes on a Scandal","Centfox","$243,181","2/23"
"Si jie (Lust, Caution)","Constantin","$240,807","11/1"
"Le Renard et l'enfant (The Fox and the Child)","Luna","$234,730","12/27"
"The Reaping","WB","$233,046","4/20"
"Import/Export","Filmladen","$227,432","11/9"
"Blades of Glory","UPI","$221,293","5/11"
"Auf der anderen Seite (Yasamin kiyisinda) (The Edge of Heaven)","Filmladen","$220,903","10/5"
"Hot Fuzz","UPI","$218,486","6/15"
"Rendition","WB","$217,944","11/23"
"Bridge to Terabithia","Constantin","$209,435","3/2"
"Beyaz melek","Maxximum","$206,246","11/16"
"In the Name of the King: A Dungeon Siege Tale","n/a","$199,698","11/30"
"Kabadayi","Maxximum","$198,650","12/14"
"Rennschwein Rudi Rüssel 2 - Rudi rennt wieder!","WB","$198,476","3/9"
"Free Rainer","Filmladen","$196,655","11/23"
"The Last King of Scotland","Centfox","$193,903","3/16"
"Shoppen","Polyfilm","$191,406","8/3"
"Texas Chainsaw Massacre: The Beginning","WB","$186,724","1/19"
"Little Children","WB","$182,957","4/27"
"Alpha Dog","Constantin","$179,003","3/23"
"Immer nie am Meer","Filmladen","$178,977","3/9"
"Grindhouse: Planet Terror","Senator","$178,097","10/5"
"The Assassination of Jesse James by the Coward Robert Ford","WB","$175,362","10/26"
"Tenacious D in: The Pick of Destiny","WB","$164,555","2/9"
"The Last Legion","Constantin","$157,365","8/31"
"Stranger Than Fiction","Sony","$155,632","2/9"
"Odette Toulemonde","Senator","$151,047","11/1"
"Sicko","Senator","$147,246","10/12"
"August Rush","Constantin","$146,262","12/14"
"Vier Minuten (Four Minutes)","Filmladen","$145,304","9/7"
"Hände weg von Mississippi","Filmladen","$142,768","6/1"
"Maskeli Besler: Irak","Maxximum","$140,042","1/25"
"Shoot 'Em Up","WB","$138,807","9/21"
"42plus","Filmladen","$135,216","4/13"
"Über Wasser","Poool","$134,325","2/23"
"Death at a Funeral","Constantin","$134,174","8/10"
"One Way","UPI","$131,612","1/26"
"The Hitcher (2007)","Constantin","$131,451","3/1"
"Becoming Jane","Filmladen","$125,331","11/16"
"Je vous trouve très beau","Luna","$123,150","7/6"
"Mr. Magorium's Wonder Emporium","Constantin","$119,696","12/7"
"TMNT","Constantin","$118,919","4/13"
"Meine schöne Bescherung","n/a","$116,103","11/30"
"Flags of Our Fathers","WB","$113,224","1/18"
"La Tourneuse de pages (The Page Turner)","Filmladen","$105,057","5/11"
"The Invasion","WB","$104,998","10/18"
"Ein Fliehendes Pferd","Filmladen","$99,710","9/21"
"Shortbus","Stadtkino","$96,472","1/12"
"Liebesleben","Filmladen","$95,804","12/7"
"A Prairie Home Companion","Polyfilm","$94,072","1/26"
"Dnevnoy dozor (Day Watch)","Centfox","$92,307","9/21"
"Efter brylluppet (After the Wedding)","Filmladen","$85,265","4/27"
"Je vais bien, ne t'en fais pas","Polyfilm","$83,396","4/13"
"The Last Mimzy","WB","$83,282","8/9"
"Heidi (2005, Germany)","Einhorn","$81,710","8/24"
"Pulse","Luna","$79,793","3/16"
"Water","Filmladen","$78,247","5/4"
"Curse of the Golden Flower (Man cheng jin dai huang jin jia)","Constantin","$77,591","4/27"
"The Seeker: The Dark Is Rising","Centfox","$75,951","10/12"
"Bordertown","Einhorn","$73,104","5/31"
"Schwere Jungs","Constantin","$72,788","2/23"
"The Invisible","BVI","$72,248","7/5"
"Gone Baby Gone","n/a","$67,438","11/29"
"A Mighty Heart","UPI","$66,400","9/14"
"Je crois que je l'aime","Filmladen","$66,380","9/7"
"Hallam Foe","Polyfilm","$63,515","9/28"
"Bobby","Filmladen","$63,084","3/9"
"Coeurs (Private Fears in Public Places)","Polyfilm","$62,573","5/4"
"Breach","n/a","$61,531","11/30"
"Prinzessinnenbad","Polyfilm","$61,451","11/23"
"The Good German","WB","$61,330","3/2"
"Lady Chatterley","Stadtkino","$59,403","11/1"
"Midsummer Madness","Constantin","$58,955","10/12"
"Tuya de hun shi (Tuya's Marriage)","Filmladen","$58,947","12/14"
"Death Sentence","Constantin","$57,857","9/14"
"Princesas","Polyfilm","$54,750","3/16"
"Letters from Iwo Jima","WB","$54,227","2/23"
"The Hunting Party","n/a","$52,967","12/27"
"Inland Empire","Filmladen","$50,832","6/1"
"The Fountain","Luna","$49,905","3/30"
"Adams æbler (Adam's Apples)","Filmladen","$49,513","3/2"
"Heile Welt","Poool","$49,293","3/30"
"Zwartboek (Black Book)","Einhorn","$47,541","8/15"
"Die Drei Räuber","UPI","$47,414","11/30"
"Der Kleine König Macius - Der Film","n/a","$45,920","11/2"
"The Wind That Shakes the Barley","Polyfilm","$43,753","2/2"
"Full Metal Village","Polyfilm","$43,553","9/14"
"The Contract","3L Film","$43,547","4/27"
"An American Haunting","Einhorn","$42,845","4/27"
"Tim Burton's The Nightmare Before Christmas in Disney Digital 3-D","Disney","$42,782","12/6"
"Azul oscuro, casi negro (DarkBlueAlmostBlack)","Polyfilm","$41,664","6/29"
"Black Snake Moan","Einhorn","$41,149","10/18"
"Martian Child","WB","$40,416","11/9"
"Vienna's Lost Daughters","Polyfilm","$39,401","3/23"
"Good Bye Bafana","Filmladen","$37,181","6/1"
"Just Friends","3L Film","$37,071","1/12"
"Hollywoodland","BVI","$31,732","2/15"
