" Movie Title"," Gross"
"Mamma Mia!","$7,561,763"
"Madagascar: Escape 2 Africa","$6,770,007"
"The Dark Knight","$5,108,788"
"Hancock","$4,905,118"
"Quantum of Solace","$4,745,206"
"Kung Fu Panda","$4,525,501"
"Indiana Jones and the Kingdom of the Crystal Skull","$3,763,603"
"Sex and the City","$3,512,306"
"Echte Wiener - Die Sackbauer-Saga","$3,464,221"
"I Am Legend","$3,294,859"
"You Don't Mess with the Zohan","$3,081,056"
"Astérix aux jeux olympiques","$2,735,746"
"Wall-E","$2,696,963"
"High School Musical 3: Senior Year","$2,651,366"
"What Happens in Vegas","$2,511,297"
"P.S. I Love You","$2,371,204"
"Australia","$2,220,069"
"The Mummy: Tomb of the Dragon Emperor","$2,118,587"
"National Treasure: Book of Secrets","$2,048,127"
"Wanted","$1,886,865"
"Dr. Seuss' Horton Hears a Who!","$1,878,480"
"Burn After Reading","$1,718,653"
"Rambo","$1,652,242"
"Falco - Verdammt, wir leben noch!","$1,648,560"
"Let's Make Money","$1,616,389"
"Die Welle (The Wave)","$1,571,739"
"Juno","$1,546,331"
"1 1/2 Ritter - Auf der Suche nach der hinreißenden Herzelinde","$1,524,914"
"The Chronicles of Narnia: Prince Caspian","$1,524,533"
"Saw IV","$1,508,099"
"27 Dresses","$1,443,011"
"The Bucket List","$1,394,490"
"Bedtime Stories","$1,393,031"
"Die Wilden Kerle 5","$1,382,755"
"10,000 B.C.","$1,363,338"
"Bienvenue chez les Ch'tis","$1,354,881"
"Meet the Spartans","$1,346,651"
"Forgetting Sarah Marshall","$1,286,141"
"Tropic Thunder","$1,267,686"
"The Day the Earth Stood Still (2008)","$1,141,907"
"Vicky Cristina Barcelona","$1,133,375"
"Hellboy II: The Golden Army","$1,122,604"
"Nights in Rodanthe","$1,085,464"
"Jumper","$1,040,818"
"The Game Plan","$1,027,135"
"Iron Man","$1,018,284"
"Made of Honor","$974,373"
"Fool's Gold","$909,888"
"Sweeney Todd: The Demon Barber of Fleet Street","$873,149"
"Body of Lies","$865,910"
"Step Up 2 the Streets","$839,049"
"Get Smart","$825,728"
"Eagle Eye","$798,806"
"Sommer","$798,205"
"Nordwand","$783,527"
"Four Christmases","$773,101"
"No Country for Old Men","$769,449"
"Superhero Movie","$763,084"
"The Accidental Husband","$753,778"
"In 3 Tagen bist du tot 2","$714,819"
"Der Baader-Meinhof Komplex","$673,067"
"21","$653,932"
"Freche Mädchen","$650,965"
"The Happening","$626,011"
"Babylon A.D.","$625,892"
"The Women (2008)","$577,439"
"Nim's Island","$553,638"
"Die Geschichte vom Brandner Kaspar","$519,614"
"Der Mondbär - Das grosse Kinoabenteuer","$518,239"
"Untraceable","$514,357"
"Inkheart","$514,167"
"Earth (2007)","$497,941"
"Max Payne","$483,225"
"Die Rote Zora","$458,765"
"Kirschblüten - Hanami (Cherry Blossoms)","$457,858"
"The X-Files: I Want to Believe","$456,919"
"Charlie Wilson's War","$453,853"
"Dodo (2007)","$448,778"
"The Darjeeling Limited","$440,924"
"The Spiderwick Chronicles","$425,602"
"Michael Clayton","$418,972"
"The Incredible Hulk","$414,620"
"The Other Boleyn Girl","$392,428"
"Saint-Jacques... La mecque","$379,995"
"Recep Ivedik","$374,426"
"Cloverfield","$363,202"
"Vantage Point","$356,406"
"Die Buddenbrooks","$356,248"
"Definitely, Maybe","$352,093"
"Paris (2008)","$351,119"
"Wild Child","$343,149"
"Krabat","$342,669"
"Gomorra","$334,252"
"One Missed Call","$328,632"
"The Bank Job","$327,904"
"Mirrors","$324,753"
"Be Kind, Rewind","$310,639"
"La Bohème","$306,277"
"My Blueberry Nights","$291,124"
"30 Days of Night","$290,623"
"Revanche","$282,103"
"Wedding Daze","$281,663"
"Le Scaphandre et le papillon (The Diving Bell and the Butterfly)","$270,214"
"Muro: Nalet olsun içimdeki insan sevgisine","$267,058"
"Away from Her","$258,570"
"Meet Dave","$257,277"
"There Will Be Blood","$252,595"
"Star Wars: The Clone Wars","$238,313"
"A.R.O.G","$234,784"
"Happy-Go-Lucky","$231,566"
"Elegy","$225,364"
"Dan in Real Life","$220,525"
"The Eye","$220,359"
"Into the Wild","$215,020"
"Love and Other Disasters","$214,017"
"Urmel voll in Fahrt","$208,296"
"I'm Not There","$206,614"
"U2 3D","$206,496"
"La Graine et le mulet (The Secret of the Grain)","$195,475"
"Robert Zimmermann wundert sich über die Liebe","$186,255"
"[Rec]","$184,030"
"Shine a Light","$182,966"
"Wolke Neun","$181,125"
"Before the Devil Knows You're Dead","$179,600"
"All the Boys Love Mandy Lane","$177,051"
"The Love Guru","$173,051"
"La Fille coupée en deux (A Girl Cut in Two)","$153,501"
"Sukkar banat (Caramel)","$148,604"
"Lars and the Real Girl","$145,677"
"Dialogue avec mon jardinier","$144,319"
"Maskeli besler kibris","$139,804"
"Chasseurs de dragons (Dragon Hunters)","$129,472"
"Der Rote Baron","$128,517"
"Love in the Time of Cholera","$124,075"
"Once","$122,109"
"Speed Racer","$121,165"
"Run Fat Boy Run","$120,658"
"Vratné lahve","$118,824"
"The Kite Runner","$112,599"
"You Kill Me","$112,517"
"Winx club - Il segreto del regno perduto (Winx Club: The Secret of the Lost Kingdom)","$106,281"
"The Strangers","$102,303"
"Désaccord parfait","$101,254"
"In Bruges","$99,109"
"Mon meilleur ami (My Best Friend)","$98,847"
"The Water Horse: Legend of the Deep","$89,167"
"El Orfanato (The Orphanage)","$86,275"
"Mongol","$85,518"
"Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour","$76,956"
"3:10 to Yuma (2007)","$75,984"
"Control (2007)","$74,290"
"St. Trinian's","$72,803"
"The Mist","$72,346"
"The Nanny Diaries","$68,902"
"Freigesprochen","$68,561"
"Schlimmer geht's nimmer!","$67,887"
"Sleuth (2007)","$66,000"
"Vals Im Bashir (Waltz with Bashir)","$65,741"
"In Die Welt","$63,955"
"Conversations with God","$63,758"
"Fireflies in the Garden","$63,581"
"Fly Me to the Moon","$60,409"
"Le Fils de l'épicier (The Grocer's Son)","$59,544"
"Married Life","$59,208"
"Un baiser s'il vous plaît (Shall We Kiss?)","$58,404"
"KussKuss - Dein Glück gehört mir","$57,631"
"Mr. Brooks","$57,109"
"Osmanli cumhuriyeti","$57,107"
"Yella","$57,030"
"Darum","$55,408"
"Surveillance","$55,218"
"Bikur Ha-Tizmoret (The Band's Visit)","$53,091"
"Never Back Down","$52,852"
"Herrn Kukas Empfehlungen","$52,433"
"Tag Der Teufel","$51,130"
"Actrices","$49,078"
"Non pensarci","$48,901"
"4 luni, 3 saptamâni si 2 zile (4 Months, 3 Weeks, 2 Days)","$48,845"
"Penelope","$48,698"
"99 francs","$47,161"
"Musallat","$45,769"
"Jump!","$45,633"
"Charlie Bartlett","$43,167"
"Fleisch ist mein Gemüse","$41,251"
"Il y a longtemps que je t'aime (I've Loved You So Long)","$40,840"
"Avanak kuzenler","$40,073"
"Cassandra's Dream","$36,616"
"Knut und seine Freunde","$36,514"
"Süper Ajan K9","$35,937"
"Pippi Långstrump (1969) (Re)","$34,071"
"120","$33,225"
"Il Caimano","$32,925"
"Çilgin dersane kampta","$32,727"
"Trip to Asia - Die Suche nach dem Einklang","$32,138"
