" Movie Title"," Gross"
"Pirates of the Caribbean: At World's End","$10,029,123"
"Harry Potter and the Order of the Phoenix","$9,945,009"
"Ratatouille","$9,057,277"
"Shrek the Third","$7,524,816"
"Spider-Man 3","$5,418,832"
"The Simpsons Movie","$5,240,992"
"I Am Legend","$5,130,391"
"The Golden Compass","$3,543,181"
"Night at the Museum","$3,386,405"
"Live Free or Die Hard","$3,257,723"
"Bee Movie","$3,243,554"
"Mr. Bean's Holiday","$3,211,472"
"Ocean's Thirteen","$3,043,627"
"The Bourne Ultimatum","$3,009,403"
"Transformers","$2,797,849"
"Alvin and the Chipmunks","$2,770,550"
"Enchanted","$2,659,168"
"Taxi 4","$2,498,055"
"Ben X","$2,370,990"
"Blood Diamond","$2,310,554"
"American Gangster","$2,237,349"
"300","$2,216,126"
"Vermist","$1,981,961"
"Fracture","$1,833,299"
"Firmin","$1,757,609"
"Stardust","$1,744,458"
"Rush Hour 3","$1,538,289"
"Beowulf","$1,505,872"
"Norbit","$1,491,408"
"La Môme (La Vie en Rose)","$1,444,528"
"Das Leben der Anderen (The Lives of Others)","$1,432,152"
"Fantastic Four: Rise of the Silver Surfer","$1,386,644"
"John Tucker Must Die","$1,344,533"
"Music and Lyrics","$1,338,843"
"The Heartbreak Kid","$1,205,707"
"Disturbia","$1,204,550"
"K3 en de kattenprins","$1,164,821"
"Charlotte's Web","$1,132,675"
"Saw IV","$1,125,418"
"The Pursuit of Happyness","$1,095,648"
"The Good Shepherd","$1,092,693"
"Plop en de Pinguin","$1,087,953"
"Man zkt vrouw","$1,044,138"
"Elizabeth: The Golden Age","$1,033,382"
"Next","$1,028,165"
"Meet the Robinsons","$998,417"
"Hitman","$997,088"
"Rocky Balboa","$983,643"
"Premonition","$975,081"
"Wild Hogs","$942,886"
"Ghost Rider","$938,413"
"The Brave One","$914,274"
"The Kingdom","$896,602"
"Les Deux mondes","$878,389"
"Surf's Up","$868,111"
"Evan Almighty","$863,347"
"I Now Pronounce You Chuck and Larry","$859,816"
"Hairspray (2007)","$850,192"
"The Number 23","$846,937"
"Eastern Promises","$803,895"
"Apocalypto","$803,867"
"1408","$796,442"
"Knocked Up","$793,984"
"Epic Movie","$789,322"
"Ensemble, c'est tout (Hunting and Gathering)","$780,710"
"Hannibal Rising","$745,998"
"Barnyard: The Original Party Animals","$700,461"
"Shooter","$694,422"
"Zodiac","$686,826"
"Michael Clayton","$680,327"
"Superbad","$678,273"
"Perfect Stranger","$676,577"
"Good Luck Chuck","$665,261"
"The Prestige","$661,447"
"Happily N'Ever After","$659,401"
"Un secret (A Secret)","$638,195"
