" Movie Title"," Distributor"," Gross"," Release"
"Harry Potter and the Deathly Hallows (Part One)","WB","$8,944,329","11/17"
"The Twilight Saga: Eclipse","Belga","$6,741,763","6/30"
"Alice in Wonderland (2010)","Disney","$6,245,391","3/10"
"Inception","WB","$6,150,403","7/21"
"Toy Story 3","Disney","$5,475,926","6/23"
"Tangled","Disney","$5,037,681","12/1"
"Shrek Forever After","UPI","$4,905,893","7/14"
"Frits en Freddy","n/a","$4,419,099","12/15"
"Zot van A.","Kinepolis","$4,145,696","10/20"
"Despicable Me","UPI","$3,789,377","10/27"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$3,605,847","12/8"
"Step Up 3-D","Belga","$3,574,117","8/4"
"The Last Airbender","UPI","$3,253,724","7/28"
"The Princess and the Frog","Disney","$3,235,435","2/3"
"Robin Hood","UPI","$3,207,998","5/12"
"How to Train Your Dragon","UPI","$3,165,036","3/31"
"Shutter Island","UPI","$3,000,673","2/24"
"Sherlock Holmes","WB","$2,763,022","1/6"
"Sex and the City 2","WB","$2,701,791","6/2"
"The Expendables","Benelux","$2,686,544","8/18"
"Clash of the Titans (2010)","WB","$2,673,872","4/7"
"The Tourist","Sony","$2,402,249","12/15"
"Little Fockers","UPI","$2,354,719","12/22"
"The Karate Kid","Sony","$2,349,932","7/21"
"Knight & Day","Fox","$2,289,600","7/28"
"Sammy's Adventures: The Secret Passage","Kinepolis","$2,213,589","8/4"
"Prince of Persia: The Sands of Time","Disney","$2,134,814","5/19"
"Percy Jackson & The Olympians: The Lightning Thief","Fox","$2,090,477","2/10"
"The Sorcerer's Apprentice","Disney","$2,089,916","8/11"
"Iron Man 2","UPI","$1,890,409","4/28"
"The Social Network","Sony","$1,821,072","10/27"
"Salt","Sony","$1,774,641","8/4"
"Nanny McPhee and The Big Bang","UPI","$1,641,356","4/7"
"Valentine's Day","Fox","$1,583,712","2/10"
"Bo (2010)","Kinepolis","$1,524,017","2/10"
"Les petits mouchoirs (Little White Lies)","Cineart","$1,513,983","10/20"
"Remember Me","Belga","$1,503,833","4/7"
"Des hommes et des dieux (Of Gods and Men)","Benelux","$1,495,806","9/8"
"Legend of the Guardians: The Owls of Ga'Hoole","WB","$1,440,421","10/13"
"Cats & Dogs: Revenge of Kitty Galore","WB","$1,422,561","8/4"
"Eat Pray Love","Sony","$1,390,152","10/6"
"Smoorverliefd","Kinepolis","$1,368,490","12/8"
"Paranormal Activity 2","UPI","$1,357,059","10/20"
"Megamind","UPI","$1,340,560","12/15"
"Marmaduke","Fox","$1,316,409","8/18"
