" Movie Title","Distributor","Gross","Release"
"The Dark Knight","n/a","$403,400","7/17"
"Bolt","Disney","$329,401","12/25"
"Madagascar: Escape 2 Africa","n/a","$279,580","12/4"
"Wall-E","n/a","$220,315","6/26"
"Hancock","n/a","$193,032","7/3"
"10,000 B.C.","n/a","$178,173","3/20"
"Quantum of Solace","n/a","$177,838","11/6"
"The Mummy: Tomb of the Dragon Emperor","n/a","$177,651","7/31"
"The Chronicles of Narnia: Prince Caspian","n/a","$173,613","6/12"
"The Day the Earth Stood Still (2008)","n/a","$172,666","12/11"
"Indiana Jones and the Kingdom of the Crystal Skull","n/a","$156,893","5/22"
"Iron Man","n/a","$151,386","5/1"
"Kung Fu Panda","n/a","$130,005","7/3"
"Journey to the Center of the Earth","n/a","$124,762","9/18"
"High School Musical 3: Senior Year","n/a","$123,188","11/20"
"Alvin and the Chipmunks","n/a","$115,119","1/3"
"I Am Legend","n/a","$112,798","1/10"
"Alien vs. Predator - Requiem","n/a","$91,260","1/17"
"Get Smart","n/a","$87,608","6/19"
"Día de boda","n/a","$84,713","4/17"
"What Happens in Vegas","n/a","$84,677","5/15"
"The Game Plan","n/a","$84,283","1/31"
"Dr. Seuss' Horton Hears a Who!","n/a","$80,013","3/13"
"The Happening","n/a","$79,537","6/19"
"Love in the Time of Cholera","n/a","$71,794","2/21"
"Rambo","n/a","$69,552","2/14"
"The Incredible Hulk","n/a","$67,950","6/12"
"La Promo","n/a","$66,991","10/9"
"The Water Horse: Legend of the Deep","n/a","$65,601","1/24"
"Meet Dave","n/a","$64,583","8/21"
"Speed Racer","n/a","$64,246","5/8"
"The Bucket List","n/a","$62,767","2/7"
"Quarantine","n/a","$56,840","12/18"
"La Cacería del Nazi (La Traque)","n/a","$54,773","8/14"
"Meet the Spartans","n/a","$52,668","3/6"
"Australia","n/a","$52,547","12/25"
"Black Christmas (2006)","n/a","$52,318","12/25"
"One Missed Call","n/a","$51,543","2/28"
"Mirrors","n/a","$50,888","10/30"
"Jumper","n/a","$48,220","4/3"
"El Orfanato (The Orphanage)","n/a","$46,802","10/2"
"Made of Honor","n/a","$43,640","8/6"
"An American Haunting","n/a","$43,350","3/20"
"Star Wars: The Clone Wars","n/a","$41,039","8/14"
"Sex and the City","n/a","$40,059","8/28"
"Taken","n/a","$37,816","9/18"
"Hellboy II: The Golden Army","n/a","$36,221","10/30"
"Good Luck Chuck","n/a","$35,464","1/17"
"The Hitcher (2007)","n/a","$34,808","8/28"
"The X-Files: I Want to Believe","n/a","$34,499","9/4"
"Babylon A.D.","n/a","$33,493","10/9"
"You Don't Mess with the Zohan","n/a","$33,211","9/25"
"Body of Lies","n/a","$33,195","11/27"
"Nights in Rodanthe","n/a","$32,964","10/16"
"27 Dresses","n/a","$32,931","1/31"
"Cloverfield","n/a","$32,756","4/17"
"Wanted","n/a","$32,384","9/11"
"Shutter","n/a","$31,632","5/8"
"Saint Ange","n/a","$29,644","1/3"
"Whisper","n/a","$29,005","7/10"
"The House Bunny","n/a","$28,818","12/4"
"Vantage Point","n/a","$27,982","4/24"
"Max Payne","n/a","$23,631","11/20"
"The Abandoned","n/a","$22,923","11/27"
"21","n/a","$21,547","5/29"
"There Will Be Blood","n/a","$20,940","2/21"
"The Messengers","n/a","$20,348","5/29"
"Blindness","n/a","$20,308","10/23"
"Untraceable","n/a","$19,830","4/10"
"Arráncame la vida","n/a","$19,601","11/13"
"Next","n/a","$19,561","4/24"
"Four Christmases","n/a","$19,528","12/18"
"Prom Night (2008)","n/a","$19,084","7/24"
"Sweeney Todd: The Demon Barber of Fleet Street","n/a","$18,622","2/14"
"The Seeker: The Dark Is Rising","n/a","$18,505","1/24"
"Mamma Mia!","n/a","$16,710","12/11"
"Step Brothers","n/a","$16,595","10/16"
"Frágiles (Fragile)","n/a","$16,150","10/30"
"La Misma luna (Under the Same Moon)","n/a","$15,472","8/6"
"Saw IV","n/a","$15,429","3/27"
"Mr. Woodcock","n/a","$15,349","5/1"
"Deception (2008)","Manfer","$14,745","5/15"
"Hitman","n/a","$14,708","2/28"
"Because I Said So","n/a","$13,546","9/18"
"Definitely, Maybe","n/a","$13,496","8/21"
"Fool's Gold","n/a","$13,411","4/17"
"El Cementerio De Los Elefantes","n/a","$12,492","9/25"
"Butterfly on a Wheel","n/a","$12,282","9/25"
"P.S. I Love You","n/a","$12,249","9/11"
"P2","n/a","$11,632","10/23"
"I Now Pronounce You Chuck and Larry","n/a","$11,432","2/14"
"Charlie Wilson's War","n/a","$11,211","6/5"
"The Spiderwick Chronicles","n/a","$11,089","6/19"
"Los Borgia","n/a","$11,026","3/6"
"Nim's Island","n/a","$10,969","12/18"
"The Big White","n/a","$10,856","11/13"
"The Magic Roundabout (Doogal)","n/a","$10,681","2/21"
"Eagle Eye","n/a","$10,585","11/20"
"Rendition","n/a","$10,367","1/31"
"Alpha Dog","n/a","$10,215","6/26"
