" Movie Title"," Gross"
"Rio","$895,429"
"The Smurfs","$857,424"
"Transformers 3","$821,462"
"Harry Potter and the Deathly Hallows (Part Two)","$808,770"
"Pirates of the Caribbean: On Stranger Tides (3D)","$773,723"
"Puss in Boots","$753,965"
"Tangled","$744,876"
"Kung Fu Panda 2","$715,957"
"Alvin and the Chipmunks: Chipwrecked","$406,230"
"The Twilight Saga: Breaking Dawn Part 1","$399,799"
"Cars 2","$386,767"
"Rise of the Planet of the Apes","$378,613"
"Thor","$370,749"
"Captain America: The First Avenger","$369,499"
"Final Destination 5","$359,020"
"Real Steel","$354,094"
"Zookeeper","$290,406"
"Yogi Bear","$278,721"
"Fast Five","$273,801"
"Green Lantern","$270,187"
"Paranormal Activity 3","$265,827"
"Rango","$249,035"
"Jack and Jill","$247,900"
"The Hangover Part II","$232,097"
"The Muppets","$223,892"
"X-Men: First Class","$215,163"
"The Rite","$208,967"
"The Lion King (in 3D)","$208,563"
"Happy Feet Two","$208,136"
"Arthur Christmas","$206,356"
"Battle: Los Angeles","$186,780"
"Mission: Impossible - Ghost Protocol","$184,577"
"Mr. Popper's Penguins","$182,431"
"Just Go With It","$162,258"
"Dolphin Tale","$161,361"
"The Green Hornet","$158,329"
"Conan the Barbarian (2011)","$129,626"
"Little Fockers","$128,811"
"También la lluvia (Even the Rain)","$127,798"
"Black Swan","$115,693"
"The Last Exorcism","$110,224"
"Saw 3D","$98,294"
"No Strings Attached","$92,223"
"Sammy's Adventures: The Secret Passage","$89,602"
"Hop","$88,552"
"Drive Angry","$84,496"
"The Three Musketeers (2011)","$81,529"
"11-11-11","$81,324"
"Friends with Benefits","$81,250"
"Unstoppable","$81,235"
"Dream House","$79,967"
"Red Riding Hood","$79,915"
"Gnomeo and Juliet","$77,560"
"Contagion","$76,843"
"Mars Needs Moms","$73,102"
"Big Mommas: Like Father, Like Son","$70,279"
"The Collector","$69,919"
"Hereafter","$69,359"
"Crazy, Stupid, Love.","$68,344"
"Unknown","$66,408"
"Jackass 3-D","$65,385"
"Cowboys & Aliens","$64,474"
"Fright Night (2011)","$63,156"
"Shark Night 3D","$63,109"
"New Year's Eve","$62,978"
"Hall Pass","$58,648"
"Monte Carlo","$54,446"
"Abduction","$51,714"
"Tower Heist","$51,541"
"Messengers 2: The Scarecrow","$51,501"
"Super 8","$50,039"
"Priest","$49,788"
"Horrible Bosses","$49,575"
"In Time","$48,358"
"The Roommate","$47,805"
"127 Hours","$46,013"
"Burlesque","$44,256"
"No eres tú, soy yo","$44,028"
"Sucker Punch","$42,890"
"Justin Bieber: Never Say Never","$39,570"
"Love and Other Drugs","$38,922"
"Bad Teacher","$37,793"
"What's Your Number?","$36,506"
"Skyline","$35,320"
"I Spit on Your Grave","$34,669"
"Johnny English Reborn","$34,626"
"Water for Elephants","$34,535"
"I Am Number Four","$34,236"
"Faster","$30,954"
"Sanctum (3D)","$28,408"
"The Fighter","$28,043"
"The Spy Next Door","$27,269"
"Blackthorn","$27,204"
"La casa muda (The Silent House)","$27,059"
"Winter's Bone","$26,340"
"Season of the Witch","$25,973"
"The Grudge 3","$25,034"
"Frozen","$24,613"
"Let Me In","$23,361"
"Easy A","$20,864"
"Red","$20,143"
"The Change-Up","$19,944"
"The Next Three Days","$18,760"
"The King's Speech","$18,219"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","$17,781"
"Paul","$16,046"
"African Cats","$15,837"
"Vidas Lejanas","$15,476"
"Los ojos de Julia (Julia's Eyes)","$14,616"
"30 Minutes or Less","$14,444"
"Biutiful","$14,304"
"Colombiana","$14,060"
"The Adjustment Bureau","$12,061"
"The Secret of Moonacre","$12,038"
"Courageous","$11,606"
"Bridesmaids","$10,259"
"Brothers","$9,735"
"Unthinkable","$9,716"
"Ultima Jugada","$9,714"
"Charlie St. Cloud","$8,827"
"True Grit","$8,729"
"La otra familia","$8,376"
"Hævnen (In a Better World)","$8,198"
"Scream 4","$8,005"
"Das Weiße Rauschen","$7,698"
"Tres Dias (Three Days)","$7,269"
"The Dilemma","$6,509"
"The Beaver","$6,260"
"The Bank Job","$5,625"
"Vanishing on 7th Street","$5,104"
"Mother and Child","$4,707"
"Youth in Revolt","$4,626"
"The Air I Breathe","$4,450"
"La Véritable histoire du chat botte","$4,406"
"The Road","$4,274"
"The Mechanic","$4,252"
"The American","$3,850"
"Los gringos no comen llajua","$3,795"
"The Ghost Writer","$3,392"
"Solitary Man","$3,041"
"Carriers","$2,857"
"Spread","$2,740"
"The Echo","$2,514"
"Back to the Future (2010 re-release)","$2,458"
"Flickan som lekte med elden","$2,323"
"Le concert (2009)","$2,294"
"Rabbit Hole","$2,204"
"Carlos","$1,943"
"Il y a longtemps que je t'aime (I've Loved You So Long)","$1,919"
"Igualita a mi","$1,621"
"Rec","$1,308"
"Chance (2011)","$1,273"
"While She Was Out","$968"
"Grindhouse: Planet Terror","$962"
"Lula, o Filho do Brasil","$951"
"The Boys Are Back","$820"
"Daybreakers","$724"
"Eden Lake","$672"
"Balls of Fury","$655"
"Borderland","$651"
"Oceans","$646"
"The Box","$645"
"Traitor","$550"
"Arthur et la vengeance de Maltazard","$335"
"Grindhouse: Death Proof","$331"
