" Movie Title"," Distributor"," Gross"," Release"
"Avatar","Fox","$58,218,829","12/18"
"Ice Age: Dawn of the Dinosaurs","Fox","$45,373,371","7/1"
"The Twilight Saga: New Moon","Paris","$30,613,742","11/20"
"2012","Sony","$25,652,732","11/13"
"Se Eu Fosse Você 2 (If I Were You 2)","Fox","$24,415,116","1/2"
"Harry Potter and the Half Blood Prince","WB","$20,240,271","7/17"
"X-Men Origins: Wolverine","Fox","$14,135,273","4/30"
"Angels & Demons","Sony","$13,858,975","5/15"
"A Mulher Invisível (Invisible Woman)","WB","$11,436,322","6/5"
"Night at the Museum: Battle of the
Smithsonian","Fox","$10,876,191","5/22"
"Os Normais 2 - A Noite Mais Maluca de Todas","n/a","$10,747,823","8/28"
"Up","Disney","$10,528,510","9/4"
"Fast and Furious","UPI","$10,348,525","4/3"
"Transformers: Revenge of the Fallen","PPI","$9,560,181","6/24"
"The Hangover","WB","$8,911,937","8/21"
"The Curious Case of Benjamin Button","WB","$8,598,448","1/16"
"Diva","n/a","$8,466,593","4/17"
"Cloudy with a Chance of Meatballs","Sony","$7,801,829","10/2"
"The Proposal","Disney","$7,438,656","7/10"
"The Ugly Truth","Sony","$7,286,581","9/18"
"Monsters Vs. Aliens","PPI","$6,947,463","4/3"
"Terminator Salvation: The Future Begins","Sony","$6,300,439","6/5"
"Slumdog Millionaire","Europa","$6,215,957","3/6"
"Yes Man","WB","$5,321,595","1/30"
"The Day the Earth Stood Still (2008)","Fox","$5,175,325","1/9"
"Inglourious Basterds","UPI","$5,050,972","10/9"
"Paranormal Activity","PlayArte","$4,895,433","12/4"
"Xuxa e o Mistério de Feiurinha","PlayArte","$4,718,615","12/25"
"Bolt","Disney","$4,640,182","1/1"
"Valkyrie","Fox","$4,605,676","2/13"
"G-Force","Disney","$4,411,008","8/14"
"Knowing","Paris","$4,357,618","4/10"
"The Taking of Pelham One, Two, Three","Sony","$4,246,493","9/4"
"The Princess and the Frog","Disney","$4,075,122","12/11"
"He's Just Not That Into You","PlayArte","$3,693,638","3/27"
"Bedtime Stories","Disney","$3,618,106","1/23"
"Michael Jackson's This Is It","Sony","$3,603,288","10/28"
"G.I. Joe","PPI","$3,517,203","8/7"
"Hachiko: A Dog's Story","n/a","$3,502,608","12/25"
"Couples Retreat","UPI","$3,476,031","12/25"
"A Christmas Carol (2009)","Disney","$3,007,754","11/6"
"Hannah Montana The Movie","Disney","$2,796,536","6/11"
"Public Enemies","UPI","$2,694,614","7/24"
"District 9","Sony","$2,606,642","10/16"
"Planet 51","n/a","$2,254,074","11/27"
"Law Abiding Citizen","n/a","$2,037,344","11/6"
"Besouro (Beetle)","Disney","$2,019,443","10/30"
"Watchmen","PPI","$1,987,525","3/6"
"The Pink Panther 2","Sony","$1,954,340","2/20"
"Star Trek","PPI","$1,907,913","5/8"
"Ghosts of Girlfriends Past","PlayArte","$1,900,256","6/11"
"O Menino da Porteira","Sony","$1,871,774","3/6"
"Hotel for Dogs","PPI","$1,868,696","2/20"
"Dragonball Evolution","Fox","$1,861,083","4/9"
"Surrogates","Disney","$1,838,881","10/23"
"The Reader","Imagem","$1,824,947","2/6"
"Drag Me to Hell","UPI","$1,790,906","8/14"
"Saw VI","Disney","$1,733,289","11/6"
"The Haunting in Connecticut","n/a","$1,682,223","4/17"
"Gran Torino","WB","$1,653,661","3/20"
"Bride Wars","Fox","$1,646,667","2/6"
"Salve Geral","Sony","$1,469,181","10/2"
"Underworld: Rise of the Lycans","Sony","$1,410,721","4/17"
"The Time Traveler's Wife","PlayArte","$1,395,325","10/16"
"17 Again","PlayArte","$1,326,781","7/10"
