" Movie Title"," Gross"
"Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2)","$62,927,562"
"Shrek Forever After","$40,037,374"
"The Twilight Saga: Eclipse","$30,499,010"
"Alice in Wonderland (2010)","$28,360,362"
"Toy Story 3","$24,861,206"
"Harry Potter and the Deathly Hallows (Part One)","$23,910,192"
"Alvin and the Chipmunks: The Squeakquel","$21,977,969"
"Nosso Lar","$21,218,935"
"De Pernas pro Ar","$18,876,082"
"Chico Xavier","$17,229,064"
"Clash of the Titans (2010)","$15,884,391"
"Iron Man 2","$15,835,025"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$15,192,164"
"Despicable Me","$13,743,913"
"Sherlock Holmes","$12,224,946"
"How to Train Your Dragon","$11,483,006"
"Eat Pray Love","$10,419,470"
"Inception","$10,315,556"
"Megamind","$10,259,047"
"The Karate Kid","$10,165,695"
"Prince of Persia: The Sands of Time","$10,124,446"
"The Last Airbender","$9,653,005"
"Resident Evil: Afterlife","$9,488,168"
"Percy Jackson & The Olympians: The Lightning Thief","$9,290,334"
"Tron Legacy","$9,048,284"
"Knight & Day","$8,663,633"
"Robin Hood","$7,953,519"
"Muita Calma Nessa Hora","$7,744,506"
"Grown Ups","$7,678,291"
"Salt","$7,383,735"
"Legend of the Guardians: The Owls of Ga'Hoole","$7,309,044"
"The Expendables","$5,668,452"
"The Social Network","$5,263,976"
"Tooth Fairy","$5,197,136"
"The Sorcerer's Apprentice","$4,974,851"
"O Bem Amado","$4,922,642"
"Shutter Island","$4,834,195"
"It's Complicated","$4,694,495"
"The Final Destination","$4,547,387"
"The Book of Eli","$4,470,607"
"Up in the Air","$4,427,613"
"Valentine's Day","$4,405,954"
"Saw 3D","$4,255,802"
"The Wolfman","$4,250,237"
"Paranormal Activity 2","$4,209,747"
"Red","$4,172,545"
"Date Night","$3,802,943"
"Lula, o Filho do Brasil","$3,785,593"
"Cats & Dogs: Revenge of Kitty Galore","$3,660,233"
"The Back-Up Plan","$3,377,721"
"The Bounty Hunter","$3,284,719"
"Sex and the City 2","$3,185,351"
"Due Date","$3,173,988"
"The Blind Side","$3,004,286"
"The Next Three Days","$2,535,654"
"Killers","$2,513,311"
"Life as We Know It","$2,464,976"
"Garfield's Pet Force","$2,451,404"
"Wall Street: Money Never Sleeps","$2,416,343"
"Edge of Darkness","$2,274,542"
"Vampires Suck","$2,270,062"
"The A-Team","$2,092,574"
"The Last Exorcism","$2,032,160"
"The Switch","$2,017,831"
"Predators","$2,017,215"
"Remember Me","$1,980,250"
"Invictus","$1,923,500"
