" Movie Title"," Distributor"," Gross"," Release"
"Avatar","Fox","$3,406,100","12/18"
"Ice Age: Dawn of the Dinosaurs","Alexandra","$1,911,760","7/3"
"2012","Alexandra","$856,915","11/13"
"Angels & Demons","Alexandra","$639,449","5/15"
"The Twilight Saga: New Moon","Tandem","$424,030","12/4"
"Fast and Furious","UIP","$387,813","4/3"
"Harry Potter and the Half Blood Prince","Alexandra","$343,007","7/24"
"The Princess and the Frog","Sunny","$318,767","12/25"
"Inglourious Basterds","Prooptiki","$314,544","8/28"
"Cloudy with a Chance of Meatballs","Alexandra","$312,951","10/23"
"Monsters Vs. Aliens","UIP","$304,799","3/27"
"Terminator Salvation: The Future Begins","Alexandra","$278,622","6/5"
"The Final Destination","Alexandra","$268,795","9/4"
"Transformers: Revenge of the Fallen","Prooptiki","$264,041","6/26"
"Up","Sunny","$240,604","9/25"
"G-Force","Sunny","$230,542","7/31"
"The Ugly Truth","Alexandra","$228,662","9/25"
"G.I. Joe","Prooptiki","$223,843","8/14"
"Public Enemies","Sunny","$219,550","7/10"
"Slumdog Millionaire","Forum Films","$218,325","2/13"
"The Hangover","Alexandra","$216,753","8/7"
"X-Men Origins: Wolverine","Alexandra","$199,456","5/1"
"Yes Man","Alexandra","$195,700","1/16"
"The Proposal","Sunny","$184,526","6/26"
"Fly Me to the Moon","Forum Films","$176,045","2/27"
"Couples Retreat","Prooptiki","$168,785","12/4"
"Michael Jackson's This Is It","Alexandra","$167,155","11/1"
"My Bloody Valentine 3-D","Tandem","$166,802","4/24"
"Underworld: Rise of the Lycans","Alexandra","$164,969","1/23"
"A Christmas Carol (2009)","Sunny","$162,036","11/13"
"Surrogates","Sunny","$156,302","10/2"
"The International","Alexandra","$153,979","2/27"
"The Taking of Pelham One, Two, Three","Alexandra","$149,770","9/11"
"Law Abiding Citizen","Tandem","$149,691","10/25"
"Planet 51","Forum Films","$149,540","12/11"
"Duplicity","UIP","$145,263","3/20"
"Night at the Museum: Battle of the Smithsonian","Alexandra","$144,281","5/22"
"Spread","Tandem","$137,773","9/6"
"The Pink Panther 2","Alexandra","$135,405","2/13"
"The Curious Case of Benjamin Button","WB","$127,731","2/20"
"Twilight","Tandem","$126,416","1/16"
"Crank: High Voltage","Alexandra","$124,119","4/24"
"Brüno","Forum Films","$120,600","7/10"
"17 Again","Alexandra","$117,988","5/29"
"Transporter 3","Alexandra","$108,784","1/9"
"Watchmen","UIP","$108,274","3/13"
"Race to Witch Mountain","Disney","$106,675","3/20"
"Arthur and the Revenge of Maltazard","Alexandra","$106,595","12/4"
"Valkyrie","Alexandra","$104,711","2/6"
"Coco avant Chanel","Profilms","$103,953","11/20"
"Whiteout","Alexandra","$100,220","10/16"
"Knowing","Tandem","$99,453","7/3"
"Ghosts of Girlfriends Past","Alexandra","$97,489","7/10"
