" Movie Title"," Gross"
"Pirates of the Caribbean: On Stranger Tides (3D)","$1,394,133"
"Love.net","$925,498"
"The Smurfs","$802,173"
"Fast Five","$789,541"
"Operation Shmenti Capelli","$771,680"
"Transformers 3","$734,614"
"Rio","$732,766"
"Puss in Boots","$721,556"
"Tilt","$681,419"
"Winnie the Pooh","$661,332"
"Harry Potter and the Deathly Hallows (Part Two)","$587,986"
"Immortals","$581,837"
"Thor","$577,677"
"Mission: Impossible - Ghost Protocol","$537,804"
"Sherlock Holmes: A Game of Shadows","$521,212"
"The Hangover Part II","$518,693"
"Kung Fu Panda 2","$511,574"
"Cars 2","$476,549"
"The Tourist","$414,904"
"The Mechanic","$402,664"
"In Time","$381,462"
"The Twilight Saga: Breaking Dawn Part 1","$368,577"
"Killer Elite","$339,406"
"Bad Teacher","$319,886"
"I Am Number Four","$310,899"
"Limitless","$307,201"
"The Three Musketeers (2011)","$285,147"
"Arthur Christmas","$274,904"
"Real Steel","$272,466"
"Stapki v pyasaka (Footsteps in the Sand)","$252,386"
"Yogi Bear","$249,467"
"Captain America: The First Avenger","$242,275"
"Conan the Barbarian (2011)","$230,934"
"Season of the Witch","$227,488"
"No Strings Attached","$219,207"
"Friends with Benefits","$217,093"
"Horrible Bosses","$213,737"
"Drive Angry","$213,300"
"Johnny English Reborn","$204,798"
"Rango","$198,915"
"Spy Kids: All the Time in the World","$194,059"
"Rise of the Planet of the Apes","$193,731"
"The Green Hornet","$187,414"
"X-Men: First Class","$186,118"
"New Year's Eve","$181,153"
"Kecove (Sneakers)","$176,064"
"Happy Feet Two","$165,337"
"Winx Club 3D: Magic Adventure","$163,091"
"Just Go With It","$161,463"
"Battle: Los Angeles","$159,489"
"Cowboys & Aliens","$158,950"
"Mars Needs Moms","$157,216"
"Final Destination 5","$153,672"
"Unknown","$151,798"
"Super 8","$149,305"
"Big Mommas: Like Father, Like Son","$148,629"
"The King's Speech","$147,898"
"Konferenz der Tiere (Animals United)","$140,013"
"Tower Heist","$138,420"
"London Boulevard","$137,964"
"Priest","$127,879"
"Abduction","$122,725"
"Burlesque","$117,077"
"Mr. Popper's Penguins","$114,828"
"Red Riding Hood","$110,994"
"Source Code","$106,577"
"Jack and Jill","$103,003"
"The Rite","$101,122"
"Hall Pass","$95,678"
"The Change-Up","$86,214"
"The Tree of Life","$85,927"
"Gnomeo and Juliet","$84,331"
"The Adventures of Tintin","$82,597"
"Sucker Punch","$82,027"
"Lora From Morning Till Evening","$79,721"
"Green Lantern","$73,133"
"Midnight in Paris","$72,279"
"Water for Elephants","$71,534"
"The Island (2011)","$70,949"
"The Lincoln Lawyer","$70,722"
"Shark Night 3D","$70,675"
"Black Swan","$70,515"
"The Eagle","$70,264"
"Larry Crowne","$70,083"
"Trespass (2011)","$68,236"
"Colombiana","$67,970"
"I Don't Know How She Does It","$65,259"
"Contagion","$63,115"
"Crazy, Stupid, Love.","$61,585"
"Drive (2011)","$60,092"
"The Thing (2011)","$57,549"
"Machine Gun Preacher","$56,073"
"Morning Glory","$55,311"
"Dream House","$54,581"
"The Adjustment Bureau","$53,755"
"Sammy's Adventures: The Secret Passage","$51,840"
"The Son of No One","$50,493"
"True Grit","$48,645"
"Love and Other Drugs","$48,391"
"Fright Night (2011)","$47,675"
"Zookeeper","$47,206"
"How Do You Know","$43,345"
"Scream 4","$42,006"
"The Skin I Live In","$28,652"
"Something Borrowed","$28,023"
"Piranha 3D","$27,515"
"Goodbye Mama","$26,718"
"Sbogom, mamo","$25,776"
"Les aventures extraordinaires d'Adèle Blanc-Sec (The Extraordinary Adventures of Adèle Blanc-Sec)","$23,769"
"Podslon","$22,837"
"The Dilemma","$21,273"
"La Véritable histoire du chat botte","$20,687"
"Pina","$20,056"
"One Day","$18,019"
"The Nutcracker in 3D","$14,747"
"L'arnacoeur (Heartbreaker)","$13,130"
"Ronal Barbaren (Ronal the Barbarian)","$12,202"
"Ces amours-là","$7,895"
"Chain Letter","$7,819"
"127 Hours","$3,826"
"Dead Awake","$3,484"
"Moomins and the Comet Chase","$2,426"
