" Movie Title"," Gross"
"Wall-E","$3,312,890"
"The Dark Knight","$3,239,830"
"Kung Fu Panda","$3,061,178"
"The Chronicles of Narnia: Prince Caspian","$2,215,829"
"Madagascar: Escape 2 Africa","$2,024,236"
"Bolt","$1,788,695"
"Journey to the Center of the Earth","$1,780,233"
"The Mummy: Tomb of the Dragon Emperor","$1,434,116"
"Iron Man","$1,383,728"
"Hancock","$1,377,748"
"Indiana Jones and the Kingdom of the Crystal Skull","$1,324,464"
"I Am Legend","$1,294,576"
"10,000 B.C.","$1,222,724"
"31 minutos","$1,065,000"
"The Day the Earth Stood Still (2008)","$1,020,030"
"Quantum of Solace","$949,223"
"The Game Plan","$943,428"
"The Happening","$909,267"
"Sex and the City","$897,971"
"El Regalo (The Gift)","$734,849"
"El Orfanato (The Orphanage)","$733,144"
"High School Musical 3: Senior Year","$727,413"
"Speed Racer","$664,921"
"Lokas","$645,800"
"Dr. Seuss' Horton Hears a Who!","$629,016"
"Get Smart","$610,269"
"The Water Horse: Legend of the Deep","$594,070"
"Mirrors","$563,687"
"You Don't Mess with the Zohan","$527,900"
"The Bucket List","$518,715"
"Sweeney Todd: The Demon Barber of Fleet Street","$492,673"
"The Spiderwick Chronicles","$439,982"
"Wanted","$418,922"
"Mamma Mia!","$417,860"
"An American Haunting","$410,016"
"Alien vs. Predator - Requiem","$408,710"
"Cloverfield","$403,992"
"No Country for Old Men","$399,178"
"Jumper","$394,341"
"Mirageman","$390,003"
"What Happens in Vegas","$375,070"
"Chile puede","$365,966"
"Tony Manero","$351,143"
"Love in the Time of Cholera","$348,078"
"The Incredible Hulk","$340,611"
"Saw V","$309,625"
"P.S. I Love You","$307,491"
"Meet Dave","$287,873"
"One Missed Call","$281,062"
"Taken","$280,932"
"Atonement","$279,262"
"Space Chimps","$276,049"
"Vantage Point","$273,843"
"Eastern Promises","$273,739"
"The X-Files: I Want to Believe","$264,625"
"American Gangster","$253,922"
"Star Wars: The Clone Wars","$241,550"
"Body of Lies","$234,585"
"Juno","$234,055"
"21","$210,253"
"Tropic Thunder","$210,021"
"Shutter","$209,914"
"Tim Burton's The Nightmare Before Christmas in 3-D (2008 re-issue)","$206,466"
"The Mist","$203,451"
"Made of Honor","$201,380"
"There Will Be Blood","$193,863"
"Charlie Wilson's War","$191,422"
"27 Dresses","$186,421"
"In the Valley of Elah","$179,931"
"Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour","$169,878"
"Captivity","$169,465"
"Death at a Funeral","$163,556"
"Hellboy II: The Golden Army","$159,344"
"Rambo","$154,770"
"Meet the Spartans","$153,041"
"[Rec]","$152,889"
"La Buena vida","$152,299"
"Nights in Rodanthe","$142,567"
"The Oxford Murders","$132,890"
"Babylon A.D.","$127,246"
"Away from Her","$107,796"
"Die Fälscher (The Counterfeiters)","$107,100"
"The Eye","$105,592"
"30 Days of Night","$104,456"
"Before the Devil Knows You're Dead","$98,974"
"Good Luck Chuck","$98,179"
"Dan in Real Life","$96,830"
"El Arca","$95,569"
"Blindness","$95,292"
"The Other Boleyn Girl","$94,904"
"2 Days in Paris","$94,113"
"Hitman","$93,660"
"Four Christmases","$93,324"
"Hannibal Rising","$92,151"
"Eagle Eye","$89,139"
"Fool's Gold","$86,500"
"Nim's Island","$77,987"
"Irma Vap - O Retorno","$77,262"
"The Darjeeling Limited","$74,146"
"El Brindis","$73,283"
"The Return","$72,798"
"88 Minutes","$71,011"
"Awake","$70,689"
"I Could Never Be Your Woman","$70,309"
"Fly Me to the Moon","$70,006"
"Efter brylluppet (After the Wedding)","$69,637"
"Muñeca","$68,205"
"Max Payne","$67,903"
"The Ugly Duckling and Me!","$59,025"
"The Hitcher (2007)","$57,426"
"Bridge to Terabithia","$56,456"
"August Rush","$53,751"
"Butterfly on a Wheel","$53,126"
"Cassandra's Dream","$53,125"
"We Own the Night","$52,644"
"Elizabeth: The Golden Age","$48,413"
"U2 3D","$46,583"
"Black Christmas (2006)","$45,991"
"RockNRolla","$45,151"
"Griffin & Phoenix","$44,532"
"Mansacue","$43,800"
"Coeurs (Private Fears in Public Places)","$41,720"
"School for Scoundrels","$41,314"
"P2","$41,312"
"Lassie (2005)","$40,569"
"Hors de prix (Priceless)","$38,792"
"Pride & Glory","$36,564"
"La Fille coupée en deux (A Girl Cut in Two)","$36,516"
"Raza Brava","$35,250"
"Street Kings","$35,163"
"Definitely, Maybe","$32,040"
"Evening","$31,877"
"Gone Baby Gone","$30,917"
"Mr. Woodcock","$26,703"
"Halloween (2007)","$26,232"
"Bordertown","$25,693"
"Justiça","$25,066"
"The Flock","$25,005"
"Venus","$24,842"
"La Tourneuse de pages (The Page Turner)","$24,630"
"Lonely Hearts","$23,435"
"XXY","$22,871"
"Sukkar banat (Caramel)","$22,824"
"Whisper","$21,877"
"Martian Child","$21,749"
"Arráncame la vida","$21,661"
"Sleuth (2007)","$21,060"
"3:10 to Yuma (2007)","$20,956"
"Si jie (Lust, Caution)","$19,977"
"The Black Pimpernel","$19,628"
"Kirikou et les bêtes sauvages","$19,209"
"The Hunting Party","$19,099"
"4 luni, 3 saptamâni si 2 zile (4 Months, 3 Weeks, 2 Days)","$17,330"
"Prohibido Prohibir","$17,103"
"199 recetas para ser feliz","$15,915"
"Lars and the Real Girl","$15,190"
"Trade","$15,132"
"Desierto sur","$14,366"
"Lie With Me","$14,097"
"Le Scaphandre et le papillon (The Diving Bell and the Butterfly)","$13,431"
"King of California","$13,204"
"The Nanny Diaries","$13,076"
"Secretos","$12,929"
"Tropa de Elite (Elite Squad)","$12,857"
"Microfilia","$12,159"
"Persepolis","$12,040"
"Shine a Light","$12,010"
"Dialogue avec mon jardinier","$11,811"
"Santos","$11,685"
"Un secret (A Secret)","$11,635"
"Lo bueno de llorar","$11,335"
