" Movie Title"," Distributor"," Gross"," Release"
"Transformers","China Film","$37,218,823","7/11"
"Ji jie hao (Assembly)","China Film","$34,089,912","12/20"
"Tau ming chong (The Warlords)","China Film","$27,601,246","12/12"
"Harry Potter and the Order of the Phoenix","China Film","$19,410,000","8/11"
"Spider-Man 3","China Film","$18,924,747","5/1"
"Si jie (Lust, Caution)","China Film","$17,109,185","11/1"
"Pirates of the Caribbean: At World's End","China Film","$16,970,000","6/12"
"Casino Royale","n/a","$11,770,398","1/30"
"Night at the Museum","China Film","$8,319,134","2/14"
"Moon to (Protégé)","Poly Bona","$8,069,097","2/6"
"TMNT","China Film","$4,819,908","5/18"
"Nan er ben se (Invisible Target)","Poly Bona","$4,482,709","7/19"
"One Foundation","China Film","$4,474,576","11/29"
"Bu neng shuo de. mi mi (Secret)","China Film","$4,407,852","7/31"
"Eragon","China Film","$4,392,922","4/6"
"Dou fo sin (Flash Point)","Poly Bona","$4,090,789","8/3"
"Live Free or Die Hard","China Film","$3,979,257","11/15"
"Tian tang kou (Blood Brothers)","Bona Light","$3,944,291","8/16"
"Hing dai (Brothers)","Poly Bona","$3,860,900","10/18"
"Deja Vu","HuaXia","$3,800,000","3/19"
"Ghost Rider","China Film","$3,759,994","6/3"
"Tie saam gok (Triangle)","Poly Bona","$3,616,637","10/1"
"Shooter","HuaXia","$3,245,468","4/20"
"The Guardian","China Film","$3,157,013","1/13"
"Mr. Bean's Holiday","China Film","$3,048,163","7/27"
"The Bourne Ultimatum","China Film","$3,026,471","11/15"
"Ratatouille","HuaXia","$2,871,850","10/19"
"Baohulu de mimi (The Secret of the Magic Gourd)","China Film","$2,725,713","6/29"
"Doraemon: Nobita no kyôryû (2006)","HuaXia","$2,682,446","7/20"
"Tristan and Isolde","XinHua","$2,569,673","4/20"
"The Devil Wears Prada","China Film","$2,401,750","2/27"
"Prey (2007)","China Film","$2,206,479","9/7"
"Tai yang zhao chang sheng qi (The Sun Also Rises)","n/a","$2,130,247","9/14"
"Mi-nyeo-neun Gwae-ro-wo (200 Pounds Beauty)","China Film","$2,076,217","9/28"
"Taxi 4","Bona Wenhua","$2,023,472","10/4"
"Hup yeu ching yan (Contract Lover)","UME","$1,860,515","8/16"
"Gwoemul (The Host)","Beijing Wanda","$1,848,333","3/9"
"Babel","China Film","$1,810,727","3/13"
"No Reservations","China Film","$1,808,318","9/7"
"16 Blocks","Beijing Shidai","$1,765,482","3/30"
"Let's Steal Together","Poly Bona","$1,676,554","2/18"
"Luo ye gui gen (Getting Home)","XinHua","$1,675,150","1/19"
"Dei yuk dai sup gau tsang (Naraka 19)","Shidai Yinying","$1,647,884","8/28"
"Nihon chinbotsu (Sinking of Japan)","HuaXia","$1,596,594","9/21"
"Arthur et les Minimoys (Arthur and the Invisibles)","Duomeng","$1,584,949","1/19"
"Chaos (2005)","Beijing Chuangs","$1,551,049","3/9"
"Ai qing hu jiao zhuan yi","Xiying Huayi","$1,547,449","2/8"
"Xin zhong you gui (The Matrimony)","Xiying Huayi","$1,418,495","2/8"
"My Blueberry Nights","Oriental","$1,398,408","12/22"
"Click","China Film","$1,387,909","4/20"
"Nanking","HuaXia","$1,315,650","7/6"
"Ping guo (Lost in Beijing)","Poly Bona","$1,286,914","11/30"
"Stormbreaker","Shanghai Huayu","$1,272,763","4/13"
"Dangerous Games","Dengtian Yule","$1,237,539","12/28"
