" Movie Title"," Gross"
"Chi bi (Red Cliff: Part I)","$46,698,967"
"Fei Cheng Wu Rao (If You Are the One)","$45,257,457"
"Wa pei (Painted Skin)","$33,467,300"
"The Forbidden Kingdom","$26,899,556"
"Cheung Gong 7 hou (CJ7)","$26,166,803"
"Kung Fu Panda","$26,024,298"
"Quantum of Solace","$21,009,412"
"The Mummy: Tomb of the Dragon Emperor","$17,450,787"
"Mei Lanfang (Forever Enthralled)","$16,652,957"
"Guan lan (Kung Fu Dunk)","$15,883,165"
"Iron Man","$15,274,332"
"Hancock","$15,093,944"
"Ip Man","$13,728,640"
"The Chronicles of Narnia: Prince Caspian","$12,522,570"
"10,000 B.C.","$10,851,097"
"Wanted","$10,747,059"
"National Treasure: Book of Secrets","$9,951,598"
"Journey to the Center of the Earth","$9,923,386"
"Saam gwok dzi gin lung se gap (Three Kingdoms: Resurrection of the Dragon)","$9,331,504"
"The Incredible Hulk","$8,929,638"
"The Water Horse: Legend of the Deep","$8,752,718"
"Shi Quan Jiu Mei (Almost Perfect)","$6,855,809"
"Bolt","$6,578,259"
"Bo chi tung wah (Connected)","$6,427,392"
"Jiang shan mei ren (An Empress and the Warriors)","$6,147,279"
"Flood (2007)","$6,126,825"
"The Golden Compass","$4,928,803"
"Ai qing hu jiao zhuan yi II: Ai qing zuo you (Fit Lover)","$4,800,559"
"Tao hua yun (Desires of the Heart)","$4,509,616"
"Storm Rider - Clash of Evils","$4,382,825"
"D-War (Dragon Wars)","$4,370,573"
"Mo hup leung juk (Butterfly Lovers)","$4,301,830"
"Neui yan fau pui (All About Women)","$3,331,872"
"Sam hoi tsam yan (Missing)","$3,330,558"
"Speed Racer","$3,184,713"
"Vinci","$2,891,421"
"Daai sau cha ji neui (Lady Cop & Papa Crook)","$2,571,032"
"Man jeuk (Sparrow)","$2,479,761"
"The Beast Stalker","$2,473,015"
"Hellboy II: The Golden Army","$2,366,875"
"Next","$2,308,086"
"Huang Cun Ke Zhan (The Deserted Inn)","$2,260,958"
"Chao Qiang Tai Feng (Super Typhoon)","$2,236,025"
"Butterfly on a Wheel","$2,191,156"
"Jing wu men (Kung Fu Hip Hop)","$2,161,941"
"Atonement","$2,122,170"
"Kod apokalipsisa (Apocalypse Code)","$2,044,984"
"Taken","$2,037,062"
"Hua hua xing jing (Playboy Cops)","$1,893,993"
"Fool's Gold","$1,880,542"
"Li mi de cai xiang (The Equation of Love and Death)","$1,869,732"
"Doraemon: Nobita no shin makai daibôken (Doraemon the Movie: Nobita's New Great Adventure Into the Underworld - The Seven Magic Users) (2007)","$1,631,483"
"The Children of Huang Shi","$1,627,665"
"Mee-Shee: The Water Giant","$1,578,310"
"Yat kor ho ba ba (Run Papa Run)","$1,455,223"
"Autobahnraser","$1,255,566"
"Babylon A.D.","$1,228,608"
"Fast Track: No Limits","$1,190,456"
"The Underdog Knight","$1,167,457"
"I’m Liu Yue Jin","$1,135,341"
"Deadly Delicious","$1,060,921"
"Long nga (Legendary Assassin)","$1,019,682"
"Calabash Brothers","$957,896"
"Hu die fei (Linger)","$913,811"
"The Pursuit of Happyness","$848,578"
"Chung oi (In Love with the Dead)","$844,583"
"Becoming Jane","$800,573"
"Ji ri qi cheng (Set Off)","$759,767"
"Hui Buh - Das Schlossgespenst","$714,796"
"27 Dresses","$711,654"
"Astérix aux jeux olympiques","$701,510"
"Duo Biao (Champions)","$658,443"
"Step Up 2 the Streets","$581,378"
"Khan Kluay","$538,636"
"Marriage Trap","$524,256"
"Help (2007)","$505,365"
"5 Guns of Mercy","$503,481"
"Sun taam (Mad Detective)","$456,980"
"Qian Ting Zong Dong Yuan","$433,971"
"Shik-gaek (Le Grand Chef)","$427,710"
"A Chinese Fairy Tale","$328,204"
"Lichun (And the Spring Comes)","$285,555"
"Mi guo (Lost Indulgence)","$285,399"
"Esquire Runaway","$258,900"
"The Spiderwick Chronicles","$224,524"
"Waiting in Beijing","$189,795"
"Joulutarina (Christmas Story)","$189,546"
"Wushu","$174,708"
"Out of Control","$160,953"
"Anaconda Frightened","$142,902"
"Ha! Ha! Ha!","$129,467"
"Liang ren fang","$111,281"
"Cold Harvest (1999)","$110,765"
"50 Meters Line Between Alive or Dead","$87,561"
"Left Right","$85,379"
"Ye Man De Wen Rou (Barbarian Tender)","$81,803"
"T-Rex: Back to the Cretaceous (IMAX)","$80,546"
"Wei Dao Nan Nv","$73,073"
"Zhou Guo Ping (Road to Home)","$58,274"
"Hutushenpan","$55,002"
"Tamendechuan","$54,969"
"Salir pitando (Blinkers)","$53,555"
"The One Man Olympics","$29,122"
"Ni Hong Deng Xia Xin Shao Bing","$29,048"
"Mai Mai Ti De 2008","$21,421"
"Hu San Niang","$17,148"
"You Xi Mi Cang","$15,339"
"Olympic Is In My Family","$14,607"
"Shanghai Trance (City of Trance)","$14,600"
"Qi yu (Old Fish)","$14,561"
"Anna & Anna","$7,300"
