" Movie Title",," Gross"," Release"
"Transformers: Revenge of the Fallen",,"$65,837,290","6/24"
"Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II)",,"$38,043,199","1/7"
"Silver Medalist",,"$15,844,273","1/20"
"Yau lung hei fung (Look for a Star)",,"$14,938,886","1/26"
"Niu Qi Chong Tian",,"$11,043,191","1/16"
"Star Trek",,"$8,556,951","5/15"
"Transporter 3",,"$8,556,760","2/12"
"Valkyrie",,"$8,041,799","2/26"
"Dragonball Evolution",,"$7,936,392","3/14"
"Madagascar: Escape 2 Africa",,"$5,278,943","1/1"
"Ga yau hei si 2009 (All's Well, Ends Well 2009)",,"$4,530,375","1/22"
"Les Deux mondes",,"$3,712,419","3/5"
"Hai jiao qi hao (Cape No. 7)",,"$2,909,204","2/14"
"Gao xing",,"$2,774,168","2/4"
"Oi dut hei (Give Love)",,"$2,758,816","2/13"
"Zwartboek (Black Book)",,"$2,620,617","2/3"
"Australia",,"$2,402,985","1/28"
"Slumdog Millionaire",,"$2,280,068","3/26"
"Alone in the Dark",,"$2,250,837","3/20"
"Skalolazka and the Latter from the Seventh Cradle",,"$2,016,984","3/6"
"Ashes of Time Redux",,"$1,169,266","3/27"
"Bridge to Terabithia",,"$686,355","1/26"
"Inu to watashi no 10 no yakusoku (10 Promises to My Dog)",,"$613,344","1/26"
"Chan mat (Claustraphobia)",,"$438,808","3/6"
"Irreversi",,"$262,816","2/20"
"August Rush",,"$218,988","1/23"
"Xi Zang Jin Xi",,"$189,812","2/15"
"Ye Mei Gui (Night Rose)",,"$175,441","3/5"
"Er shi si cheng ji (24 City)",,"$160,633","3/6"
"Tao Qi Bao Ma Xiao Tiao",,"$145,992","1/20"
"Donkey Xote",,"$131,393","1/16"
"La Doublure (The Valet)",,"$87,685","2/6"
"Oi ching ku see (Basic Love)",,"$43,881","3/20"
"Ye Zhu Zou Ming Qu",,"$32,911","3/20"
"Lemonade",,"$5,840","2/12"
