" Movie Title"," Distributor"," Gross"," Release"
"Avatar","Fox","$117,103,251","12/17"
"Ice Age: Dawn of the Dinosaurs","Fox","$44,572,301","7/1"
"2012","Dis./Sony","$36,608,694","11/12"
"Obitaemyy ostrov (The Inhabited Island: Part I)","Caroprokat","$21,834,845","1/1"
"Black Lightning","UPI","$19,680,048","12/31"
"Harry Potter and the Half Blood Prince","Karo","$18,687,856","7/16"
"The Twilight Saga: New Moon","West","$18,616,430","11/19"
"Transformers: Revenge of the Fallen","Cent. Part.","$18,170,854","6/24"
"High Security Vacation","Fox","$17,532,675","8/25"
"Taras Bulba","Cent. Part.","$17,040,803","4/2"
"Sherlock Holmes","Karo","$16,494,393","12/31"
"Terminator Salvation: The Future Begins","Dis./Sony","$14,534,839","6/4"
"Samiy luchshiy film 2 (The Very Best Film 2)","Dis./Sony","$14,322,002","1/22"
"Fast and Furious","UPI","$14,294,286","4/9"
"The Final Destination","Karo","$14,044,105","9/10"
"Angels & Demons","Dis./Sony","$13,597,356","5/14"
"Monsters Vs. Aliens","Cent. Part.","$13,523,812","3/19"
"A Christmas Carol (2009)","Dis./Sony","$13,325,514","11/19"
"Up","Dis./Sony","$12,073,559","5/28"
"Night at the Museum: Battle of the
Smithsonian","Fox","$11,012,851","5/21"
"Kniga masterov (The Book of Masters)","Dis./Sony","$10,817,205","10/29"
"Surrogates","Dis./Sony","$10,770,306","9/24"
"G-Force","Dis./Sony","$9,656,260","8/20"
"District 9","Dis./Sony","$9,399,845","8/13"
"G.I. Joe","Cent. Part.","$9,129,805","8/6"
"Lyubov v bolshom gorode (Love in the Big City)","Caroprokat","$9,112,193","3/5"
"Cloudy with a Chance of Meatballs","Dis./Sony","$8,648,249","10/22"
"Bedtime Stories","Dis./Sony","$8,546,565","1/1"
"Yes Man","Karo","$7,822,926","1/15"
"X-Men Origins: Wolverine","Fox","$7,644,722","4/30"
"The Proposal","Dis./Sony","$7,583,672","6/18"
"The Ugly Truth","Dis./Sony","$6,509,661","9/17"
"Crank: High Voltage","Cent. Part.","$6,462,224","4/16"
"Obitaemyy ostrov: Skhvatka (The Inhabited Island, Part II)","Caroprokat","$6,069,159","4/23"
"Knowing","Paradise","$6,046,454","3/19"
"Inglourious Basterds","UPI","$5,981,035","8/20"
"Public Enemies","UPI","$5,670,599","7/23"
"Watchmen","Cent. Part.","$5,472,197","3/5"
"Old Dogs","Dis./Sony","$5,362,678","12/3"
"Tsar","n/a","$5,265,997","11/4"
"The Hangover","Karo","$5,220,629","7/30"
"The Princess and the Frog","Dis./Sony","$5,141,150","12/24"
"9","UPI","$5,072,691","9/9"
"Alvin and the Chipmunks: The
Squeakquel","Fox","$5,033,085","12/24"
"The Curious Case of Benjamin Button","Karo","$4,355,492","2/5"
"Confessions of a Shopaholic","Dis./Sony","$4,309,445","2/12"
"Nevesta lyuboi tsenoy (Bride at Any Cost)","Cent. Part.","$4,202,818","9/17"
"Lopukhi: Epizod perviy","Paradise","$4,133,544","8/13"
"Star Trek","UPI","$4,122,486","5/7"
"Couples Retreat","UPI","$3,995,039","10/15"
"Valkyrie","Fox","$3,947,905","1/29"
"Zombieland","Dis./Sony","$3,917,065","10/8"
"Na igre (Hooked)","Karo","$3,646,151","11/26"
"Bride Wars","Fox","$3,633,158","2/26"
"Marley and Me","Fox","$3,546,048","3/9"
"Slumdog Millionaire","Volga","$3,462,843","2/12"
"Planet 51","Paradise","$3,450,434","11/19"
"Australia","Fox","$3,318,540","2/12"
"The Pink Panther 2","Dis./Sony","$3,298,745","2/19"
"Land of the Lost","UPI","$3,243,718","6/11"
"Cirque du Freak: The Vampire's Assistant","UPI","$3,192,388","10/8"
"Underworld: Rise of the Lycans","Dis./Sony","$3,166,564","2/5"
"Friday the 13th (2009)","Cent. Part.","$3,090,220","2/12"
"Yulenka","Caroprokat","$2,926,017","2/19"
"He's Just Not That Into You","Karo","$2,863,198","4/1"
"The Men Who Stare at Goats","n/a","$2,689,586","12/10"
"New in Town","Paradise","$2,630,504","2/5"
"Drag Me to Hell","West","$2,556,330","7/9"
"Vozvrashenie mushketerov, ili sokrovischa kardinala Mazarini (Musketeers Return)","Cent. Part.","$2,518,449","2/5"
"Pandorum","Top Film","$2,504,568","10/15"
"Ghosts of Girlfriends Past","Karo","$2,462,447","6/11"
"Spread","Volga","$2,430,154","8/13"
"Case 39","Cent. Part.","$2,301,073","9/3"
"Pikap: Sem bez pravil (Pick-Up Without the Rules)","n/a","$2,241,507","12/3"
"Gamer (2009)","West","$2,238,345","9/10"
"Saw VI","n/a","$2,233,276","10/29"
"Paranormal Activity","n/a","$2,213,046","11/4"
"Arthur et la vengeance de Maltazard","Cent. Part.","$2,208,692","12/3"
"Michael Jackson's This Is It","Dis./Sony","$2,171,866","10/29"
"Law Abiding Citizen","Top Film","$2,133,270","11/4"
"Ukroshchenie stroptivykh (The Taming of the
Shrews)","n/a","$2,103,724","10/29"
"My Bloody Valentine 3-D","Cent. Part.","$2,093,298","4/9"
"Hachiko: A Dog's Story","n/a","$2,046,840","10/22"
"The Rebound","Top Film","$1,909,368","10/1"
"17 Again","Karo","$1,907,938","5/28"
"Love Happens","Paradise","$1,906,333","9/24"
"Zapreshchennaya realnost (Interceptor)","Cent. Part.","$1,877,112","10/8"
"Antikiller D.K: Lyubov bez pamyati","n/a","$1,857,261","12/3"
