" Movie Title"," Gross"
"Pirates of the Caribbean: On Stranger Tides (3D)","$63,661,754"
"Puss in Boots","$50,552,077"
"Transformers 3","$45,129,718"
"Harry Potter and the Deathly Hallows (Part Two)","$36,817,713"
"Kung Fu Panda 2","$31,829,945"
"The Twilight Saga: Breaking Dawn Part 1","$31,818,662"
"Fast Five","$29,333,777"
"Vysotskiy. Spasibo, chto zhivoy","$27,900,323"
"Sherlock Holmes: A Game of Shadows","$25,933,912"
"Yolki 2","$25,682,755"
"Rio","$24,803,056"
"Ivan Tsarevich i Seryy Volk","$23,396,434"
"Cars 2","$19,915,542"
"Real Steel","$19,310,230"
"Final Destination 5","$19,257,933"
"The Tourist","$18,954,621"
"Gulliver's Travels","$17,075,542"
"Thor","$16,543,455"
"O chyom eshchyo govoryat muzhchiny","$16,307,571"
"Immortals","$15,616,648"
"In Time","$14,773,018"
"Boy s tenyu 3. Posledniy raund","$13,645,556"
"Bad Teacher","$13,430,816"
"The Smurfs","$13,347,700"
"The Hangover Part II","$13,262,502"
"Just Go With It","$13,174,937"
"Vykrutasy (Lucky Trouble)","$12,437,699"
"Mission: Impossible - Ghost Protocol","$12,321,289"
"Rise of the Planet of the Apes","$12,067,800"
"Sluzhebnyy roman - Nashe vremya (Office Romance)","$11,829,672"
"Rango","$11,761,936"
"Season of the Witch","$11,319,708"
"Priest","$10,406,738"
"Conan the Barbarian (2011)","$9,812,098"
"The Very Best Movie 3D","$9,809,307"
"Friends with Benefits","$9,481,882"
"X-Men: First Class","$9,383,290"
"The Adventures of Tintin","$8,889,594"
"Sanctum (3D)","$8,646,203"
"Captain America: The First Avenger","$8,638,710"
"Super 8","$8,390,158"
"Battle: Los Angeles","$8,313,968"
"The Mechanic","$8,208,998"
"The Three Musketeers (2011)","$7,928,999"
"Spy Kids: All the Time in the World","$7,892,157"
"Smeshariki: Nachalo","$7,816,079"
"The Darkest Hour","$7,430,423"
"Beremennyy","$7,370,040"
"I Am Number Four","$7,135,120"
"Tower Heist","$6,876,690"
"Arthur Christmas","$6,757,094"
"No Strings Attached","$6,714,135"
"Paranormal Activity 3","$6,630,507"
"The Green Hornet","$6,561,777"
"Cowboys & Aliens","$6,481,974"
"Happy Feet Two","$6,447,057"
"Alvin and the Chipmunks: Chipwrecked","$6,293,806"
"Gnomeo and Juliet","$6,265,601"
"Limitless","$6,199,604"
"Aram zam zam ili Vsyo vklyucheno","$6,103,256"
"The Change-Up","$6,015,012"
"Killer Elite","$5,987,799"
"Drive Angry","$5,749,682"
"Mars Needs Moms","$5,728,634"
"Shark Night 3D","$5,437,182"
"Johnny English Reborn","$5,420,809"
"Mr. Popper's Penguins","$5,278,112"
"Source Code","$5,053,622"
"Zookeeper","$4,987,271"
"Green Lantern","$4,863,834"
"The Rum Diary","$4,704,054"
"Horrible Bosses","$4,690,726"
"I Don't Know How She Does It","$4,538,559"
"Black Swan","$4,504,400"
"Generation P (Wow!)","$4,377,645"
"Red Riding Hood","$4,161,602"
"Scream 4","$4,116,546"
"The Eagle","$4,065,840"
"The Adjustment Bureau","$4,053,567"
"Insidious","$3,881,685"
"Sucker Punch","$3,831,792"
"Contagion","$3,784,557"
"Fright Night (2011)","$3,470,803"
"One Day","$3,317,292"
"Hall Pass","$3,154,302"
"Morning Glory","$3,148,093"
"Bridesmaids","$2,971,028"
"Abduction","$2,908,573"
"Paul","$2,884,009"
"Hop","$2,863,803"
"Colombiana","$2,856,954"
"Hoodwinked 2","$2,646,465"
"Slove","$2,625,945"
"Dolphin Tale","$2,622,179"
"Burlesque","$2,583,055"
"Svadba po obmenu","$2,573,695"
"The Tree of Life","$2,572,652"
"Anonymous","$2,556,933"
"Blitz","$2,548,801"
"The Thing (2011)","$2,507,105"
"Love and Other Drugs","$2,494,978"
"Something Borrowed","$2,384,671"
"Midnight in Paris","$2,344,615"
"Bablo","$2,252,547"
"SeaFood","$2,219,684"
"Big Mommas: Like Father, Like Son","$2,185,694"
"Water for Elephants","$2,178,167"
"The Lincoln Lawyer","$2,123,738"
"Master i Margarita","$2,117,461"
"Apollo 18","$2,108,953"
"What's Your Number?","$2,062,864"
"Drive (2011)","$2,058,038"
"Kukaracha 3D","$2,057,759"
"Crazy, Stupid, Love.","$2,050,176"
"Dream House","$2,004,613"
"Na kryuchke!","$1,997,922"
"Pyat nevest (Five Brides)","$1,983,152"
"Hanna","$1,966,472"
"The Skin I Live In","$1,960,741"
"Potseluy skvoz stenu","$1,956,616"
"Last Night","$1,916,510"
"Larry Crowne","$1,903,476"
"Unknown","$1,859,086"
"Your Highness","$1,836,615"
"Realnaya skazka","$1,682,430"
"The King's Speech","$1,681,032"
"Mantikora 3D","$1,666,597"
"London Boulevard","$1,662,842"
"Setup","$1,652,174"
"The Devil's Double","$1,623,646"
"Henry's Crime","$1,587,260"
"Largo Winch 2: The Burma Conspiracy","$1,578,907"
"How Do You Know","$1,571,891"
"11-11-11","$1,564,373"
"Un monstre à Paris","$1,523,919"
"Utomlyonnye solntsem 2: Tsitadel","$1,521,195"
"True Grit","$1,391,383"
"Monte Carlo","$1,386,213"
"30 Minutes or Less","$1,384,261"
"Melancholia","$1,264,305"
"Pyataya kazn (The 5th Execution)","$1,237,084"
"Chalet Girl","$1,193,445"
"PiraMMMida","$1,169,868"
"Beastly","$1,165,316"
"Winnie the Pooh","$1,140,979"
"La chance de ma vie","$1,116,951"
"Jane Eyre (2011)","$1,104,032"
"Flypaper","$1,071,621"
"Tinker, Tailor, Soldier, Spy","$1,068,141"
"Moneyball","$1,053,559"
"The Ward (2011)","$1,028,600"
"Wir sind die Nacht (We Are the Night)","$1,011,339"
"Tomorrow, When the War Began","$1,002,139"
"Don't Be Afraid of the Dark","$995,090"
"Kokowääh","$968,007"
"The Fighter","$910,942"
"You and I","$909,438"
"127 Hours","$906,061"
"Derrière les murs (Behind the Walls)","$844,990"
"Trespass (2011)","$837,868"
"Hidden 3D","$821,555"
"Ironclad","$794,809"
"Margin Call","$755,548"
"Pina","$740,803"
"The Ledge","$739,387"
"Carnage (2011)","$709,906"
"Shelter (2010)","$696,339"
"Burke and Hare","$675,334"
"The Inbetweeners Movie","$674,492"
"Tu Xia Chuan Qi (Legend of a Rabbit)","$655,784"
"One Way Trip 3D","$649,230"
"Elena","$642,536"
"You Will Meet a Tall Dark Stranger","$635,021"
"A Good Old Fashioned Orgy","$628,905"
"Neadekvatnye lyudi","$621,262"
"Forces spéciales","$618,878"
"Dva dnya","$609,894"
"Ronal Barbaren (Ronal the Barbarian)","$609,823"
"Manuale d'amore 3","$562,899"
"Afterwards","$551,443"
"The Son of No One","$536,349"
"Zhila-byla odna baba","$507,099"
"Satisfaktsiya","$506,205"
"The Debt","$476,450"
"Straw Dogs (2010)","$417,593"
"Supermenedzher, ili Motyga sudby","$404,117"
"Vdrebezgi (Into the smithereens)","$403,557"
"AniMen: Triton Force","$395,220"
"The Guard","$394,627"
"Paranômaru akutibiti: Dai-2-shô - Tokyo Night","$370,262"
"A Little Bit of Heaven","$353,972"
"Horrid Henry: The Movie","$347,561"
"Texas Killing Fields","$341,925"
"I Love You Too","$324,291"
"4.3.2.1","$288,450"
"Tensión sexual no resuelta","$284,138"
"Biutiful","$267,390"
"The Beaver","$251,676"
"3D Sex and Zen: Extreme Ecstasy","$242,475"
"Hysteria","$229,005"
"Tikhaya zastava","$214,100"
"Reyder","$210,871"
"Cedar Rapids","$202,759"
"Lucky Luke","$182,081"
"Les Lyonnais (A Gang Story)","$170,504"
"Red State","$155,303"
"Uprazhneniya v prekrasnom (The Practice of Beauty)","$150,333"
"From Prada to Nada","$148,428"
"Dom","$146,782"
"Child's Eye","$145,547"
"Ces amours-là","$145,531"
"Khodorkovsky","$143,165"
"Nicostratos le pélican","$142,362"
"V subbotu (Innocent Saturday)","$138,043"
"Olsen Banden på de bonede gulve","$128,080"
"Hell (2011)","$127,051"
"I Spit on Your Grave","$126,778"
"The Borrowers (Kari-gurashi no Arietti)","$124,751"
"Sleeping Beauty (2011)","$123,984"
"Ogni pritona (Brothel Lights)","$121,196"
"Bez muzhchin","$117,794"
"Rabbit Hole","$115,535"
"Varenye iz sakury","$107,029"
"Nine","$99,079"
"Father of Invention","$97,778"
"Miss Nobody","$90,647"
"La tropa de trapo en el país donde siempre brilla el sol","$87,253"
"Life in a Day","$85,511"
"Never Let Me Go","$79,840"
"Rien à déclarer (Nothing to Declare)","$77,469"
"Mishen (Target)","$73,153"
"Restless (2011)","$73,100"
"Sound of Noise","$70,701"
"Fair Game (2010)","$70,076"
"Tres metros sobre el cielo","$65,879"
"A Better Life","$59,214"
"Tridtsat sedmoy roman","$55,381"
"Submarine","$53,945"
"Balada triste de trompeta (The Last Circus)","$52,878"
"3 (Three)","$51,393"
"The Kids Are All Right","$49,190"
"Gora Samotsvetov-6","$48,869"
"Four Lions","$47,774"
"Certified Copy","$46,802"
"Un été brûlant","$44,919"
"Mine vaganti (Loose Cannons)","$42,735"
"Chantrapas","$40,837"
"Whatever Works","$40,493"
"Another Year","$38,455"
"Flamenco, Flamenco","$37,381"
"Invisible Sign","$35,470"
"Loong Boonmee raleuk chat (Uncle Boonmee Who Can Recall His Past Lives)","$34,748"
"Moy papa Baryshnikov","$34,404"
"The Tempest","$32,139"
"Cosa voglio di più (What More Do I Want)","$29,972"
"Catfish","$29,366"
"Quartier lointain","$29,171"
"Viski s molokom","$28,772"
"Mammuth","$28,696"
"Le dernier vol","$25,248"
"The Housemaid","$24,548"
"Gop-Stop","$23,891"
"Killing Bono","$23,501"
"Hævnen (In a Better World)","$23,438"
"Siberia, Monamour","$22,700"
"Jodaeiye Nader az Simin (A Seperation)","$22,301"
"Dom vetra","$22,133"
"Les émotifs anonymes","$20,811"
"The Future","$18,593"
"L'Autre Monde","$17,588"
"Zolotaya rybka v gorode n","$17,543"
"Samka","$16,643"
"La guerre est déclarée (Declaration of War)","$14,848"
"Shan zha shu zhi lian (The Love of the Hawthorn Tree)","$14,581"
"Le quattro volte","$14,441"
"Akmareul boattda (I Saw the Devil)","$14,395"
"Le marquis","$13,521"
"Todo lo que tú quieras","$12,991"
"La Rafle. (The Round-Up)","$12,911"
"Jûsan-nin no shikaku (13 Assassins)","$12,784"
"Step by Step","$12,255"
"Schastye moe (My Joy)","$11,284"
"Poupoupidou","$10,773"
"Okhotnik (The Hunter)","$10,705"
"Bezdelniki","$10,160"
"The Extra Man","$10,071"
"Hierro","$9,891"
"Beautiful Boy","$8,900"
"Das Leben ist zu lang","$7,627"
"8 1/2 (3D)","$6,692"
"Kalachi","$6,603"
"Revolución","$6,564"
"Paren' s Marsa (Guys from Mars)","$6,546"
"A Bitter Taste of Freedom","$5,928"
"Bedevilled","$5,500"
"Les signes vitaux (Vital Signs)","$5,302"
"Rodina ili smert","$4,494"
"Gromozeka","$4,492"
"Soul Boy","$4,466"
"Incendies","$4,310"
"The Mill and the Cross","$4,088"
"Vénus noire (Black Venus)","$3,946"
"Zona turbulentnosti","$3,782"
"Brando Unauthorized","$3,123"
"La fée (The Fairy)","$2,592"
"Legko li by molodym?","$460"
