" Movie Title"," Gross"
"The Smurfs","$8,810,976"
"Rio","$8,344,012"
"Puss in Boots","$7,535,641"
"Pirates of the Caribbean: On Stranger Tides (3D)","$7,104,868"
"Transformers 3","$6,509,850"
"Kung Fu Panda 2","$6,058,351"
"Harry Potter and the Deathly Hallows (Part Two)","$5,824,042"
"Tangled","$5,315,615"
"Cars 2","$5,040,489"
"Fast Five","$4,189,027"
"The Twilight Saga: Breaking Dawn Part 1","$3,727,908"
"Real Steel","$3,553,970"
"Captain America: The First Avenger","$2,777,753"
"Mission: Impossible - Ghost Protocol","$2,666,132"
"Rise of the Planet of the Apes","$2,648,858"
"Yogi Bear","$2,605,932"
"Thor","$2,468,907"
"Final Destination 5","$2,443,829"
"X-Men: First Class","$2,415,918"
"Green Lantern","$2,225,434"
"The Rite","$2,051,873"
"The Hangover Part II","$1,626,982"
"The Lion King (in 3D)","$1,596,456"
"Rango","$1,594,851"
"Paranormal Activity 3","$1,497,448"
"Alvin and the Chipmunks: Chipwrecked","$1,428,488"
"The Three Musketeers (2011)","$1,414,817"
"Black Swan","$1,355,605"
"The Tourist","$1,347,504"
"Happy Feet Two","$1,328,459"
"The Green Hornet","$1,244,724"
"Just Go With It","$1,218,601"
"The King's Speech","$1,187,971"
"Mr. Popper's Penguins","$1,109,546"
"Johnny English Reborn","$1,085,728"
"Battle: Los Angeles","$1,060,086"
"Zookeeper","$986,779"
"Dolphin Tale","$968,532"
"Arthur Christmas","$967,901"
"Red Riding Hood","$966,807"
"Mars Needs Moms","$885,922"
"Season of the Witch","$884,949"
"Hop","$858,268"
"Jack and Jill","$824,864"
"Contagion","$822,477"
"Sanctum (3D)","$770,917"
"Little Fockers","$704,965"
"I Am Number Four","$701,532"
"Big Mommas: Like Father, Like Son","$698,749"
"Dream House","$625,231"
"Unstoppable","$601,459"
"The Last Exorcism","$589,137"
"Priest","$574,642"
"New Year's Eve","$542,500"
"No Strings Attached","$541,711"
"Horrible Bosses","$539,528"
"Crazy, Stupid, Love.","$526,128"
"In Time","$498,075"
"Friends with Benefits","$449,458"
"Hereafter","$443,942"
"Abduction","$434,319"
"Cowboys & Aliens","$409,114"
"Super 8","$401,306"
"Larry Crowne","$384,347"
"Bad Teacher","$375,554"
"Love and Other Drugs","$361,965"
"Hall Pass","$343,461"
"The Change-Up","$342,932"
"Skyline","$288,896"
"Water for Elephants","$253,533"
"Justin Bieber: Never Say Never","$246,165"
"War Horse","$223,774"
"Unknown","$223,071"
"Gnomeo and Juliet","$220,054"
"The Adjustment Bureau","$220,020"
"Dorian Gray","$219,487"
"Le concert (2009)","$213,360"
"127 Hours","$211,659"
"What's Your Number?","$202,594"
"Drive Angry","$197,097"
"Los ojos de Julia (Julia's Eyes)","$193,731"
"Faster","$187,153"
"Des hommes et des dieux (Of Gods and Men)","$155,019"
"True Grit","$145,076"
"Arthur (2011)","$134,909"
"The Resident","$130,394"
"Jackass 3-D","$128,245"
"Open Season 3","$120,817"
"Colombiana","$116,266"
"Monte Carlo","$116,202"
"Sucker Punch","$107,016"
"Burlesque","$97,482"
"Fair Game (2010)","$96,136"
"Paul","$93,952"
"Something Borrowed","$87,015"
"Charlie St. Cloud","$86,743"
"Secretariat","$81,784"
"Chloe","$76,990"
"Centurion","$75,164"
"The Children","$74,177"
"Whatever Works","$72,064"
"Dorothy mills","$65,454"
"Le Premier jour du reste de ta vie","$59,393"
"Brooklyn's Finest","$58,096"
"Beginners","$55,256"
"African Cats","$54,897"
"Die Fremde","$52,870"
"Another Year","$50,565"
"Restless (2011)","$47,678"
"Bridesmaids","$45,759"
"Fish Tank","$42,181"
"The Kids Are All Right","$40,303"
"Son of Babylon","$36,201"
"The Killer Inside Me","$34,251"
"Solitary Man","$34,099"
"Winnie the Pooh","$30,937"
"The Human Resources Manager","$29,584"
"Inside Job","$28,627"
"Pope Joan","$25,965"
"The American","$25,394"
"Somewhere","$23,480"
"Straw Dogs (2010)","$22,519"
"El baile de la Victoria (The Dancer and the Thief)","$21,721"
"The Boys Are Back","$15,596"
"Roman de gare","$5,736"
