" Movie Title"," Distributor"," Gross"," Release"
"Avatar","Fox","$1,646,183","12/17"
"Fly Me to the Moon","n/a","$1,004,708","1/15"
"Slumdog Millionaire","Bontonfilm","$800,872","2/26"
"Ice Age: Dawn of the Dinosaurs","Fox","$726,552","7/2"
"The Twilight Saga: New Moon","n/a","$669,103","11/19"
"2012","Sony","$620,088","11/12"
"Harry Potter and the Half Blood Prince","WB","$609,514","7/23"
"Bolt","Falcon","$597,946","1/15"
"Brüno","n/a","$447,713","7/9"
"Angels & Demons","Sony","$442,387","5/14"
"Inglourious Basterds","UIP","$440,480","9/3"
"Sherlock Holmes","WB","$419,040","12/24"
"The Hangover","WB","$388,531","6/11"
"Marley and Me","Bontonfilm","$359,903","3/26"
"Up","Disney","$299,920","8/6"
"Normal","Bontonfilm","$293,007","3/26"
"The Ugly Truth","Sony","$289,413","9/17"
"Arthur et la vengeance de Maltazard","n/a","$266,662","12/31"
"Transformers: Revenge of the Fallen","UIP","$257,475","6/24"
"Knowing","n/a","$252,545","5/21"
"My Life in Ruins","n/a","$230,251","8/27"
"Terminator Salvation: The Future Begins","Sony","$220,648","6/4"
"Law Abiding Citizen","n/a","$216,555","12/3"
"Monsters Vs. Aliens","UIP","$215,345","4/2"
"Fast and Furious","UIP","$207,920","4/9"
"Star Trek","UIP","$206,166","5/7"
"The Proposal","Disney","$203,171","7/30"
"Yes Man","n/a","$202,576","1/8"
"The Curious Case of Benjamin Button","n/a","$202,046","2/5"
"My Bloody Valentine 3-D","Bioscop","$191,210","2/12"
"He's Just Not That Into You","WB","$187,385","3/5"
"The Rebound","n/a","$180,949","12/31"
"The Final Destination","WB","$173,335","10/8"
"Couples Retreat","UIP","$163,400","12/10"
"Night at the Museum: Battle of the Smithsonian","Fox","$159,298","5/21"
"Public Enemies","UIP","$158,667","8/13"
"The Tale of Despereaux","n/a","$130,263","1/1"
"Niko - Lentäjän poika (Niko & The Way to the Stars)","n/a","$129,976","11/12"
"Surrogates","Disney","$128,472","10/1"
"X-Men Origins: Wolverine","Continental","$126,524","4/30"
"A Christmas Carol (2009)","Disney","$125,995","11/26"
"Michael Jackson's This Is It","Sony","$108,196","10/28"
"Watchmen","UIP","$105,768","3/19"
"The Fourth Kind","n/a","$104,760","12/31"
"Valkyrie","Fox","$103,797","2/26"
"Changeling","n/a","$102,477","2/5"
"Gran Torino","WB","$101,156","4/16"
