" Movie Title"," Distributor"," Gross"," Release"
"Vratné lahve","Falcon","$6,069,821","3/8"
"Harry Potter and the Order of the Phoenix","WB","$3,280,377","7/19"
"Shrek the Third","Bontonfilm","$3,196,203","6/14"
"The Simpsons Movie","Bontonfilm","$2,764,086","7/26"
"Medvidek","Falcon","$2,564,084","9/6"
"Gympl","Falcon","$2,490,596","9/27"
"Pirates of the Caribbean: At World's End","Falcon","$2,148,858","5/24"
"Ratatouille","Falcon","$2,030,119","9/13"
"Václav","SPI Int'l","$1,708,130","12/6"
"Bestiar","Bioscop","$1,209,335","4/19"
"Roming","Falcon","$1,067,489","5/31"
"Goya's Ghosts","Hollywood","$963,041","2/1"
"Spider-Man 3","Falcon","$900,277","5/3"
"The Golden Compass","WB","$884,673","12/13"
"300","WB","$883,797","3/22"
"Night at the Museum","Bontonfilm","$863,220","1/18"
"Mr. Bean's Holiday","Bontonfilm","$853,444","3/29"
"La Môme (La Vie en Rose)","Bioscop","$726,572","6/14"
"Bee Movie","Bontonfilm","$725,755","12/6"
"Tajnosti","Bontonfilm","$692,198","5/17"
"Once","Bontonfilm","$618,253","10/25"
"Transformers","Bontonfilm","$578,012","8/16"
"Chytte doktora","Bontonfilm","$560,728","11/29"
"Stardust","Bontonfilm","$554,900","9/27"
"Ocean's Thirteen","WB","$553,102","7/5"
"Kvaska","Hollywood","$542,016","2/22"
"Live Free or Die Hard","Bontonfilm","$520,881","6/28"
"Posledni plavky","Bioscop","$494,188","11/8"
"Surf's Up","Falcon","$454,410","8/9"
"Elizabeth: The Golden Age","Bontonfilm","$446,938","11/22"
"Alien vs. Predator - Requiem","Bontonfilm","$428,441","12/27"
"P.S. I Love You","SPI Int'l","$410,772","12/20"
"Babel","Bioscop","$407,577","2/22"
"The Bourne Ultimatum","Bontonfilm","$393,641","8/30"
"Alvin and the Chipmunks","Bontonfilm","$365,778","12/20"
"1408","Palace","$352,775","10/11"
"Maharal - tajemstvi talismanu","Bontonfilm","$334,728","2/15"
"Next","Hollywood","$314,518","8/2"
"Saw III","Hollywood","$306,299","1/4"
"Apocalypto","Bioscop","$302,072","1/25"
"Hannibal Rising","SPI Int'l","$297,371","2/22"
"Knocked Up","Bontonfilm","$272,846","10/4"
"The Queen","SPI Int'l","$262,808","2/15"
"Shark Bait (a.k.a. The Reef)","Blue Sky","$261,868","2/22"
"Saw IV","Hollywood","$255,636","10/25"
"Beowulf","WB","$254,814","11/29"
"Bridge to Terabithia","SPI Int'l","$233,693","3/15"
"Blood Diamond","WB","$215,910","1/25"
"Taxi 4","SPI Int'l","$207,405","4/12"
"Pusinky","Hollywood","$205,220","4/5"
"The Heartbreak Kid","Bontonfilm","$197,296","11/15"
"Arthur et les Minimoys (Arthur and the Invisibles)","Bioscop","$167,256","3/8"
"Ghost Rider","Falcon","$166,945","3/15"
"Music and Lyrics","WB","$163,334","3/15"
"Mr. Magorium's Wonder Emporium","Bioscop","$158,795","12/27"
"30 Days of Night","Blue Sky","$158,544","11/1"
"Resident Evil: Extinction","Falcon","$154,881","11/15"
"Sunshine","Bontonfilm","$146,125","4/19"
"Fantastic Four: Rise of the Silver Surfer","Bontonfilm","$143,823","7/5"
"Enchanted","Falcon","$141,083","11/29"
"El Laberinto del Fauno (Pan's Labyrinth)","Aerofilms","$139,328","8/9"
"Meet the Robinsons","Falcon","$139,129","4/5"
"The Kingdom","Bontonfilm","$134,508","10/11"
"Hitman","Bontonfilm","$133,649","12/13"
"Rocky Balboa","Bontonfilm","$128,133","3/1"
"Mr. Brooks","Bontonfilm","$126,607","8/9"
"The Prestige","WB","$125,668","1/4"
"Shooter","Bontonfilm","$111,057","4/26"
"Grindhouse: Death Proof","Palace","$108,661","7/5"
"The Nanny Diaries","Palace","$106,195","12/6"
"Disturbia","Bontonfilm","$106,092","9/20"
"The Painted Veil","Bioscop","$104,660","5/10"
"Zodiac","WB","$99,261","6/7"
"Das Leben der Anderen (The Lives of Others)","Bontonfilm","$94,204","1/4"
"Evan Almighty","Bontonfilm","$85,361","8/23"
"Halloween (2007)","Palace","$84,173","11/29"
"No Reservations","WB","$83,019","9/13"
"Charlotte's Web","Bontonfilm","$81,737","1/25"
"The Hills Have Eyes 2","Bontonfilm","$77,696","4/12"
"Hostel Part II","Falcon","$75,804","7/12"
"Because I Said So","SPI Int'l","$75,007","6/7"
"I Now Pronounce You Chuck and Larry","Bontonfilm","$73,606","9/20"
"Kunsten å tenke negativt (The Art of Negative Thinking)","CinemArt","$73,076","10/18"
"Factory Girl","Bioscop","$70,768","7/12"
"The Ugly Duckling and Me!","35 Milim","$70,110","5/10"
"Grindhouse: Planet Terror","Palace","$68,498","8/23"
"TMNT","Palace","$66,644","4/19"
"Perfect Stranger","Falcon","$66,313","4/19"
"Smokin' Aces","Bontonfilm","$65,813","2/15"
