" Movie Title"," Gross"
"Bathory","$4,578,320"
"Mamma Mia!","$4,039,207"
"Madagascar: Escape 2 Africa","$3,550,816"
"Nestyda","$2,726,628"
"Sneženky a machri po 25 letech","$2,394,667"
"Bobule","$2,180,311"
"Astérix aux jeux olympiques","$1,999,982"
"Indiana Jones and the Kingdom of the Crystal Skull","$1,779,716"
"Kozi pribeh - Povesti stare Prahy","$1,404,133"
"Quantum of Solace","$1,397,782"
"Taková normální rodinka","$1,328,989"
"Nejkrásnìjší hádanka","$1,305,699"
"Venkovský ucitel","$1,273,173"
"The Chronicles of Narnia: Prince Caspian","$1,214,582"
"Kung Fu Panda","$1,177,260"
"U me dobry","$1,165,011"
"Wall-E","$1,129,800"
"Hancock","$1,107,777"
"The Dark Knight","$1,078,226"
"The Mummy: Tomb of the Dragon Emperor","$1,059,386"
"Na vlastni nebezpeci","$1,011,832"
"Sex and the City","$952,049"
"Obcan Havel","$861,686"
"Máj","$790,167"
"Frantisek je devkar","$787,607"
"Step Up 2 the Streets","$774,595"
"National Treasure: Book of Secrets","$713,051"
"High School Musical 3: Senior Year","$627,914"
"I Am Legend","$615,806"
"Wanted","$585,802"
"10,000 B.C.","$580,469"
"O rodicích a detech","$569,532"
"O zivot","$554,505"
"American Gangster","$549,025"
"Tobruk","$548,641"
"Australia","$541,082"
"Svatba na bitevním poli","$537,181"
"Sweeney Todd: The Demon Barber of Fleet Street","$519,237"
"Vy nám taky séfe!","$498,588"
"The Spiderwick Chronicles","$491,707"
"Dr. Seuss' Horton Hears a Who!","$477,500"
"Tropic Thunder","$468,367"
"You Don't Mess with the Zohan","$452,225"
"No Country for Old Men","$445,077"
"Atonement","$441,792"
"Hlídac c. 47","$432,616"
"Twilight","$410,286"
"Iron Man","$400,223"
"Open Season 2","$394,610"
"Hellboy II: The Golden Army","$374,089"
"Rambo","$342,944"
"Deti noci - Ofka","$334,473"
"Vicky Cristina Barcelona","$327,089"
"The Day the Earth Stood Still (2008)","$325,332"
"What Happens in Vegas","$305,118"
"Jumper","$303,605"
"Karamazovi","$297,455"
"The X-Files: I Want to Believe","$274,026"
"Saw V","$265,450"
"The Bucket List","$254,265"
"Eagle Eye","$241,665"
"Superhero Movie","$220,614"
"Chasseurs de dragons (Dragon Hunters)","$206,085"
"Made of Honor","$199,226"
"El Orfanato (The Orphanage)","$187,693"
"Body of Lies","$160,781"
"Space Chimps","$159,371"
"27 Dresses","$151,177"
"Max Payne","$150,211"
"Charlie Wilson's War","$150,185"
"Anglické jahody","$148,592"
"The Happening","$148,181"
"The Incredible Hulk","$147,445"
"Eastern Promises","$144,248"
"The Other Boleyn Girl","$142,540"
"Mirrors","$134,905"
"Doomsday","$134,702"
"Cloverfield","$133,014"
"Four Christmases","$132,338"
"21","$125,556"
"Into the Wild","$124,262"
"Paris, je t'aime","$123,848"
"Forgetting Sarah Marshall","$117,394"
"L'Instinct de mort","$115,581"
"Meet Dave","$114,041"
"The Women (2008)","$113,095"
"Mongol","$108,419"
"Vantage Point","$108,182"
"Niko - Lentäjän poika (Niko & The Way to the Stars)","$107,033"
"Journey to the Center of the Earth","$103,779"
"We Own the Night","$102,948"
"Michael Clayton","$102,682"
"Disaster Movie","$97,067"
"Untraceable","$95,571"
"Death Race","$91,325"
"Kdopak by se vlka bál?","$91,270"
"The Eye","$90,219"
"The Forbidden Kingdom","$83,466"
"There Will Be Blood","$82,068"
"Speed Racer","$81,609"
"Love in the Time of Cholera","$81,216"
"Jan Saudek","$81,114"
"My Blueberry Nights","$79,818"
"The Strangers","$73,962"
"Make It Happen","$68,375"
"Fool's Gold","$67,218"
"Nim's Island","$65,659"
"Taken","$58,146"
"Get Smart","$57,774"
"Shutter","$56,297"
"Lissi und der wilde Kaiser","$55,814"
"2 Days in Paris","$55,590"
"Juno","$54,757"
"In Bruges","$52,658"
"Then She Found Me","$51,810"
"Ceská RAPublika","$47,271"
"Katyn","$46,149"
"Die Welle (The Wave)","$45,311"
"Star Wars: The Clone Wars","$44,618"
"3:10 to Yuma (2007)","$41,298"
"Si jie (Lust, Caution)","$39,830"
"Shine a Light","$38,506"
"Winx club - Il segreto del regno perduto (Winx Club: The Secret of the Lost Kingdom)","$35,756"
"Frontière(s)","$33,107"
"Bangkok Dangerous (2008)","$27,955"
"Paris (2008)","$27,805"
"Der Rote Baron","$27,065"
"Falco - Verdammt, wir leben noch!","$24,022"
"Nights in Rodanthe","$22,920"
"12","$22,747"
"Kulicky","$20,440"
"Be Kind, Rewind","$19,982"
"Penelope","$19,620"
"Hank a Mike","$16,720"
"... a bude hur","$16,379"
"Wedding Daze","$16,253"
"Funny Games","$14,736"
"The Darjeeling Limited","$11,369"
"Efter brylluppet (After the Wedding)","$11,203"
"The Kite Runner","$10,867"
"Frygtelig lykkelig (Terribly Happy)","$8,844"
"Control (2007)","$7,898"
"Malé oslavy","$7,886"
"René","$6,783"
"Le Scaphandre et le papillon (The Diving Bell and the Butterfly)","$6,690"
"Before the Devil Knows You're Dead","$6,669"
"Slepé lásky","$6,655"
"Reservation Road","$6,638"
"Repo: The Genetic Opera","$6,470"
"Absurdistan","$5,282"
"Elegy","$4,837"
"Gone Baby Gone","$3,757"
"Annie Leibovitz: Life Through a Lens","$3,272"
"Closing the Ring","$2,879"
"Polocas rozpadu","$2,625"
"In the Valley of Elah","$1,886"
"Sleuth (2007)","$340"
