" Movie Title"," Distributor"," Gross"," Release"
"Pirates of the Caribbean: At World's End","BVI","$9,525,999","5/23"
"Harry Potter and the Order of the Phoenix","Sandrew","$9,295,332","7/13"
"Shrek the Third","UIP","$6,628,693","8/31"
"Ratatouille","Dis./Sony","$5,540,087","10/5"
"Live Free or Die Hard","Filmcompagniet","$4,464,678","6/27"
"The Simpsons Movie","Filmcompagniet","$4,221,769","8/3"
"Anja og Viktor - brændende kærlighed","BVI","$3,959,726","1/19"
"Spider-Man 3","BVI","$3,757,066","5/3"
"The Golden Compass","Filmcompagniet","$3,551,858","12/7"
"I Am Legend","Sandrew","$3,443,353","12/25"
"Guldhornene","Filmcompagniet","$3,049,142","10/12"
"Ledsaget udgang","Nordisk","$2,968,181","1/12"
"The Bourne Ultimatum","UIP","$2,321,619","8/17"
"Kærlighed på film (Just Another Love
Story)","Filmcompagniet","$2,259,463","8/24"
"Tempelriddernes skat II","Nordisk","$2,245,249","3/30"
"Eastern Promises","Svensk","$2,228,604","9/28"
"Mr. Bean's Holiday","UIP","$2,228,102","3/30"
"Kunsten at græde i kor (The Art of Crying)","SF Film","$2,207,670","4/27"
"De Fortabte sjæles ø","Nordisk","$2,187,725","2/9"
"Vikaren (The Substitute)","Filmcompagniet","$2,178,009","6/15"
"Bee Movie","UIP","$2,148,853","12/25"
"Transformers","UIP","$2,116,888","7/4"
"Night at the Museum","Fox","$2,078,978","2/9"
"300","Sandrew","$1,942,519","3/30"
"Enchanted","Dis./Sony","$1,759,450","12/19"
"Karlas kabale","Nordisk","$1,711,260","11/9"
"Rush Hour 3","Svensk","$1,563,398","9/14"
"Ocean's Thirteen","Sandrew","$1,538,878","6/8"
"Den Sorte Madonna","Nordisk","$1,490,180","3/9"
"Jungledyret Hugo: Fræk, flabet og fri","Nordisk","$1,397,934","12/21"
"Til døden os skiller (With Your Permission)","Nordisk","$1,342,964","9/28"
"Blood Diamond","WB","$1,324,909","1/26"
"Elizabeth: The Golden Age","UIP","$1,307,335","11/16"
"Rich Kids","UIP","$1,297,532","3/2"
"Cykelmyggen og dansemyggen","Nordisk","$1,268,667","6/8"
"Arthur et les Minimoys (Arthur and the Invisibles)","Scanbox","$1,259,305","2/9"
"Hitman","Filmcompagniet","$1,215,600","11/30"
"Becoming Jane","Filmcompagniet","$1,162,239","6/15"
"A Good Year","Fox","$1,135,125","3/9"
"Surf's Up","Dis./Sony","$1,080,461","11/23"
"Kollegiet","Nordisk","$1,051,440","8/10"
"Apocalypto","Scanbox","$1,047,920","1/19"
"Sicko","Filmcompagniet","$962,429","9/21"
"Fantastic Four: Rise of the Silver
Surfer","Filmcompagniet","$937,650","6/15"
"Barnyard: The Original Party Animals","UIP","$882,590","2/2"
"Music and Lyrics","Sandrew","$878,331","4/20"
"The Number 23","SF Film","$874,167","3/23"
"Wild Hogs","BVI","$862,390","4/13"
"Cecilie","Filmfolket","$796,205","6/1"
"Ghost Rider","BVI","$790,247","3/2"
"El Laberinto del Fauno (Pan's Labyrinth)","Camera","$784,428","3/9"
"Zodiac","Sandrew","$755,028","5/18"
"The Heartbreak Kid","UIP","$744,858","10/26"
"TMNT","Nordisk","$706,434","3/30"
"Fighter (Aicha)","Filmfolket","$689,773","12/14"
"Hjemve","Filmfolket","$683,801","3/30"
"Norbit","Fox","$667,121","3/16"
"Evan Almighty","UIP","$658,588","7/27"
"Meet the Robinsons","BVI","$656,393","8/10"
"The Prestige","Sandrew","$640,828","1/5"
"Rocky Balboa","Svensk","$638,988","1/5"
"The Good Shepherd","Nordisk","$632,286","2/23"
"Beowulf","Sandrew","$630,639","11/23"
"Stardust","UIP","$621,780","10/12"
"Superbad","Sony","$611,076","9/21"
"Epic Movie","Filmcompagniet","$604,514","4/27"
"La Môme (La Vie en Rose)","Sandrew","$602,925","4/13"
"Saw IV","Scanbox","$601,124","11/2"
"1408","UIP","$598,268","11/16"
"Hairspray (2007)","Filmcompagniet","$574,645","11/9"
"Shooter","UIP","$555,057","4/20"
"Hvid nat (White Night)","Filmfolket","$540,115","10/26"
"Michael Clayton","Filmcompagniet","$537,395","10/12"
"Saw III","Scanbox","$513,297","1/19"
"Good Bye Bafana","Sandrew","$468,116","9/7"
"The Kingdom","UIP","$441,020","11/2"
"Rendition","Filmcompagniet","$434,290","10/26"
"The Pursuit of Happyness","BVI","$428,499","2/2"
"Dreamgirls","UIP","$425,252","2/9"
"Hannibal Rising","Nordisk","$411,608","2/9"
"The Last King of Scotland","Fox","$391,173","2/2"
"I Now Pronounce You Chuck and Larry","UIP","$389,434","9/28"
"Grindhouse: Death Proof","SF Film","$389,104","6/1"
"Fracture","Filmcompagniet","$379,033","8/10"
"Sunshine","Filmcompagniet","$377,822","4/13"
"En Mand kommer hjem (A Man Comes Home)","Filmfolket","$373,056","9/14"
"Lions for Lambs","Filmcompagniet","$358,240","11/9"
"Knocked Up","UIP","$351,901","9/7"
"The Darjeeling Limited","Filmcompagniet","$312,105","12/25"
"We Own the Night","Sandrew","$293,376","11/16"
