" Movie Title","Distributor","Gross","Release"
"Flammen og Citronen (Flame & Citron)","Filmfolket","$9,210,518","3/28"
"Indiana Jones and the Kingdom of the Crystal Skull","UIP","$8,456,229","5/22"
"Quantum of Solace","Dis./Sony","$7,385,654","11/7"
"The Dark Knight","Sandrew","$7,302,163","7/23"
"Mamma Mia!","UIP","$6,551,644","7/11"
"Sex and the City","Filmcompagniet","$6,419,548","6/6"
"Blå mænd (Take the Trash)","Scanbox","$6,335,959","8/15"
"Kung Fu Panda","UIP","$4,919,839","7/18"
"Rejsen til Saturn (Journey to Saturn)","Nordisk","$4,917,227","9/26"
"Far til Fire på hjemmebane","Scanbox","$4,914,301","10/3"
"To verdener","Nordisk","$4,345,425","2/22"
"Australia","Filmcompagniet","$4,308,167","12/26"
"Madagascar: Escape 2 Africa","UIP","$3,830,482","11/21"
"Hancock","Dis./Sony","$3,764,080","7/16"
"The Kite Runner","Sandrew","$2,989,180","1/25"
"Frode og de andre rødder","Nordisk","$2,899,314","2/8"
"Tempelriddernes skat III","Nordisk","$2,864,081","3/14"
"Anja og Viktor i medgang og modgang","Nordisk","$2,863,531","9/12"
"Alvin and the Chipmunks","Filmcompagniet","$2,850,133","2/1"
"Yes Man","Sandrew","$2,707,572","12/25"
"High School Musical 3: Senior Year","Dis./Sony","$2,655,450","10/24"
"Frygtelig lykkelig (Terribly Happy)","Nordisk","$2,611,930","10/24"
"National Treasure: Book of Secrets","Dis./Sony","$2,591,466","2/8"
"The Chronicles of Narnia: Prince Caspian","Disney","$2,501,829","7/2"
"Wall-E","Disney","$2,478,930","8/29"
"Things We Lost in the Fire","UIP","$2,312,565","1/18"
"American Gangster","UIP","$2,202,784","1/4"
"Iron Man","UIP","$2,189,306","4/30"
"Dr. Seuss' Horton Hears a Who!","Filmcompagniet","$2,098,666","3/14"
"Det som ingen ved (What No One Knows)","Filmfolket","$1,982,005","6/13"
"Arn - Tempelriddaren","Filmcompagniet","$1,971,834","1/11"
"Disco ormene","Svensk","$1,936,776","10/10"
"Kandidaten (The Candidate)","Filmcompagniet","$1,785,030","8/29"
"Max Pinlig","Svensk","$1,694,896","12/5"
"10,000 B.C.","Sandrew","$1,629,334","3/14"
"What Happens in Vegas","Filmcompagniet","$1,372,865","5/9"
"Dig og mig","Nordisk","$1,364,164","8/1"
"Jumper","Filmcompagniet","$1,211,146","2/22"
"Astérix aux jeux olympiques","Sandrew","$1,194,806","2/8"
"Burn After Reading","Svensk","$1,154,407","10/10"
"The Incredible Hulk","UIP","$1,103,737","6/27"
"Tropic Thunder","UIP","$1,075,195","10/10"
"Juno","Filmcompagniet","$1,061,574","2/29"
"Vicky Cristina Barcelona","Scanbox","$1,044,591","11/21"
"The Mummy: Tomb of the Dragon Emperor","UIP","$1,039,087","8/8"
"No Country for Old Men","UIP","$1,030,210","3/7"
"Niko - Lentäjän poika (Niko & The Way to the Stars)","Nordisk","$973,846","12/12"
"Wanted","UIP","$949,614","8/22"
"Body of Lies","Sandrew","$924,738","11/28"
"Superhero Movie","UIP","$919,446","4/4"
"The Day the Earth Stood Still (2008)","Filmcompagniet","$896,755","12/12"
"There Will Be Blood","Disney","$892,076","2/22"
"The Happening","Filmcompagniet","$850,607","6/13"
"Sweeney Todd: The Demon Barber of Fleet Street","Sandrew","$829,804","2/1"
"Alien vs. Predator - Requiem","Filmcompagniet","$811,833","1/11"
"Brideshead Revisited","Filmcompagniet","$794,825","9/26"
"Rambo","Nordisk","$768,651","2/29"
"Cloverfield","UIP","$751,727","2/1"
"The Bucket List","Sandrew","$749,346","3/7"
"Charlie Wilson's War","UIP","$724,333","2/8"
"The X-Files: I Want to Believe","Filmcompagniet","$620,233","8/1"
"Arn - Riket vid vägens slut","Filmcompagniet","$615,882","9/19"
"Love in the Time of Cholera","Scanbox","$615,134","4/25"
"Den du frygter","Nordisk","$592,494","12/19"
"Remix","Filmcompagniet","$556,344","1/25"
"P.S. I Love You","Nordisk","$531,503","4/11"
"Atonement","UIP","$526,352","2/22"
"Mr. Magorium's Wonder Emporium","Nordisk","$512,477","6/20"
"Beverly Hills Chihuahua","Disney","$507,999","12/25"
"Eagle Eye","UIP","$498,540","10/3"
"Hellboy II: The Golden Army","UIP","$492,317","9/5"
"Star Wars: The Clone Wars","Sandrew","$477,540","8/15"
"...Og det var Danmark","Filmcompagniet","$474,534","5/9"
"Meet the Spartans","Filmcompagniet","$471,573","4/17"
"Max Payne","Filmcompagniet","$466,153","10/24"
"The Spiderwick Chronicles","UIP","$434,840","3/14"
"Street Kings","Filmcompagniet","$425,939","4/25"
"21","Disney","$425,887","6/20"
"Forgetting Sarah Marshall","UIP","$421,499","7/4"
"27 Dresses","Filmcompagniet","$402,289","3/28"
"Maria Larssons eviga ögonblick (Everlasting Moments)","Sandrew","$400,100","10/31"
"El Orfanato (The Orphanage)","Camera","$396,048","1/18"
"Saw V","Scanbox","$389,822","10/31"
"You Don't Mess with the Zohan","Dis./Sony","$376,860","9/26"
"Vantage Point","Sony","$366,746","2/22"
"Made of Honor","Dis./Sony","$341,065","5/16"
"Eye for Eye","Nordisk","$317,445","4/3"
"3:10 to Yuma (2007)","Filmcompagniet","$309,343","1/25"
"Get Smart","Sandrew","$308,816","8/29"
"Shine a Light","Nordisk","$292,656","4/17"
"Step Up 2 the Streets","Nordisk","$272,182","6/27"
"Mr. Woodcock","Filmcompagniet","$243,030","1/4"
"Death Race","UIP","$218,931","11/28"
"Four Christmases","Svensk","$214,140","12/5"
"In the Valley of Elah","Sandrew","$212,554","5/23"
"Den Lille soldat","Nordisk","$204,863","11/14"
"Gomorra","Camera","$201,536","10/3"
"Tous à l'Ouest: Une nouvelle aventure de Lucky Luke","Angel","$194,687","6/27"
"Once","Camera","$192,367","8/15"
"Mamma Mu och kråkan","Filmcompagniet","$191,123","12/25"
"Happy-Go-Lucky","Sandrew","$187,640","9/12"
"Dan in Real Life","Filmcompagniet","$187,451","4/17"
"The Other Boleyn Girl","Sandrew","$186,218","8/22"
"The Mist","UIP","$177,055","4/17"
"Gaven","Filmcompagniet","$174,882","4/30"
"Si jie (Lust, Caution)","Sandrew","$173,981","3/14"
"Babylon A.D.","Nordisk","$172,139","10/3"
"Into the Wild","UIP","$171,003","2/29"
"Carsten og Gittes filmballade","Nordisk","$170,786","6/6"
"Untraceable","Filmcompagniet","$165,339","5/16"
"En enkelt til Korsør","Nordisk","$155,333","9/19"
"Control (2007)","Camera","$154,772","1/11"
"The Strangers","Sandrew","$153,901","10/31"
"Quarantine","Dis./Sony","$150,258","12/5"
"Låt den rätte komma in (Let the Right One In)","Miracle","$144,283","12/25"
"RockNRolla","Sandrew","$138,302","12/19"
"Bangkok Dangerous (2008)","Nordisk","$135,853","9/19"
"Cassandra's Dream","Scanbox","$125,629","1/4"
"The Eye","Scanbox","$110,567","4/4"
"Himlens hjärta (Heaven's Heart)","Nordisk","$109,742","4/25"
"Wild Child","UIP","$109,197","12/12"
"Space Chimps","Scanbox","$108,263","8/8"
"The Love Guru","Filmcompagniet","$101,899","9/5"
"Lars and the Real Girl","Miracle","$97,738","7/25"
"The Visitor","Miracle","$96,614","8/22"
"Dansen","Nordisk","$95,708","3/14"
"Shoot 'Em Up","Filmcompagniet","$95,243","3/7"
"Righteous Kill","UIP","$92,855","10/10"
"Caos calmo (Quiet Chaos)","OFP","$86,269","12/12"
"Gå med fred Jamil - Ma salama Jamil","Nordisk","$83,406","5/30"
"Le Renard et l'enfant (The Fox and the Child)","Camera","$80,061","10/31"
"Semi-Pro","Filmcompagniet","$79,440","6/13"
"Doomsday","Scanbox","$77,309","6/6"
"Cleaner","Scanbox","$77,234","4/17"
"Across the Universe","Filmcompagniet","$76,057","6/20"
"Lakeview Terrace","Dis./Sony","$70,620","11/21"
"In Bruges","Scanbox","$70,155","9/5"
"W.","Nordisk","$69,430","12/5"
"Die Welle (The Wave)","Miracle","$69,264","9/12"
"Azul oscuro, casi negro
(DarkBlueAlmostBlack)","Camera","$69,077","5/23"
"Bikur Ha-Tizmoret (The Band's Visit)","n/a","$63,256","6/27"
"Un conte de Noël (A Christmas Tale)","Camera","$59,466","11/14"
"Du levande (You, the Living)","Posthus","$56,571","4/11"
"Blade Runner: The Final Cut","Sandrew","$53,979","5/16"
"Tropa de Elite (Elite Squad)","Miracle","$52,403","8/29"
"Definitely, Maybe","UIP","$48,155","5/30"
"Roskilde","Filmfolket","$47,118","5/16"
"Away from Her","Miracle","$43,233","1/4"
"Stellet licht","OFP","$40,489","8/1"
"It's a Free World...","Miracle","$38,018","5/9"
"Prom Night (2008)","Dis./Sony","$34,212","8/15"
"Hallam Foe","Nordisk","$29,009","2/8"
"Spillets regler","Filmcompagniet","$28,898","4/17"
"The Forbidden Kingdom","Scanbox","$25,192","8/8"
"Le Fils de l'épicier (The Grocer's Son)","Sunrise","$22,453","12/5"
"Un secret (A Secret)","Sunrise","$20,220","8/8"
"Funny Games","Nordisk","$14,885","4/4"
"La Zona","Miracle","$14,844","4/11"
"Miss Pettigrew Lives for a Day","n/a","$14,081","10/31"
"Elegy","Miracle","$13,215","12/25"
"Speed Racer","Sandrew","$13,122","6/20"
"Margot at the Wedding","UIP","$12,940","4/17"
"Irina Palm","Miracle","$11,989","5/2"
"Drillbit Taylor","UIP","$10,684","5/9"
"How She Move","UIP","$10,658","4/25"
"Reservation Road","n/a","$9,655","5/30"
"De Usynlige","Scanbox","$7,134","11/7"
"The Boy in the Striped Pajamas","Disney","$6,329","11/28"
"MollyCam","Angel","$4,858","7/18"
"Stop-Loss","n/a","$4,001","6/20"
"Import/Export","Ost for Paradis","$1,229","7/25"
