" Movie Title"," Gross"
"The Dark Knight","$709,987"
"Hancock","$510,673"
"10,000 B.C.","$430,171"
"What Happens in Vegas","$383,540"
"Body of Lies","$368,885"
"Quantum of Solace","$328,382"
"I Am Legend","$325,690"
"Wanted","$324,788"
"The Mummy: Tomb of the Dragon Emperor","$318,968"
"Indiana Jones and the Kingdom of the Crystal Skull","$307,603"
"The Incredible Hulk","$275,749"
"Iron Man","$265,031"
"Madagascar: Escape 2 Africa","$202,391"
"Mirrors","$202,010"
"The Day the Earth Stood Still (2008)","$198,367"
"Jumper","$196,328"
"Kung Fu Panda","$195,294"
"P.S. I Love You","$187,357"
"Shutter","$178,540"
"The Chronicles of Narnia: Prince Caspian","$171,186"
"Get Smart","$150,311"
"Max Payne","$146,455"
"Made of Honor","$143,370"
"21","$141,649"
"The Happening","$139,800"
"High School Musical 3: Senior Year","$136,107"
"Mamma Mia!","$135,665"
"One Missed Call","$134,528"
"The Strangers","$127,899"
"Vantage Point","$127,136"
"Australia","$117,276"
"Alvin and the Chipmunks","$115,851"
"Eagle Eye","$107,146"
"Death Race","$99,974"
"Tropic Thunder","$98,262"
"Fool's Gold","$97,155"
"American Gangster","$93,748"
"Four Christmases","$93,007"
"Cloverfield","$88,589"
"Prom Night (2008)","$86,554"
"Nights in Rodanthe","$83,715"
"Street Kings","$82,208"
"Bedtime Stories","$81,150"
"Burn After Reading","$81,056"
"Alien vs. Predator - Requiem","$71,118"
"Charlie Wilson's War","$69,797"
"Definitely, Maybe","$69,636"
"The Bucket List","$69,070"
"Babylon A.D.","$68,817"
"Hellboy II: The Golden Army","$63,321"
"Sukkar banat (Caramel)","$61,515"
"Dr. Seuss' Horton Hears a Who!","$59,528"
"The Mist","$59,040"
"The Women (2008)","$57,633"
"P2","$57,186"
"Enchanted","$54,582"
"Bahr Al Nujoom (Sea Of Stars)","$53,325"
"College Road Trip","$52,628"
"Welcome Home Roscoe Jenkins","$46,860"
"The X-Files: I Want to Believe","$45,857"
"Step Up 2 the Streets","$41,049"
"I Know Who Killed Me","$40,241"
"Punisher: War Zone","$39,332"
"Wall-E","$37,253"
"Never Back Down","$36,732"
"No Country for Old Men","$35,187"
"Doomsday","$35,035"
"Atonement","$33,818"
"Disaster Movie","$33,505"
"The Golden Compass","$32,612"
"Bolt","$31,973"
"Nim's Island","$31,048"
"The Kite Runner","$30,342"
"Rogue","$29,745"
"The Spiderwick Chronicles","$29,630"
"Baby Mama","$28,722"
"There Will Be Blood","$26,989"
"Halloween (2007)","$26,939"
"Untraceable","$26,766"
"The Game Plan","$26,375"
"Rendition","$26,359"
"Shoot 'Em Up","$25,150"
"Awake","$25,014"
"Wild Child","$24,221"
"The House Bunny","$23,478"
"Hairspray (2007)","$22,930"
"Beverly Hills Chihuahua","$22,715"
"Lakeview Terrace","$22,514"
"Speed Racer","$20,243"
"The Water Horse: Legend of the Deep","$19,508"
"All the Boys Love Mandy Lane","$18,047"
"Sweeney Todd: The Demon Barber of Fleet Street","$18,043"
"Eastern Promises","$17,206"
"The Love Guru","$16,634"
"3:10 to Yuma (2007)","$16,587"
"The Assassination of Jesse James by the Coward Robert Ford","$16,046"
"Feast of Love","$15,059"
"In the Valley of Elah","$14,179"
"Funny Games","$13,133"
"La Môme (La Vie en Rose)","$11,885"
"Leatherheads","$10,657"
"Married Life","$10,500"
"Drillbit Taylor","$8,366"
"Death at a Funeral","$7,141"
"The Other Boleyn Girl","$7,079"
"Wedding Daze","$4,947"
"Chrysalis","$4,254"
"La Graine et le mulet (The Secret of the Grain)","$3,142"
"Zozo","$2,644"
"Across the Universe","$2,252"
"La Masseria delle allodole","$1,787"
"Indigènes (Days of Glory)","$1,228"
"L'Entente cordiale","$224"
"Je m'appelle Elisabeth","$96"
