" Movie Title"," Distributor"," Gross"," Release"
"Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$768,158","5/18"
"Harry Potter and the Deathly Hallows (Part Two)","WB","$637,962","7/13"
"The Twilight Saga: Breaking Dawn Part 1","n/a","$589,363","11/16"
"Fast Five","UIP","$447,618","5/4"
"Transformers 3","UIP","$379,866","6/29"
"The Hangover Part II","WB","$345,540","5/25"
"Final Destination 5","WB","$341,593","9/21"
"Mission: Impossible - Ghost Protocol","UIP","$334,987","12/14"
"Rise of the Planet of the Apes","Fox","$316,109","8/24"
"Sherlock Holmes: A Game of Shadows","WB","$283,882","12/21"
"Kung Fu Panda 2","UIP","$268,439","6/1"
"The Smurfs","Sony","$263,629","8/31"
"In Time","Fox","$245,302","10/26"
"Rio","Fox","$222,373","4/27"
"Cars 2","Disney","$194,897","6/22"
"Mr. Popper's Penguins","Fox","$190,783","6/29"
"The Adventures of Tintin","Sony","$182,549","11/2"
"Horrible Bosses","WB","$180,056","7/20"
"Killer Elite","n/a","$179,444","9/28"
"X-Men: First Class","Fox","$175,533","6/1"
"Green Lantern","WB","$166,999","6/15"
"The Rite","WB","$164,664","3/9"
"Real Steel","Disney","$161,992","10/5"
"Thor","UIP","$156,908","4/27"
"New Year's Eve","WB","$148,431","12/7"
"Gulliver's Travels","Fox","$145,820","1/19"
"The Lion King (in 3D)","Disney","$140,459","10/19"
"Larry Crowne","n/a","$140,287","6/29"
"Bad Teacher","Sony","$135,847","6/22"
"Unknown","WB","$132,107","3/23"
"Fright Night (2011)","Disney","$124,957","8/24"
"Alvin and the Chipmunks: Chipwrecked","Fox","$123,615","12/14"
"Just Go With It","Sony","$122,998","2/23"
"Crazy, Stupid, Love.","WB","$122,191","10/5"
"Scream 4","n/a","$118,717","4/27"
"Source Code","UMP","$118,448","3/30"
"Shark Night 3D","n/a","$111,617","9/14"
"Captain America: The First Avenger","UIP","$110,427","8/31"
"No Strings Attached","UIP","$88,829","3/30"
"Something Borrowed","n/a","$87,322","6/8"
"Puss in Boots","UIP","$85,001","11/16"
"Seeking Justice","n/a","$82,165","12/14"
"Tower Heist","UIP","$76,113","11/23"
"Super 8","UIP","$75,128","6/15"
"Johnny English Reborn","UIP","$70,113","10/12"
"Sanctum (3D)","n/a","$67,968","2/23"
"The Adjustment Bureau","UIP","$67,013","4/13"
"The Darkest Hour","Fox","$64,749","12/28"
"I Am Number Four","Disney","$62,512","3/2"
"The Change-Up","UIP","$62,369","9/28"
"Jack and Jill","Sony","$60,701","11/30"
"The Lincoln Lawyer","n/a","$60,573","4/20"
"Big Mommas: Like Father, Like Son","Fox","$60,207","3/16"
"Fair Game (2010)","UMP","$60,014","1/19"
"Happy Feet Two","WB","$59,389","11/30"
"Hall Pass","WB","$58,010","4/13"
"Zookeeper","Sony","$55,021","7/20"
"Hop","UIP","$52,702","4/20"
"The Ward (2011)","n/a","$50,033","7/20"
"Priest","Sony","$47,672","5/25"
"Cowboys & Aliens","UIP","$47,664","10/5"
"The King's Speech","n/a","$41,730","3/2"
"Battle: Los Angeles","Sony","$41,459","4/6"
"Paranormal Activity 3","UIP","$40,599","10/19"
"Rango","UIP","$39,385","4/13"
"Hanna","n/a","$39,051","7/6"
"Water for Elephants","Fox","$33,936","5/25"
"Red Riding Hood","WB","$32,990","4/20"
"The Hole (2010)","n/a","$30,657","6/8"
"Arthur Christmas","Sony","$30,350","12/21"
"The Eagle","n/a","$30,102","4/6"
"The Roommate","Sony","$26,751","4/20"
"I Don't Know How She Does It","n/a","$26,520","11/23"
"Ironclad","n/a","$26,406","5/11"
"Burlesque","Sony","$24,472","1/5"
"Spy Kids: All the Time in the World","n/a","$24,366","9/14"
"Yogi Bear","WB","$24,312","1/26"
"Bridesmaids","UIP","$23,798","9/14"
"Let Me In","n/a","$22,052","1/12"
"Love and Other Impossible Pursuits","n/a","$20,774","5/4"
"StreetDance 3D","n/a","$20,676","3/9"
"The Dilemma","UIP","$20,288","2/23"
"Paul","UIP","$19,858","5/11"
"Et maintenant, on va où? (Where Do We Go Now?)","n/a","$18,820","12/21"
"Honey 2","UIP","$17,840","7/6"
"Footloose (2011)","UIP","$16,923","10/26"
"Sucker Punch","WB","$15,635","5/4"
"Justin Bieber: Never Say Never","UIP","$15,521","4/6"
"Shanghai","n/a","$15,405","1/5"
"One Day","n/a","$13,998","9/28"
"True Grit","UIP","$12,403","3/2"
"Moneyball","Sony","$12,300","12/7"
"Last Night","n/a","$11,642","6/22"
"The Muppets","Disney","$10,920","12/21"
"Morning Glory","UIP","$7,765","2/16"
"Tomorrow, When the War Began","n/a","$6,598","5/25"
"Straw Dogs (2010)","Sony","$5,322","11/23"
"The Green Hornet","Sony","$4,585","1/12"
"Twelve","n/a","$3,751","3/23"
"Mars Needs Moms","Disney","$2,562","3/16"
