" Movie Title"," Gross"
"Sex and the City","$394,087"
"Mamma Mia!","$371,601"
"Quantum of Solace","$357,298"
"Dr. Seuss' Horton Hears a Who!","$305,929"
"Indiana Jones and the Kingdom of the Crystal Skull","$276,765"
"Detsembrikuumus (Decemberheat)","$260,220"
"Kung Fu Panda","$256,412"
"Madagascar: Escape 2 Africa","$255,037"
"Hancock","$252,185"
"Wall-E","$246,032"
"The Dark Knight","$239,130"
"Journey to the Center of the Earth","$231,938"
"Fly Me to the Moon","$222,617"
"Wanted","$212,791"
"The Mummy: Tomb of the Dragon Emperor","$209,527"
"What Happens in Vegas","$186,816"
"Jumper","$157,099"
"10,000 B.C.","$153,429"
"I Am Legend","$102,995"
"Tropic Thunder","$101,645"
"Australia","$101,258"
"The Chronicles of Narnia: Prince Caspian","$101,117"
"27 Dresses","$96,217"
"The X-Files: I Want to Believe","$95,136"
"Max Payne","$94,240"
"Step Up 2 the Streets","$90,180"
"You Don't Mess with the Zohan","$89,263"
"Fool's Gold","$86,561"
"The Day the Earth Stood Still (2008)","$85,894"
"Atonement","$84,581"
"The Happening","$84,274"
"Iron Man","$83,069"
"Mirrors","$81,569"
"Samiy luchshiy film (The Very Best Film)","$78,690"
"Death Race","$75,506"
"Saw V","$75,256"
"Cloverfield","$74,766"
"Burn After Reading","$74,323"
"Pineapple Express","$74,086"
"Get Smart","$73,131"
"The House Bunny","$64,435"
"Transporter 3","$64,179"
"Sweeney Todd: The Demon Barber of Fleet Street","$62,705"
"Disaster Movie","$62,050"
"Definitely, Maybe","$61,853"
"Twilight","$61,400"
"No Country for Old Men","$61,224"
"Step Brothers","$57,837"
"Rambo","$54,832"
"Forgetting Sarah Marshall","$52,879"
"Body of Lies","$52,873"
"Righteous Kill","$52,329"
"Street Kings","$50,220"
"High School Musical 3: Senior Year","$49,360"
"Made of Honor","$49,095"
"Eagle Eye","$47,024"
"21","$44,194"
"Bedtime Stories","$44,182"
"The Bucket List","$42,893"
"Four Christmases","$42,746"
"The Ruins","$40,835"
"Meet Dave","$38,956"
"Prom Night (2008)","$38,428"
"Nights in Rodanthe","$38,362"
"The Other Boleyn Girl","$37,545"
"U2 3D","$37,024"
"Hellboy II: The Golden Army","$35,759"
"Meet the Spartans","$32,726"
"Quarantine","$30,702"
"Vantage Point","$30,465"
"Beverly Hills Chihuahua","$29,525"
"Midnight Meat Train","$29,363"
"The Incredible Hulk","$28,037"
"One Missed Call","$27,591"
"The Eye","$27,080"
"The Water Horse: Legend of the Deep","$26,097"
"Michael Clayton","$25,633"
"We Own the Night","$25,598"
"Shutter","$24,916"
"Charlie Wilson's War","$24,452"
"Stritreysery (Streetracers)","$23,725"
"The Darjeeling Limited","$23,066"
"There Will Be Blood","$22,863"
"Pathology","$22,120"
"In Bruges","$22,073"
"The Game Plan","$21,705"
"The Spiderwick Chronicles","$18,824"
"The Strangers","$18,787"
"Sex Drive","$18,700"
"Drillbit Taylor","$18,696"
"Leatherheads","$16,834"
"Untraceable","$16,826"
"Bangkok Dangerous (2008)","$15,248"
"Star Wars: The Clone Wars","$14,000"
"Never Back Down","$13,306"
"Speed Racer","$13,196"
"The Rocker","$12,272"
"Baby Mama","$11,736"
"Deception (2008)","$10,565"
"The Forbidden Kingdom","$6,973"
"Nim's Island","$6,807"
"Redbelt","$5,609"
"The Kite Runner","$4,614"
